,sentence,label,data,regex
0,Paper,0.0,,False
1,Factors associated with poor outcomes in SLE patients with COVID-19: Data from ReumaCoV-Brazil register,1.0,COVID-19,True
2,"Lupus 2022, Vol. 0(0) 1-12 © The Author(s) 2022 Article reuse guidelines: sagepub.com/journals-permissions DOI: 10.1177/09612033221135884 journals.sagepub.com/home/lup",0.0,,False
3,"Joana S Carvalho1, Edgard T dos Reis Neto2, Adriana M Kakehasi1, Sandra LE Ribeiro3,",0.0,,False
4,"Samia AS Studart4, Francielle P Martins5, Rafaela Cavalheiro do Esp´irito Santo6, Aline Ranzolin7, Diana C Fernandino8, Valquiria G Dinis9, Em´ilia I Sato2, Gustavo G Resende1, Adriana Marinho10, Henrique A Mariz11, Natha´ lia C Sacilotto12,",0.0,,False
5,"Francinne M Ribeiro13, Samuel K Shinjo14, Laiza H Dias15, Michel A Yazbek16,",0.0,,False
6,"Felipe Omura17, Thiago HS Rached18, Ana Paula M Gomides19, Claudia DL Marques11,",0.0,,False
7,"Gecilmara CS Pillegi2, L´icia MH Mota5, Marcelo M Pinheiro2, Odirlei A Monticielo6, Ricardo M Xavier6, Gilda A Ferreira1 and on behalf of ReumaCoV Brasil Registry",0.0,,False
8,Abstract,0.0,,False
9,"Objectives: To evaluate factors associated with COVID-19 severity outcomes in patients with systemic lupus erythematosus (SLE). Methods: This was a cross-sectional analysis of baseline data of a prospective, multi-stage cohort study--""The ReumaCoV Brazil""--designed to monitor patients with immune-mediated rheumatologic disease (IMRD) during the SARS-CoV-2 pandemic. SLE adult patients with COVID-19 were compared with those without COVID-19. SLE activity was evaluated by the patient global assessment (PGA) and SLE Disease Activity Index 2000 (SLEDAI-2K). Results: 604 SLE patients were included, 317 (52.4%) with COVID-19 and 287 (47.6%) in the control group. SLE COVID19 patients reported a lower frequency of social isolation and worked more frequently as health professionals. There was",1.0,COVID-19,True
10,"1Programa de Pós-graduação em Cie^ncias Aplicadas a Sau´de do Adulto, Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil 2Hospital São Paulo, Universidade Federal de São Paulo, São Paulo, Brazil 3Faculdade de Medicina da Universidade Federal do Amazonas, Manaus, Brazil 4Hospital Geral de Fortaleza, Fortaleza, Brazil 5Programa de Pós-graduação em Cie^ncias Me´dicas, Faculdade de Medicina, Universidade de Bras´ilia, Bras´ilia, Brazil 6Hospital de Cl´inicas de Porto Alegre, Serviço de Reumatologia, Universidade Federal do Rio Grande do Sul, Programa de Pós-graduação em Cie^ncias Me´dicas, Faculdade de Medicina, Porto Alegre, Brazil 7Hospital Getu´lio Vargas, Recife, Brazil 8Hospital Universita´rio, Universidade Federal de Juiz de Fora, Juiz de Fora, Minas Gerais, Brazil 9Hospital Santa Casa de Misericórdia de Vitória, Vitória, Brazil 10Fundação Hospital Estadual do Acre, Rio Branco, Brazil 11Hospital das Cl´inicas, Universidade Federal de Pernambuco, Recife, Brazil 12Instituto de Assiste^ncia Me´dica ao Servidor Pu´blico Estadual de S. Paulo, São Paulo, Brazil 13Hospital Universita´rio Pedro Ernesto, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, Brazil 14 Faculdade de Medicina FMUSP, Universidade de São Paulo, São Paulo, Brazil 15Hospital Universita´rio Cassiano Anto^ nio Moraes, Universidade Federal do Esp´irito Santo, Vitória, Brazil 16Hospital de Cl´inicas, Universidade Estadual de Campinas, Campinas, Brazil 17Cl´inica Omura Medicina Diagnóstica, São Paulo, Brazil 18Instituto de Medicina Integral Professor Fernando Figueira, Recife, Brazil 19Centro Universita´rio de Bras´ilia, Bras´ilia, Brazil",0.0,,False
11,"Corresponding author: Joana S Carvalho, Programa de Pós-graduação em Cie^ncias Aplicadas a` Sau´de do Adulto, Faculdade de Medicina, Universidade Federal de Minas Gerais, Alfredo Balena avenue, 190. Belo Horizonte-MG 13130-100, Brazil. Email: joanastarling@yahoo.com.br",0.0,,False
12,2,0.0,,False
13,Lupus 0(0),0.0,,False
14,"no difference in the mean SLEDAI-2K score between groups in the post-COVID-19 period (5.8 [8.6] vs. 4.5 [8.0]; p ,"" 0.190). However, infected patients reported increased SLE activity according to the Patient Global Assessment (PGA) during this period (2.9 [2.9] vs. 2.3 [2.6]; p "","" 0.031. Arterial hypertension (OR 2.48 [CI 95% 1.04-5.91], p "","" 0.041), cyclophosphamide (OR 14.32 [CI 95% 2.12-96.77], p "","" 0.006), dyspnea (OR: 7.10 [CI 95% 3.10-16.23], p < 0.001) and discontinuation of SLE treatment medication during infection (5.38 [CI 95% 1.97-15.48], p "","" 0.002), were independently associated with a higher chance of hospitalization related to COVID-19. Patients who received telemedicine support presented a 67% lower chance of hospitalization (OR 0.33 [CI 95% 0.12-0.88], p "","" 0.02). Conclusion: Hypertension and cyclophosphamide were associated with a severe outcome, and telemedicine can be a useful tool for SLE patients with COVID-19.""",1.0,COVID-19,True
15,"Keywords COVID-19, SARS-CoV-2, systemic lupus erythematosus, hospitalization",1.0,COVID-19,True
16,Key-messages,0.0,,False
17,- Hypertension were associated with a severe outcome in patients with SLE and COVID-19.,1.0,COVID-19,True
18,- Cyclophosphamide pulse therapy were associated with a severe outcome in patients with SLE and COVID-19.,1.0,COVID-19,True
19,- Telemedicine can be a useful tool for patients with SLE and COVID-19.,1.0,COVID-19,True
20,Introduction,0.0,,False
21,"Systemic lupus erythematosus (SLE) is a chronic, immune-mediated rheumatologic disease (IMRD), with a two to five-fold higher mortality rate than the general population1,2 and with infectious complications being responsible for 25%-50% of deaths.3 The higher risk of infection can be explained by impairment of the immune system, which is inherent to the disease, due to glucocorticoid and immunosuppressant use, and accumulated damage.3,4 Infections are predominantly bacterial in origin in the community, but there is also an increased risk of fungal, viral, and mycobacterial infections.5-7",1.0,disease,True
22,"Since the first cases were described, severe acute respiratory syndrome caused by SARS-CoV-2 infection has become a pandemic, reaching more than 200 countries. Conditions such as systemic arterial hypertension, diabetes mellitus, and chronic kidney disease have been identified as the main risk factors for infection and worse outcomes.8 Initial studies suggested that autoimmune diseases are not risk factors for COVID-19.8,9 However, a systematic review published in 2020 reported a higher prevalence of the disease in IMRD, but not in the subgroup of SLE patients.10 A recent study reported a worse COVID-19 prognosis in IMRD patients, with higher intensive care unit (ICU) admission and mortality rates.11 The first evaluation of the ReumaCoV-Brazil Registry with 334 IMRD participants",1.0,case,True
23,showed that being diagnosed with SLE was considered a possible protective factor for ICU treatment.12,1.0,protective,True
24,"To date, few studies have described the impact of SARS-CoV-2 infection specifically in SLE patients.9-11,13 In addition to questions regarding the incidence of COVID-19 and outcomes in SLE patients, it is not known whether the infection could induce a disease flare. Both COVID-19 and active SLE can present with cytopenia, arthralgia, myocarditis, interstitial pneumonia, and hemophagocytic syndrome, blurring the distinction between them and making it difficult to define the best therapeutic approach.14,15",1.0,SARS-CoV-2,True
25,"The main objective of the present study was to evaluate factors associated with COVID-19 severity outcomes in patients with SLE. Additionally, the study evaluated whether SARS-CoV-2 infection was associated with worse SLE activity compared with the group of SLE patients without infection.",1.0,COVID-19,True
26,Patients and methods,0.0,,False
27,"Study design. This was a cross-sectional study in which patients with SLE (according to the American College of Rheumatology 1997 or Systemic Lupus Erythematosus International Collaborating Clinics 2012 criteria), aged over 18 years, with a diagnosis of COVID-19 were compared to those without COVID-19 included in the ReumaCoV-Brazil Registry.16,17 ReumaCoV-Brazil is an observational multicenter and prospective cohort still ongoing and includes 43 centers from the five regions of Brazil; its main objective is to monitor adult IMRDs patients with and without a diagnosis of COVID-19. The detailed methodology of the registry has been previously published.18",1.0,COVID-19,True
28,"Eligible patients were selected through telephone contact, at outpatient clinics, or during hospitalization related to COVID-19. Patients with a present or previous diagnosis of SARS-CoV-2 infection were classified as",1.0,contact,True
29,Carvalho et al.,0.0,,False
30,3,0.0,,False
