,sentence,label,data,regex
0,Borczuk and Yantiss  Journal of Biomedical Science (2022) 29:87 https://doi.org/10.1186/s12929-022-00872-5,0.0,,False
1,REVIEW,0.0,,False
2,Open Access,0.0,,False
3,The pathogenesis of coronavirus19 disease,1.0,coronavirus,True
4,Alain C. Borczuk1 and Rhonda K. Yantiss2* ,0.0,,False
5,Abstract,0.0,,False
6,"Severe acute respiratory syndrome-associated coronavirus-2 (SARS-CoV-2) is the causal agent of coronavirus disease-2019 (COVID-19), a systemic illness characterized by variably severe pulmonary symptoms, cardiac conduction abnormalities, diarrhea, and gastrointestinal bleeding, as well as neurologic deficits, renal insufficiency, myalgias, endocrine abnormalities, and other perturbations that reflect widespread microvascular injury and a pro-inflammatory state. The mechanisms underlying the various manifestations of viral infection are incompletely understood but most data suggest that severe COVID-19 results from virus-driven perturbations in the immune system and resultant tissue injury. Aberrant interferon-related responses lead to alterations in cytokine elaboration that deplete resident immune cells while simultaneously recruiting hyperactive macrophages and functionally altered neutrophils, thereby tipping the balance from adaptive immunity to innate immunity. Disproportionate activation of these macrophages and neutrophils further depletes normal activity of B-cells, T-cells, and natural killer (NK) cells. In addition, this proinflammatory state stimulates uncontrolled complement activation and development of neutrophil extracellular traps (NETS), both of which promote the coagulation cascade and induce a state of ""thrombo-inflammation"". These perturbations have similar manifestations in multiple organ systems, which frequently show pathologic findings related to microvascular injury and thrombosis of large and small vessels. However, the pulmonary findings in patients with severe COVID-19 are generally more pronounced than those of other organs. Not only do they feature inflammatory thromboses and endothelial injury, but much of the parenchymal damage stems from failed maturation of alveolar pneumocytes, interactions between type 2 pneumocytes and non-resident macrophages, and a greater degree of NET formation. The purpose of this review is to discuss the pathogenesis underlying organ damage that can occur in patients with SARS-CoV-2 infection. Understanding these mechanisms of injury is important to development of future therapies for patients with COVID-19, many of which will likely target specific components of the immune system, particularly NET induction, pro-inflammatory cytokines, and subpopulations of immune cells.",1.0,respiratory,True
7,"Keywords: COVID-19, SARS-CoV-2, Pathology, Histology, Mechanisms",1.0,COVID-19,True
8,"Background A novel human pathogen emerged when a seafood market worker in the Hubei province of China presented with fever, dizziness, and cough in December of 2020. One month later, there were 9976 similar cases reported across 21 countries and within a few more weeks, the",1.0,case,True
9,Alain C. Borczuk and Rhonda K. Yantiss contributed equally to this work,0.0,,False
10,"*Correspondence: rhondayantiss@gmail.com 2 Department of Pathology and Laboratory Medicine, Weill Cornell Medicine, 525 East 68th Street, New York, NY 10065, USA Full list of author information is available at the end of the article",0.0,,False
11,"infection had spread to every corner of the globe. The disease has since claimed well over six million lives worldwide and caused substantial morbidity among patients who survived their illnesses. Early in the pandemic, teams of investigators identified the causal agent of coronavirus disease-2019 (COVID-19) to be severe acute respiratory syndrome-associated coronavirus-2 (SARS-CoV-2). They subsequently demonstrated its relationships to two other beta-coronaviruses known to cause severe pneumonia in humans, SARS-CoV and MERS-CoV, as well as a highdegree of homology with a coronavirus found in bats [1].",1.0,spread,True
12,The pathologic features of COVID-19 are variable in distribution and severity. Although most patients,1.0,COVID-19,True
13,"© The Author(s) 2022. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativeco mmons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",0.0,,False
14,Borczuk and Yantiss Journal of Biomedical Science (2022) 29:87,0.0,,False
15,Page 2 of 15,0.0,,False
16,"have upper respiratory tract and pulmonary symptoms, those with severe disease may also develop widespread small and large vessel thrombosis, microvascular injury, cardiac conduction abnormalities, neurologic deficits, diarrheal symptoms, and gastrointestinal bleeding, any of which can be life-threatening. The mechanisms underlying disease manifestations are incompletely understood, yet most data suggest that severe COVID-19 results from a combination of immune dysregulation and depletion of key immune cell subsets, complement activation, and interactions between the innate immune system and the coagulation cascade that promote inflammatory thromboses. The purpose of this review is to discuss the pathogenesis underlying organ damage that can occur in patients with SARS-CoV-2 infection.",1.0,respiratory,True
17,"Viral structure and cell entry SARS-CoV-2 is a positive-sense single-stranded RNA virus that contains four major types of proteins: nucleocapsid, membrane, envelope, and spike proteins. The spike protein is composed of two subunits, S1 and S2, that are required for viral entry into cells. The S1 subunit binds the angiotensin converting enzyme-2 (ACE2) receptor, whereas S2 is cleaved by transmembrane serine protease-2 (TMPRSS2), thereby facilitating viral fusion with the cell membrane [2]. Heavy glycosylation of spike protein shields it from the immune system and modulates the conformational dynamics of the receptor binding domain located on S1, thereby ensuring viral interactions with ACE2 [3]. The viral burden is highest in tissues expressing both ACE2 and TMPRSS2, such as epithelia of the tracheobronchial tree, type 2 pneumocytes (AT2 cells), endothelial cells, cardiomyocytes, and epithelial cells of the small bowel and colon. This distribution of cell susceptibility partly explains the constellation of symptoms commonly encountered among patients with COVID-19 [4-6].",1.0,SARS-CoV-2,True
18,"In addition to ACE2 and TMPRSS2, other proteins can facilitate viral entry in a site-specific fashion. ACE2 is expressed in combination with cathepsin L in alveolar type 1 pneumocytes (AT1 cells) and AT2 cells, enterocytes, cardiomyocytes, and the placenta [7]. Cathepsins activate IL-1 and NLRP3-mediated inflammatory cascades that cause cell apoptosis or pyroptosis, and they play important roles in matrix remodeling, neutrophil recruitment, and emergency myelopoiesis. Viral attachment to the cell is facilitated by heparan sulfate, while furin-like cleavage sites on spike protein promote viral replication in the lung [8, 9]. Neuropilin1 (NRP1) binds these furin-derived substrates and assists viral entry into nasal cells [8, 9]. ACE2 can be expressed in combination with pro-inflammatory proteases (e.g., furin, PCSK5,",0.0,,False
19,and PCSK7) that tend to be expressed at higher levels in males and increase with age [10].,0.0,,False
20,"Mechanisms of tissue injury due to SARSCoV2 Many of the clinical manifestations of SARS-CoV-2 infection are related to virus-driven perturbations in the immune system and resultant tissue injury. Combinations of these changes can be distilled into three distinct groups based on aberrant interferon-related responses, cytokine alterations, recruitment of functionally altered immune cells, and uncontrolled complement activation with associated neutrophil extracellular traps (NETS) and systemic thrombosis. These groups include (1) humoral immunodeficiency with B-cell defects, (2) a hyperinflammatory state characterized by loss of T-cell subsets and high cytokine levels driven by IL-6, IL-1, TNF-, and (3) complement-driven injury [11]. These mechanisms are described further below.",1.0,clinical,True
