,sentence,label,data,regex
0,Consecutive BNT162b2 mRNA vaccination induces short-term epigenetic memory in innate immune cells,1.0,,True
1,"Yuta Yamaguchi, ... , Yukinori Okada, Atsushi Kumanogoh",0.0,,False
2,JCI Insight. 2022. https://doi.org/10.1172/jci.insight.163347. Research In-Press Preview COVID-19 Vaccines,1.0,COVID-19,True
3,Graphical abstract,0.0,,False
4,Find the latest version:,0.0,,False
5,https://jci.me/163347/pdf,0.0,,False
6,Title: Consecutive BNT162b2 mRNA vaccination induces short-term epigenetic,1.0,,True
7,memory in innate immune cells,0.0,,False
8,"Authors: Yuta Yamaguchi,1,2 Yasuhiro Kato,1,2* Ryuya Edahiro,2,3 Jonas N. Søndergaard,4 Teruaki Murakami,1,2 Saori Amiya,1,2 Shinichiro Nameki,1,2 Yuko Yoshimine,1,2 Takayoshi Morita,1,2 Yusuke Takeshima,5 Shuhei Sakakibara,6 Yoko Naito,7 Daisuke Motooka,7,8,9 YuChen Liu,8 Yuya Shirai,2,3 Yasutaka Okita,1,2 Jun Fujimoto,1,2 Haruhiko Hirata,2 Yoshito Takeda,2 James B Wing,4,10 Daisuke Okuzaki,7,8,9,11 Yukinori Okada3,9,11,12,13, and Atsushi Kumanogoh1,2,9,11,14*",0.0,,False
9,"Affiliations: 1Immunopathology, WPI Immunology Frontier Research Center, Osaka University, Suita, Japan. 2Department of Respiratory Medicine and Clinical Immunology, Osaka University Graduate School of Medicine, Suita, Japan. 3Department of Statistical Genetics, Osaka University Graduate School of Medicine, Suita, Japan. 4Human Immunology Team, Center for Infectious Diseases Education and Research, Osaka University, Suita Japan. 5Laboratory of Experimental Immunology, WPI Immunology Frontier Research Center, Osaka University, Suita, Japan. 6Laboratory of Immune Regulation, WPI Immunology Frontier Research Center, Osaka University, Suita, Japan.",1.0,Respiratory,True
10,1,0.0,,False
11,"7Genome Information Research Center, Research Institute for Microbial Diseases, Osaka University, Suita, Japan. 8Single Cell Genomics, Human Immunology, WPI Immunology Frontier Research Center, Osaka University, Suita, Japan. 9Integrated Frontier Research for Medical Science Division, Institute for Open and Transdisciplinary Research Initiatives, Osaka University, Suita, Japan. 10Single Cell Immunology, Human Immunology, WPI Immunology Frontier Research Center, Osaka University, Suita, Japan. 11Center for Infectious Diseases Education and Research, Osaka University, Suita, Japan. 12Statistical Immunology, WPI Immunology Frontier Research Center, Osaka University, Osaka, Japan. 13Laboratory for Systems Genetics, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan. 14Japan Agency for Medical Research and Development - Core Research for Evolutional Science and Technology, Osaka University, Osaka, Japan",1.0,Disease,True
12,"*Corresponding author Atsushi Kumanogoh, MD., PhD. Dean, Graduate School of Medicine, Osaka University Professor, Laboratory of Immunology, Immunology Frontier Research Center (IFReC) Professor and Chair, Department of Respiratory Medicine and Clinical Immunology, Graduate School of Medicine, Osaka University Email: kumanogo@imed3.med.osaka-u.ac.jp",1.0,Respiratory,True
13,2,0.0,,False
14,"Phone No: +81-6-6879-3831 Fax No: +81-6-6879-3839 Alternate corresponding author Yasuhiro Kato, MD., PhD. Assistant Professor, Department of Respiratory Medicine and Clinical Immunology, Osaka University Graduate School of Medicine, Osaka University Email: kato@imed3.med.osaka-u.ac.jp Phone No: +81-6-6879-3831 Fax No: +81-6-6879-3839 Conflict-of-interest statement: The authors have declared that no conflict of interest exists.",1.0,Respiratory,True
15,3,0.0,,False
16,"Abstract: Consecutive mRNA vaccinations against SARS-CoV-2 reinforced both innate and adaptive immune responses. However, it remains unclear whether the enhanced innate immune responses are mediated by epigenetic regulation and, if so, whether these effects persist. Using mass cytometry, RNA-seq, and ATAC-seq, we show that BNT162b2 mRNA vaccination upregulated antiviral and IFN-stimulated gene expression in monocytes with greater effects after the second vaccination than those after the first vaccination. Transcription factor-binding motif analysis also revealed enriched IFN regulatory factors and PU.1 motifs in accessible chromatin regions. Importantly, although consecutive BNT162b2 mRNA vaccinations boosted innate immune responses and caused epigenetic changes in isolated monocytes, we showed that these effects occur only transiently and disappear 4 weeks after the second vaccination. Furthermore, single-cell RNA sequencing analysis revealed that a similar gene signature was impaired in the monocytes of unvaccinated COVID-19 patients with acute respiratory distress syndrome. These results reinforce the importance of the innate immune response in the determination of COVID19 severity but indicate that, unlike adaptive immunity, innate immunity is not unexpectedly sustained even after consecutive vaccination. This study, which focuses on innate immmune memory, may provide novel insights into the vaccine development against infectious diseases.",1.0,SARS-CoV-2,True
17,4,0.0,,False
18,Graphical abstract,0.0,,False
19,5,0.0,,False
20,"Main text: Introduction Since the start of the coronavirus disease 2019 (COVID-19) pandemic in December 2019, nearly 300 million people have been infected, and by the end of 2021, more than 5 million people had died. Over 40% of the world's population has been vaccinated against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as part of the effort to combat the COVID-19 pandemic. Among the available vaccines, messenger RNA (mRNA)-based vaccines that encode the SARSCoV-2 spike protein, including the BNT162b2 vaccine (Pfizer-BioNTech) and mRNA-1273 vaccine (Moderna), were among the first administered and have shown significant efficacy (1).",1.0,coronavirus,True
21,"SARS-CoV-2 mRNA vaccines induce the SARS-CoV-2 antigen-specific antibody and Tcell responses (2-4). The boost in antibody production provided by revaccination with the BNT162b2 vaccine and the long-term persistence of memory B- and T-cell responses against SARS-CoV-2 indicate the formation of adaptive immune memory (3, 5). Interestingly, the innate immune response is also reinforced after the second vaccination, as shown by an observed increase in the frequency of CD14+CD16+ monocytes and enhancement of the interferon (IFN)stimulated gene response in a myeloid cell cluster (CD14+BDCA1+PD-L1+ cells), which is a heterogeneous mix of classical monocytes, a classical dendritic cell (DC) subtype, and intermediate monocytes (5). However, it is unclear whether the enhanced innate immune responses after the second vaccination are associated with innate immune memory, and if so, how long the memory persists in the immune cells.",1.0,SARS-CoV-2,True
22,"Innate immune memory, also termed ""trained immunity,"" is an immunological memory that involves functional changes in innate immune cells after infection or vaccination, showing increased response to restimulation, which is similar to B- and T-cells' adaptive immune",0.0,,False
23,6,0.0,,False
24,"memory (6-8). Trained immunity is characterized by epigenetic reprogramming in innate immune cells such as monocytes (9, 10) and natural killer (NK) cells (11) after infection or vaccination. Particularly, the live-attenuated bacillus Calmette-Guérin (BCG) vaccine (9, 12), influenza vaccine (13, 14), and inactivated mucosal vaccine (15) induce epigenetic changes in monocytes, exerting protective effects against viral infections. Despite these findings, it is still unclear whether SARS-CoV-2 mRNA vaccines induce a similar alteration.",1.0,vaccine,True
25,"In this study, we reveal that BNT162b2 mRNA vaccine induces epigenetic changes in monocytes after the first vaccination, which result in an enhanced type I IFN response at the time of the second vaccination. Importantly, however, we show that this effect is transient and diminishes 28 days after the second vaccination.",1.0,vaccine,True
26,"Results The vaccinated cohort displays typical adaptive immune signatures and notable innate immune responses To investigate the immune response induced by the BNT162b2 mRNA vaccine, healthy health care workers with no history of SARS-CoV-2 infection and no previous vaccination against SARS-CoV-2 were enrolled (n ,"" 11, all male, age range: 31-42 years) (Supplemental Table 1). The participants received two doses of the BNT162b2 mRNA vaccine injected into the deltoid muscle at a 3-week interval (30 µg/dose, Day (D) 0 and D21). Blood samples were collected prior to the first vaccination (D0) and on D1, 10, 20, 22, 31, and 49 after the initial vaccination (Figure 1A).""",1.0,vaccine,True
27,"To confirm that the results from studying this cohort would be applicable to the general situation among the wider population, previously demonstrated changes in the adaptive immune",0.0,,False
28,7,0.0,,False
29,"response were confirmed before evaluating the innate immune response: immunization with two doses of BNT162b2 significantly increased the levels of serum neutralizing antibodies and serum IgG, IgA, and IgM class antibodies, which bind to the spike protein and receptor-binding domain (RBD) regions of SARS-CoV-2 (Supplemental Figure 1, A and B), and the results of an IFN-g enzyme-linked immunospot (ELISPOT) assay indicated that immunization enhanced the T-cell responses to SARS-CoV-2 spike protein peptides (Supplemental Figure 1C). These results indicated that the vaccination cohort participants responded to the vaccination as expected.",1.0,SARS-CoV-2,True
