,sentence,label,data,regex
0,"medRxiv preprint doi: https://doi.org/10.1101/2021.04.12.21255284; this version posted April 19, 2021. The copyright holder for this preprint (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. This article is a US Government work. It is not subject to copyright under 17 USC 105 and is also made available for use under a CC0 license.",0.0,,False
1,1 Differential Performance of CoronaCHEK SARS-CoV-2 Lateral Flow Antibody Assay by,1.0,SARS-CoV-2,True
2,2 Geographic Origin of Samples,0.0,,False
3,"3 4 Owen R. Baker1, M. Kate Grabowski2,3, Ronald M. Galiwango3, Aminah Nalumansi4, Jennifer 5 Serwanga4,6, William Clarke2, Yu-Hsiang Hsieh2, Richard E. Rothman2, Reinaldo E. Fernandez2, 6 David Serwadda3,5, Joseph Kagaayi3, Tom Lutalo3,4, Steven J. Reynolds1,2,3, Pontiano Kaleebu4,6, 7 Thomas C. Quinn1,2, Oliver Laeyendecker1,2*",0.0,,False
4,8,0.0,,False
5,9,0.0,,False
6,10,0.0,,False
7,"1) Division of Intramural Research, National Institute of Allergy and Infectious Diseases,",1.0,Infectious,True
8,11,0.0,,False
9,"National Institutes of Health, Baltimore, MD, USA",0.0,,False
10,12,0.0,,False
11,"2) Johns Hopkins University School of Medicine, Baltimore, MD, USA",0.0,,False
12,13,0.0,,False
13,"3) Rakai Health Sciences Program, Kalisizo, Uganda",0.0,,False
14,14,0.0,,False
15,"4) Uganda Virus Research Institute, Entebbe, Uganda",0.0,,False
16,15,0.0,,False
17,"5) Makerere University School of Public Health, Kampala, Uganda",0.0,,False
18,16,0.0,,False
19,"6) Medical Research Council, Uganda Virus Research Institute and London School of",0.0,,False
20,17,0.0,,False
21,hygiene and Tropical Medicine Uganda Research Unit,0.0,,False
22,18,0.0,,False
23,19 *Corresponding Author,0.0,,False
24,"20 Oliver Laeyendecker, MS, MBA, PhD",0.0,,False
25,"21 Staff Scientist, IHSS/LIR/NIAID/NIH",0.0,,False
26,"22 Associate Professor, Infectious Diseases, SOM/JHU",1.0,Infectious,True
27,NOTE: This preprint reports new research that has not been certified by peer review and should not be used to guide clinical practice.,1.0,clinical,True
28,"medRxiv preprint doi: https://doi.org/10.1101/2021.04.12.21255284; this version posted April 19, 2021. The copyright holder for this preprint (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. This article is a US Government work. It is not subject to copyright under 17 USC 105 and is also made available for use under a CC0 license.",0.0,,False
