,sentence,label,data,regex
0,"medRxiv preprint doi: https://doi.org/10.1101/2021.10.29.21265687; this version posted October 30, 2021. The copyright holder for this preprint (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license .",0.0,,False
1,Multi-ethnic Investigation of Risk and Immune Determinants of COVID-19 Outcomes,1.0,COVID-19,True
2,"Tomi Jun1, Divij Mathew2,3, Navya Sharma4, Sharon Nirenberg5, Hsin-Hui Huang6, Patricia Kovatch5, E. John Wherry2,3, Kuan-lin Huang7* 1 Division of Hematology and Medical Oncology, Tisch Cancer Institute, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA. 2 Institute for Immunology, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA. 3 Department of Systems Pharmacology and Translational Therapeutics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA. 4 University of California, Santa Barara, CA, USA. 5 Scientific Computing, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA. 6 Department of Population Health Science & Policy, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA. 7 Department of Genetics and Genomic Sciences, Center for Transformative Disease Modeling, Tisch Cancer Institute, Icahn Institute for Data Science and Genomic Technology, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.",1.0,Disease,True
3,"*Corresponding Author: Kuan-lin Huang, Ph.D. Department of Genetics and Genomic Sciences Icahn School of Medicine at Mount Sinai New York, NY 10029 Email: kuan-lin.huang@mssm.edu",0.0,,False
4,"Keywords: COVID-19; African American; Hispanic American; Interleukin-1beta; Hypoxia Word count: 3,258",1.0,COVID-19,True
5,1,0.0,,False
6,NOTE: This preprint reports new research that has not been certified by peer review and should not be used to guide clinical practice.,1.0,clinical,True
7,"medRxiv preprint doi: https://doi.org/10.1101/2021.10.29.21265687; this version posted October 30, 2021. The copyright holder for this preprint (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license .",0.0,,False
8,"Abstract Objectives: To compare risk factors for COVID-19 mortality among hospitalized Hispanic, Non-",1.0,COVID-19,True
9,"Hispanic Black, and White patients.",0.0,,False
10,"Design: Retrospecitve cohort study Setting: Five hosptials within a single academic health system Participants: 3,086 adult patients with self-reported race/ethnicity information presenting to",0.0,,False
11,"the emergency department and hospitalized with COVID-19 up to April 13, 2020.",1.0,COVID-19,True
