,sentence,label,data,regex
0,Expert Opinion on Drug Delivery,0.0,,False
1,ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/iedd20,0.0,,False
2,Are inhaled mRNA vaccines safe and effective? A review of preclinical studies,1.0,vaccine,True
3,"Evalyne M Jansen, Henderik W Frijlink, Wouter LJ Hinrichs & Mitchel JR Ruigrok",0.0,,False
4,"To cite this article: Evalyne M Jansen, Henderik W Frijlink, Wouter LJ Hinrichs & Mitchel JR Ruigrok (2022) Are inhaled mRNA vaccines safe and effective? A review of preclinical studies, Expert Opinion on Drug Delivery, 19:11, 1471-1485, DOI: 10.1080/17425247.2022.2131767 To link to this article: https://doi.org/10.1080/17425247.2022.2131767",1.0,vaccine,True
5,"© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. Published online: 26 Oct 2022.",0.0,,False
6,Submit your article to this journal Article views: 651,0.0,,False
7,View related articles View Crossmark data,0.0,,False
8,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation?journalCode,iedd20",0.0,,False
9,"EXPERT OPINION ON DRUG DELIVERY 2022, VOL. 19, NO. 11, 1471-1485 https://doi.org/10.1080/17425247.2022.2131767",0.0,,False
10,REVIEW,0.0,,False
11,Are inhaled mRNA vaccines safe and effective? A review of preclinical studies,1.0,vaccine,True
12,"Evalyne M Jansen , Henderik W Frijlink , Wouter LJ Hinrichs and Mitchel JR Ruigrok",0.0,,False
13,"Department of Pharmaceutical Technology and Biopharmacy, University of Groningen, Groningen, The Netherlands",0.0,,False
14,ABSTRACT,0.0,,False
