,sentence,label,data,regex
0,"17528062, 0, Downloaded from https://ascpt.onlinelibrary.wiley.com/doi/10.1111/cts.13434 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,| | Received: 27 April 2022  Revised: 6 August 2022  Accepted: 27 September 2022,0.0,,False
2,DOI: 10.1111/cts.13434,0.0,,False
3,ARTICLE,0.0,,False
4,Screening and characterization of myositis-­related autoantibodies in COVID-­19 patients,0.0,,False
5,"Kai-­Fa Teo1 | Der-­Yuan Chen2,3,4 | Jeh-­Ting Hsu5 | Yi-­Hua Lai2,4,6 | Ching-­Kun Chang3,4 | Po-­Ren Hsueh2,7,8,9 | Joung-­Liang Lan2,4,6 | Jye-­Lin Hsu1,10",0.0,,False
6,"1Graduate Institute of Biomedical Sciences, China Medical University, Taichung, Taiwan 2School of Medicine, China Medical University, Taichung, Taiwan 3Translational Medicine Laboratory, China Medical University Hospital, Taichung, Taiwan 4Rheumatology and Immunology Center, China Medical University Hospital, Taichung, Taiwan 5Department of Information Management, Hsing Wu University, New Taipei, Taiwan 6Rheumatic Diseases Research Center, China Medical University Hospital, Taichung, Taiwan 7Departments of Laboratory Medicine and Internal Medicine, China Medical University Hospital, Taichung, Taiwan 8Ph.D. Program for Aging, School of Medicine, China Medical University, Taichung, Taiwan 9Departments of Laboratory Medicine and Internal Medicine, National Taiwan University Hospital, National Taiwan University College of Medicine, Taipei, Taiwan 10Drug Development Center, China Medical University, Taichung, Taiwan",1.0,Disease,True
7,"Correspondence Joung-L­ iang Lan, Rheumatology and Immunology Center, China Medical University Hospital, No. 2 Yu-­De Road, Taichung, Taiwan. Email: jounglan@me.com",1.0,,True
8,"Jye-­Lin Hsu, Graduate Institute of Biomedical Sciences, China Medical University, No. 91 Hsueh-­Shih Road, Taichung 40402, Taiwan. Email: qiqi0910@gmail.com",1.0,,True
9,"Funding information Taiwan's Ministry of Science and Technology, Grant/Award Number: MOST 111-­2628-­B-­039-­001; Research and Development Center for Immunology; China Medical University, Grant/Award Number: 1095310A; China Medical University Hospital, Grant/Award Number: DMR-­111-­031, DMR-­CELL-­170085 and DMR-­CELL-­1805; China Medical University, Grant/Award Number: CMU-­111-­MF-­19",1.0,,True
10,"Abstract An efficient host immune response against severe acute respiratory syndrome coronavirus 2 (SARS-­CoV-­2, COVID-­19) appears to be crucial for controlling and resolving this viral infection. However, many studies have reported autoimmune characteristics in severe COVID-1­ 9 patients. Moreover, clinical observations have revealed that COVID-1­ 9-­associated acute distress respiratory syndrome shares many features in common with inflammatory myopathy including interstitial lung disease (ILD), most particularly rapidly progressive (RP)-I­LD. This study explored this phenomenon by seeking to identify and characterize myositis-­ specific and related autoantibodies in 25 COVID-­19 patients with mild or severe symptoms. Line blot analysis with the EUROLINE Myopathies Ag kit identified 9 (36%) patients with COVID-­19 with one or more autoantibodies against several myositis-­related antigens (Jo-1­ , Ku, Mi-2­ , PL-7­ , PL-­12, PM-­Scl 75, PM-­ Scl 100, Ro-­52, and SRP); no anti-­MDA5 antibodies were detected. As the presence of antibodies identified by line blots was unrelated to disease severity, we further characterized the autoantibodies by radioimmunoassay, in which [35S] methionine-l­abeled K562 cellular antigens were precipitated and visualized by gel electrophoresis. This result was confirmed by an immunoprecipitation assay and immunoblotting; 2 patients exhibited anti-K­ u70 and anti-K­ u80 antibodies.",1.0,respiratory,True
11,"This is an open access article under the terms of the Creative Commons Attribution-­NonCommercial-­NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-­commercial and no modifications or adaptations are made. © 2022 The Authors. Clinical and Translational Science published by Wiley Periodicals LLC on behalf of American Society for Clinical Pharmacology and Therapeutics.",1.0,Clinical,True
12,Clin Transl Sci. 2022;00:1-11.,0.0,,False
13,www.cts-journal.com | 1,0.0,,False
14,"17528062, 0, Downloaded from https://ascpt.onlinelibrary.wiley.com/doi/10.1111/cts.13434 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
15,2 | ,0.0,,False
16,TEO et al.,0.0,,False
17,"Our data suggest that it is necessary to use more than one method to characterize and evaluate autoantibodies in people recovered from COVID-1­ 9, in order to avoid misinterpreting those autoantibodies as diagnostic markers for autoimmune diseases.",1.0,disease,True
18,"Study Highlights WHAT IS THE CURRENT KNOWLEDGE ON THE TOPIC? SARS-­COV-­2 infection leads to excessive production of inflammatory cytokines, abnormal induction of autoantibodies, and acute distress respiratory syndrome in severe cases. These clinical features are also a clinical phenomenon of interstitial lung disease, which causes morbidity and mortality in patients with inflammatory myopathy. WHAT QUESTION DID THIS STUDY ADDRESS? We determined whether COVID-1­ 9 patients have myositis-s­pecific and related autoantibodies and how levels of these autoantibodies may reflect the severity of SARS-­CoV-­2-­induced lung injury. WHAT DOES THIS STUDY ADD TO OUR KNOWLEDGE? The combination of line blot assay, radioimmunoassay, and immunoprecipitation assay investigations provides accurate autoantibody data. As line blot identification of myositis-­related autoantibodies was unrelated to disease severity, radioimmunoassay and immunoprecipitation assay data characterized anti-K­ u70 and anti-­Ku80 autoantibodies in COVID-­19 patients. HOW MIGHT THIS CHANGE CLINICAL PHARMACOLOGY OR TRAN­ SLATIONAL SCIENCE? Our data suggest that it is necessary to carefully evaluate the presence of autoantibodies in people recovered after COVID-­19 in order to avoid misinterpreting those autoantibodies as diagnostic markers for autoimmune diseases.",1.0,respiratory,True
19,INTRODUCTION,0.0,,False
20,"Coronaviruses are a family of enveloped, positive-­stranded RNA viruses that infect humans and animals and cause respiratory, gastrointestinal, or neurological diseases. The outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-C­ oV-2­ , COVID-­19) disease has been a pandemic since December 2019. At the time of writing this article, COVID-­19-r­elated deaths worldwide had reached 5.5 million.1 An efficient host immune response involving innate and adaptive immunity against SARS-­CoV-­2 appears to be crucial for controlling and resolving this viral infection. Notably, the severity of COVID-­19 may be associated with the excessive production of proinflammatory cytokines leading to a ""cytokine storm"" and subsequent acute lung injury/acute respiratory distress syndrome (ARDS).2,3 A variety of autoimmune characteristics have been observed in cases of severe COVID-­19, with the findings of lymphocytopenia (85.7%), elevated levels of C-r­eactive protein (94.7%), and interleukin-6­ (89.5%), as well as anti-5­ 2kDa SSA/Ro (Ro-5­ 2) antibodies (20%), anti-­ 60kDa SSA/Ro (Ro-6­ 0) antibodies (25%), and antinuclear antibodies (50%).4",1.0,Coronavirus,True
21,"Over several years of research, our clinical observations",1.0,clinical,True
22,have revealed that COVID-­19-­associated ARDS shares,0.0,,False
23,"many autoimmune features with interstitial pneumonia,",0.0,,False
24,particularly with a rapidly progressive (RP) interstitial,0.0,,False
25,"lung disease (ILD), including melanoma differentiation-­ associated gene 5 (MDA5) antibody-a­ ssociated RP-­ILD.5-­7",1.0,disease,True
26,"These common features include ARDS, pathological lung",0.0,,False
27,images (as seen in high-­resolution computed tomography,0.0,,False
28,"[CT] images), and cytokine release syndrome character-",0.0,,False
29,"ized by participating immune cell populations and the release of cytokines.3,8-­10 ILD, especially RP-I­LD, is a major",0.0,,False
