,sentence,label,data,regex
0,Annals of Medicine,0.0,,False
1,ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/iann20,0.0,,False
2,Is there a diurnal variation of COVID-19 patients warranting presentation to the health centre? A chronobiological observational cross-sectional study,1.0,COVID-19,True
3,"Mohamed Romdhani, Sakthikumar Vedasalam, Amine Souissi, Mohamed Saifeddin Fessi, Amit Varma, Morteza Taheri, Amine Ghram, Abdulla Al Naama, Bessem Mkaouer, Helmi Ben Saad & Ismail Dergaa",0.0,,False
4,"To cite this article: Mohamed Romdhani, Sakthikumar Vedasalam, Amine Souissi, Mohamed Saifeddin Fessi, Amit Varma, Morteza Taheri, Amine Ghram, Abdulla Al Naama, Bessem Mkaouer, Helmi Ben Saad & Ismail Dergaa (2022) Is there a diurnal variation of COVID-19 patients warranting presentation to the health centre? A chronobiological observational cross-sectional study, Annals of Medicine, 54:1, 3060-3068, DOI: 10.1080/07853890.2022.2136399 To link to this article: https://doi.org/10.1080/07853890.2022.2136399",1.0,COVID-19,True
5,"© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group Submit your article to this journal",0.0,,False
6,View related articles,0.0,,False
7,Published online: 29 Oct 2022. Article views: 219 View Crossmark data,0.0,,False
8,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation?journalCode,iann20",0.0,,False
9,"ANNALS OF MEDICINE 2022, VOL. 54, NO. 1, 3060-3068 https://doi.org/10.1080/07853890.2022.2136399",0.0,,False
10,ORIGINAL ARTICLE,0.0,,False
11,Is there a diurnal variation of COVID-19 patients warranting presentation to the health centre? A chronobiological observational cross-sectional study,1.0,COVID-19,True
12,"Mohamed Romdhania,b , Sakthikumar Vedasalamc , Amine Souissid , Mohamed Saifeddin Fessia , Amit Varmac, Morteza Taherie, Amine Ghramf , Abdulla Al Naamac, Bessem Mkaouerc , Helmi Ben Saadg√ and Ismail Dergaaa,c√",0.0,,False
13,"aResearch Unit: Physical Activity, Sport, and Health, UR18JS01, National Observatory of Sport, Tunis, Tunisia; bMotricite-InteractionsPerformance, MIP, UR4334, Le Mans Universite, Le Mans, France; cPrimary Health Care Corporation, Doha, Qatar; dSports Medicine, Universite de Sousse, Faculte de Medecine de Sousse, Sousse, Tunisia; eDepartment of Sport Sciences, Imam Khomeini International University, Qazvi, Iran; fHealthy Living for Pandemic Event Protection (HL - PIVOT) Network, Chicago, IL, US; gLaboratoire de Recherche (LR12SP09) ""Insuffisance cardiaque"" Sousse, Faculte de Medecine de Sousse, H^opital Farhat HACHED, Universite de Sousse, Sousse, Tunisie",1.0,Pandemic,True
14,ABSTRACT,0.0,,False
15,"Background: The circadian clock regulates the function of the immune system, the replication of viruses, and the magnitude of infections. The aim of this study was to analyse whether hospital attendance in Coronavirus disease 2019 (COVID-19) patients presents a diurnal variation. Methods: Data from the electronic medical records of 1094 COVID-19 patients who presented to a Health Centre in Qatar during the month of July 2020 was retrospectively analysed. The following demographic (i.e. time of day (TOD), sex, age), clinical (i.e. cycle threshold (CT), temperature, oxy-haemoglobin saturation and resting heart-rate), biochemical (i.e. uraemia, glycaemia and albuminia) and haematological (i.e. leukocytes, erythrocytes ad platelets) parameters were collected. Results: Univariate analysis showed a significant effect of TOD on hospital admission (p < 0.001), with patients attending the health care centre more during the active behavioural phase (08h00-00h00) compared to the resting phase (00h00-08h00). COVID-19 infection blunted the circadian rhythms of core body temperature, neutrophils and leukocytes family and shifted the circadian rhythms of resting heart-rate and uraemia. Correlation analysis showed a near perfect negative correlation between the age of patients and the TOD (rº-0.97), with older patients attending the care centre earlier during the day. Conclusion: COVID-19 infection affected the circadian rhythms of the host through disrupting the circadian rhythms of core temperature and innate immunity mediators. Old patients attend the health care centre earlier compared to younger ones. However, CT during polymerase chain reaction-test was unaffected by the TOD, which limits the conclusion that COVID-19 viral infection exhibits diurnal variation.",1.0,Coronavirus,True
16,ARTICLE HISTORY Received 18 February 2022 Revised 7 October 2022 Accepted 10 October 2022,0.0,,False
17,KEYWORDS Chronobiology; immunity; pandemic; RT-PCR; SARSCoV-2; time of day; viral infection,1.0,pandemic,True
18,Introduction,0.0,,False
19,"The Coronavirus disease 2019 (COVID-19), which has been declared a public health epidemic of global outrage by the World Health Organisation (WHO), is among the most shocking diseases in recent years [1]. There were nearly 620 M laboratory reported cases and over 6.5 M deaths worldwide as of 26 September 2022 (https://www.worldometers.info/coronavirus/). Even though COVID-19 can affect people of all ages, older people are at a higher risk of deleterious consequences, as well as a greater fatality rate [2,3]. For instance, in a cohort of 8516 American veterans, hospital",1.0,Coronavirus,True
20,"admission during the high load period of intensive care units was associated with two-fold mortality compared to patients treated during the low load period [4]. Understanding the origins of this temporal distribution will increase the efficiency of health care intervention [1]. However, little is known about the circadian distribution of COVID-19 patient admissions.",1.0,COVID-19,True
21,"Almost all physiological and behavioural functions fluctuate over the 24-h cycle. This cycle, namely the circadian rhythm, is generated by the suprachiasmatic nucleus in the hypothalamus and coordinated by the peripheral circadian clock located in distal tissue by",1.0,flu,True
22,"CONTACT Ismail Dergaa idergaa@phcc.gov.qa Primary Health Care Corporation, Doha, Qatar √Helmi Ben Saad and Ismail Dergaa contributed equally to this work and share senior authorship.",0.0,,False
23,"ﬂ 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/), unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",0.0,,False
24,which,0.0,,False
25,permits,0.0,,False
26,ANNALS OF MEDICINE,0.0,,False
27,3061,0.0,,False
28,"way of hormones, clock genes and body temperature [5,6]. Circadian rhythmicity is an evolutionarily conserved pathway that serves to adapt the organism to the 24-h environmental day [7,8]. Because the exposition of the host to pathogens varies across the 24-h cycle, the circadian clock anticipates environmental daily changes in order to optimize the immune response [8-10]. Several types of illness exhibit diurnal variation [11,12]. For instance, respiratory diseases (viral and allergic rhinorrhoea, nocturnal asthma, and chronic pulmonary obstructive disease) display circadian variation with symptoms and/or gravity requiring hospital attendance occurring during the night [11]. Consequently, mediators of the immune system have been shown to exhibit diurnal variations in the blood and tissues, including immune cells, antibodies, cytokines, chemokines and hormones [10]. During the active phase, immune cells migrate to the peripheral tissues in a major anti-microbial response, and the circulating number of immune cells increases during the night [13].",1.0,respiratory,True
