,sentence,label,data,regex
0,"13993038, 2022, 10, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/pai.13863 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,Received: 30 May 2022 | Revised: 20 September 2022 | Accepted: 23 September 2022,0.0,,False
2,DOI: 10.1111/pai.13863,0.0,,False
3,ORIGINAL ARTICLE,0.0,,False
4,"COVID-­19 Alpha Variant (B.1.1.7): Humoral, memory B and T cells in COVID-­19 pediatric convalescents",0.0,,False
5,"Michael Gurevich1,2 | Rina Zilkha-­Falb1| Polina Sonis1| David Magalashvili1| Mark Dolev1,2| Mathilda Mandel1,2| Shay Menascu1,2| Anat Achiron1,2",0.0,,False
6,"1Laboratory of Neuroimmunology, Multiple Sclerosis Center, Sheba Medical Center, Ramat-­Gan, Israel 2Sackler School of Medicine, Tel-­Aviv University, Tel-­Aviv, Israel",0.0,,False
7,"Correspondence Michael Gurevich, Sheba Medical Center, Multiple Sclerosis Center Ramat-­Gan, 52621, Israel. Email: michaelg3@tauex.tau.ac.il",0.0,,False
8,Editor: Carmen Riggioni,0.0,,False
9,"Abstract Background: Studies of anti-­SARS-­CoV-­2 humoral and adaptive response in COVID-­19 non-­vaccinated pediatric convalescents are controversial and further evidence from the pediatric population are needed. Objectives: To elucidate SARS-­CoV-­2 humoral and memory B-­ and T-­cells responses in pediatric convalescents as compared with the adult. Methods: Blood samples were obtained from 80 non-­vaccinated, IgG-­positive, COVID-­19 convalescents (age 8.0-­61.0years), 4.0 months from onset. Frequency of responders and magnitudes of SARS-­COV-­2 IgG, memory B-­cells (MBC) and IFNg-­  and IL2-­secreting memory T-­cells (MTC) in response to immuno-­dominant peptide pools in pediatric, young adults and middle-­aged adults with onset age 8-­18years (N ,"" 20), 19-­39years (N "", 30) and 40-­61years (N ,"" 30), respectively, were analyzed. SARS-­CoV-­2 IgG were detected by ELISA (Euroimmun, Germany). MBC, IFNg-­, IL2-­  and IFNg+IL2-­secreting MTC (IFNg-­MTC, IL2-­MTC and IFNg+IL2-­MTC) were detected using FluoroSpot (Mabtech, Sweden). Results: MBC level was lower in pediatric as compared with the middle-­aged adults (median 12.75 interquartile range [IQR] 4.27-­33.7 and 32.0 IQR 6.0-­124.2, respectively, p "","" .003). MBC level in young adults was lower than in middle-­aged adults (median 18.5 IQR 1.7-­43.8 and 32.0 IQR 6.0-­124.2, respectively, p "","" .006). The level of IL2-­MTC was lower in the pediatric group as compared with middle aged-­adults (median 2.1 IQR 0-­16.9 and 28.6 IQR 11-­49.6, respectively, p<.03) and in young adults lower than in middle-­aged adults (median 1.45 IQR 0-­18.6 and 28.6 IQR 11-­49.6, respectively, p "","" .02). In addition, the level of IFNg-­MTC was lower in pediatric as compared with young adults (median 4.25 IQR 0.0-­15.0 and 20.9 IQR 0-­75.2, respectively, p "","" .05). The level of IgG was comparable between pediatric and both young and middle-­aged adult groups (4.82±2.95, 3.70±2.65 and 4.9±2.94, respectively, p>.34).""",1.0,positive,True
10,"Michael Gurevich, Rina Zilkha-­Falb Equal contribution. Shay Menascu, Anat Achiron Equal contribution.",0.0,,False
11,"This is an open access article under the terms of the Creative Commons Attribution-NonCommercial License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes. © 2022 The Authors. Pediatric Allergy and Immunology published by European Academy of Allergy and Clinical Immunology and John Wiley & Sons Ltd.",1.0,Clinical,True
12,Pediatr Allergy Immunol. 2022;33:e13863. https://doi.org/10.1111/pai.13863,0.0,,False
13,wileyonlinelibrary.com/journal/pai | 1 of 7,0.0,,False
14,"13993038, 2022, 10, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/pai.13863 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
15,2 of 7 |,0.0,,False
16,GUREVICH et al.,0.0,,False
17,Conclusion: Non-­vaccinated COVID-­19 pediatric convalescents have lower adaptive immune responses than adults sustaining the recommendation for vaccination of the pediatric population.,0.0,,False
18,"KEYWORDS adaptive immunity, convalescents, COVID-­19, memory B-­cells, memory T-­cells, pediatric, SARS-­CoV-­2",0.0,,False
19,1 | INTRODUCTION,0.0,,False
20,"Pediatric COVID-­19 is characterized by more frequent mild/asymptomatic disease than adults. Meta-­analysis of 50,000 COVID-­19 patients, estimated 27.7% of asymptomatic infections in pediatric as compared with 9.0% in older ages.1 Better capacity to control SARS-­CoV-­2 infection in pediatric population could be explained by efficient clearance of the virus, immunity to previous coronaviruses and age-­associated attributes of innate and adaptive immunity.2 Studies of humoral and adaptive memory T cells (MTC) responses in COVID-­19 pediatric convalescents are controversial. Previous studies demonstrated low magnitude3 and frequencies4 of SARS-­CoV-­ 2-­specific MTC in pediatric as compared with adult convalescents. In contrast, another study5 reported a 2-­fold higher magnitude and frequency of SARS-­CoV-­2-­specific IFNg-­secreting MTC in pediatric convalescents than in adults. The study by Rowntree et al.4 is the first to analyze memory B cells (MBC) in pediatric convalescents and report a low frequency of MBC as compared to adults. The understanding of COVID-­19 immunity in children is based mainly on immunological concepts evaluated in adults and empirically applied to the pediatric population and urges further evidence from the pediatric population. Elucidating SARS-­CoV-­2 MBC and MTC responses in pediatric convalescents are of paramount relevance from a clinical and public health perspective, mainly because it may allow us to assess re-­infection severity and the need to vaccinate children. Here, we compared SARS-­CoV-­2-­specific IgG levels, MBC and IFNg-­  and IL2-­secreting MTC in response to SARS-­CoV-­2S1 (Spike 1) and SNMO [Spike, Nucleoprotein, Membrane protein and Open reading frame (ORF-­3a and ORF-­7a)] peptide pools in pediatric and adult COVID-­19 convalescents. Indeed, our study is the first to simultaneously assess both frequencies and magnitude of SARS-­CoV-­2 specific IgG, MBC and MTC in pediatric convalescents.",1.0,asymptomatic,True
21,2 | METHODS,0.0,,False
22,2.1 | Participants,0.0,,False
23,"Non-­vaccinated SARS-­CoV-­2 positive, COVID-­19 convalescents were included. The inclusion criteria were as follows: (1) positive RT-­PCR SARS-­CoV-­2 at onset and (2) anti-­spike S1 IgG positive test at convalescence period. The disease symptomatology at onset was mild, with at least one of the following symptoms: fatigue, muscle pain, cough, or fever without hospitalization. Blood samples",1.0,positive,True
24,"Key Message Findings of anti-­SARS-­CoV-­2 humoral and adaptive responses in COVID-­19 pediatric convalescents are controversial and further evidences from pediatric population are needed. Our results demonstrated that COVID-­19 non-­ vaccinated pediatric convalescents have lower adaptive immune response than adults, sustaining the recommendation for vaccination of pediatric population.",0.0,,False
25,"were obtained at a median of 4.0 months after disease onset and applied for analysis of SARS-­CoV-­2 specific IgG, MBC and MTC. Samples were obtained between April to August 2020 during the first COVID-­19 outbreak of the Alpha variant (B.1.1.7) in Israel. The pediatric convalescents with an age of COVID-­19 onset 8-­18years old were compared with a young adult-­onset patients with age 19-­ 39years and middle-­aged adult-­onset patients with age 40-­61years. Healthy subjects were enrolled to define cutoff levels for all tested parameters. Recruitment of healthy pediatric subjects was restricted by the incompliance of parents or guardians to sign informed consent. Therefore, relying on results published by Rowntree et al,4 that did not find the differences in frequency of SARS-­CoV-­2 specific memory T and B cells and anti-­receptor-­binding domain (RBD) IgG titers between healthy pediatric and adult subjects; in our study we use the healthy adult subjects as a control for both groups.",1.0,disease,True
26,2.2 | Sample preparation,0.0,,False
27,Whole blood samples were collected in serum and sodium heparin tubes (BD Vacutainer). Serum were stored at -20°C. Peripheral blood mononuclear cells (PBMC) were purified from whole blood by Lymphoprep (STEMCELL Technologies) density gradient method and cryopreserved (10% dimethyl sulfoxide and 90% fetal calf serum) in liquid nitrogen until assayed at Neuroimmunology Laboratory of Sheba Medical Center.,0.0,,False
28,2.3 | Detection of SARS-­CoV-­2 anti-­spike S1 IgG,0.0,,False
29,Detection of SARS-­CoV-­2 IgG antibodies in serum was performed by immunoassay. Anti-­SARS-­CoV-­2 ELISA (IgG) kit (Euroimmun),0.0,,False
30,"13993038, 2022, 10, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/pai.13863 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
31,GUREVICH et al.,0.0,,False
32, | 3 of 7,0.0,,False
33,"based on a recombinant S1 subunit of the SARS-­CoV-­2 spike protein was used. All procedures were performed in accordance with the manufacturer's instructions using the AGILITY® automated ELISA analyzer (DYNEX Technologies Inc.). For each sample, the ratio of an optical density to the reading of the calibrator was calculated (denoted as IgG Score). IgG Scores>1.0 were considered positive.",1.0,positive,True
34,2.4 | Detection of anti-­SARS-­CoV-­2 MBC,0.0,,False
35,"Anti-­RBD-­specific MBC were detected in PBMCs by the ELISpot assay. PBMCs were cultured for 5days in RPMI-­1640 medium with 10% fetal bovine serum and 1% penicillin-­streptomycin, ­supplemented with 1g/ml R848 (resiquimod; a TLR7/8 agonist) and 10ng/ml recombinant human IL-­2. After incubation cells were washed and a total of 250.000 PBMC per well were loaded onto ELISpot plates pre-­coated with monoclonal anti-­human IgG antibodies for 24h (37°C, 5% CO2). The human IgG SARS-­CoV-­2 RBD ELISpotPLUS (ALP kit, Mabtech, Sweden) was used according to the manufacturer's instructions as described previously.6 The number of MBC was measured as spot forming units (SFU) using a Mabtech IRISTM reader. The results were expressed as SFU per 250.000 PBMC. The positive cut-­off value (5.0 SFU/250.000 PBMC) was calculated as a 90% confidence interval in 16 adult healthy controls.",1.0,incubation,True
36,2.5 | Detection of anti-­SARS-­CoV-­2 MTC,0.0,,False
37,"non-­parametric ANOVA Kruskal-­Wallis test, the Mann-­Whitney U test and Fisher's exact test, and correlation was assessed by the Spearman test.",0.0,,False
38,3 | RESULTS,0.0,,False
39,"Eighty IgG-­positive COVID-­19 convalescents, 30 females, mean±SD age 32.6±14.8years, range 8.0-­61.0years, were included in the study. Blood samples were obtained at a median 4.0 IQR 2.1-­ 5.5 months from COVID-­19 onset and 77 and 40 samples were tested for MBC and MTC, respectively (Figure 1). The average IgG Score was 4.43±2.86, 71.2% were positive for MBC and 87.1% were positive for at least one of IFNg-­, IL2-­ or IFNg+IL2-­MTC, 72.2% were positive for both MBC and MTC and 13.1% were negative for both MBC and MTC.",1.0,positive,True
