,sentence,label,data,regex
0,Emerging Microbes & Infections,0.0,,False
1,ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/temi20,0.0,,False
2,Shared IGHV1-69-encoded neutralizing antibodies contribute to the emergence of L452R substitution in SARS-CoV-2 variants,1.0,SARS-CoV-2,True
3,"Qihong Yan, Ruitian Hou, Xiaohan Huang, Yanjun Zhang, Ping He, Yudi Zhang, Banghui Liu, Qian Wang, Haiyue Rao, Xianying Chen, Xinwei Zhao, Xuefeng Niu, Jincun Zhao, Xiaoli Xiong & Ling Chen",0.0,,False
4,"To cite this article: Qihong Yan, Ruitian Hou, Xiaohan Huang, Yanjun Zhang, Ping He, Yudi Zhang, Banghui Liu, Qian Wang, Haiyue Rao, Xianying Chen, Xinwei Zhao, Xuefeng Niu, Jincun Zhao, Xiaoli Xiong & Ling Chen (2022) Shared IGHV1-69-encoded neutralizing antibodies contribute to the emergence of L452R substitution in SARS-CoV-2 variants, Emerging Microbes & Infections, 11:1, 2749-2761, DOI: 10.1080/22221751.2022.2140611 To link to this article: https://doi.org/10.1080/22221751.2022.2140611",1.0,SARS-CoV-2,True
5,"© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Shanghai Shangyixun Cultural Communication Co., Ltd Published online: 11 Nov 2022.",0.0,,False
6,Article views: 454,0.0,,False
7,View Crossmark data,0.0,,False
8,View supplementary material Submit your article to this journal View related articles,0.0,,False
9,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation?journalCode,temi20",0.0,,False
10,"Emerging Microbes & Infections 2022, VOL. 11 https://doi.org/10.1080/22221751.2022.2140611",0.0,,False
11,RESEARCH ARTICLE,0.0,,False
12,Shared IGHV1-69-encoded neutralizing antibodies contribute to the emergence of L452R substitution in SARS-CoV-2 variants,1.0,SARS-CoV-2,True
13,"Qihong Yana,b*, Ruitian Houa,c*, Xiaohan Huanga,c*, Yanjun Zhangb*, Ping Hea,c, Yudi Zhanga,c, Banghui Liua, Qian Wangb, Haiyue Raob, Xianying Chenb, Xinwei Zhaoa, Xuefeng Niub, Jincun Zhaob, Xiaoli Xionga and Ling Chena,b",0.0,,False
14,"aState Key Laboratory of Respiratory Disease, Guangdong Laboratory of Computational Biomedicine, Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences, Guangzhou, People's Republic of China; bState Key Laboratory of Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People's Republic of China; cSavaid Medical School, University of Chinese Academy of Science, Beijing, People's Republic of China",1.0,Respiratory,True
15,ABSTRACT,0.0,,False
16,"SARS-CoV-2 variants continue to emerge facing established herd immunity. L452R, previously featured in the Delta variant, quickly emerged in Omicron subvariants, including BA.4/BA.5, implying a continued selection pressure on this residue. The underlying links between spike mutations and their selective pressures remain incompletely understood. Here, by analyzing 221 structurally characterized antibodies, we found that IGHV1-69-encoded antibodies preferentially contact L452 using germline-encoded hydrophobic residues at the tip of HCDR2 loop. Whereas somatic hypermutations or VDJ rearrangements are required to acquire L452-contacting hydrophobic residues for non-IGHV169 encoded antibodies. Antibody repertoire analysis revealed that IGHV1-69 L452-contacting antibody lineages are commonly induced among COVID-19 convalescents but non-IGHV1-69 encoded antibodies exhibit limited prevalence. In addition, we experimentally demonstrated that L452R renders most published IGHV1-69 antibodies ineffective. Furthermore, we found that IGHV1-69 L452-contacting antibodies are enriched in convalescents experienced Omicron BA.1 (without L452R) breakthrough infections but rarely found in Delta (with L452R) breakthrough infections. Taken together, these findings support that IGHV1-69 population antibodies contribute to selection pressure for L452 substitution. This study thus provides a better understanding of SARS-CoV-2 variant genesis and immune evasion.",1.0,SARS-CoV-2,True
17,ARTICLE HISTORY Received 15 August 2022; Revised 12 October 2022; Accepted 21 October 2022,0.0,,False
18,KEYWORDS SARS-CoV-2; L452R; IGHV1-69; Shared antibody response; Immune evasion,1.0,SARS-CoV-2,True
19,Introduction,0.0,,False
20,"The coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is a global health concern. Since the beginning of SARS-CoV-2 pandemic, a number of Variants of Concern (VOCs) or Variants of Interest (VOIs) have emerged, including B.1.1.7 (Alpha), B.1.351 (Beta), P.1 (Gamma), B.1.617.2 (Delta), B.1.429 (Epsilon), and BA.1.1.529 (Omicron BA.1) [1]. Analysis of their spike sequences identified that K417, L452, E484 and N501 within the receptor binding domain (RBD) are mutation hotspots and numerous substitutions have been observed at these locations among variants. It has been proposed that these recurrent RBD substitutions are associated with modulating",1.0,coronavirus,True
21,"ACE2-spike interactions and/or evasion of cellular/antibody mediated immunity. These substitutions presumably gave mutant viruses advantages in human-tohuman transmission leading to their spread [2,3].",1.0,transmission,True
22,"Before global dominance of Omicron BA.1 variant, Delta variant featuring a L452R substitution was the dominant strain worldwide. L452R was first observed in B.1.427/B.1.429 variants which were dominant in California between November and December 2020 [4]. Studies on Delta variant found that L452R mutation reduced neutralizing activities of 14 out of 34 isolated RBD-specific monoclonal antibodies (mAbs). It has milder effect in reducing neutralizing activity of convalescent sera [2,5,6]. Most recently, L452Q, L452M, and L452R have been identified in",0.0,,False
