,sentence,label,data,regex
0,The challenges of the pandemic and the vaccination against covid-19 in pediatric patients with kidney disease,1.0,pandemic,True
1,Os desafios da pandemia e a vacinação covid-19 na população pediátrica com doenças renais,1.0,covid-19,True
2,Authors,0.0,,False
3,Emília Maria Dantas Soeiro1,0.0,,False
4,Maria Goretti Moreira Guimarães Penido2,0.0,,False
5,Lilian Monteiro Pereira Palma3,0.0,,False
6,Nilzete Liberato Bresolin4,0.0,,False
7,Eduardo Jorge da Fonseca Lima1,0.0,,False
8,Vera Hermina Kalika Koch5,0.0,,False
9,Marcelo de Sousa Tavares2,0.0,,False
10,Lucimary Sylvestre6,0.0,,False
11,Rejane de Paula Bernardes7,0.0,,False
12,Clotilde Druck Garcia8,0.0,,False
13,Maria Cristina de Andrade9,0.0,,False
14,"Arnauld Kaufman10,11,12,13",0.0,,False
15,Charles Yea Zen Chow14,0.0,,False
16,Suelen Bianca Stopa Martins14,0.0,,False
17,Suzana Friedlander Del Nero Camargo14,0.0,,False
18,"1Instituto de Medicina Integral Professor Fernando Figueira, Recife, PE, Brazil. 2Santa Casa de Belo Horizonte, Centro de Nefrologia, Unidade de Nefrologia Pediátrica, Belo Horizonte, MG, Brazil. 3Universidade Estadual de Campinas, Departamento de Pediatria, Campinas, SP, Brazil. 4Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil. 5Hospital das Clínicas da Faculdade de Medicina da USP, Instituto da Criança e do Adolescente, São Paulo, SP, Brazil. 6Hospital Pequeno Príncipe, Curitiba, PR, Brazil. 7Clínica Nefrokids, Curitiba, PR, Brazil. 8Universidade Federal de Ciências da Saúde de Porto Alegre, Santa Casa de Porto Alegre, Serviço de Nefrologia Pediátrica, Porto Alegre, RS, Brazil. 9Universidade Federal de São Paulo, Escola Paulista de Medicina, São Paulo, SP, Brazil. 10Instituto de Puericultura e Pediatria Martagão Gesteira, Rio de Janeiro, RJ, Brazil. 11Universidade Federal do Rio de Janeiro, RJ, Brazil. 12Hospital Federal dos Servidores do Estado do Rio de Janeiro, RJ, Brazil. 13Grupo Assistência Médica Nefrológica, Rio de Janeiro, RJ, Brazil. 14Hospital do Rim, São Paulo, SP, Brazil.",0.0,,False
19,Submitted on: 05/07/2022. Approved on: 09/11/2022. Published on: 10/24/2022.,0.0,,False
20,Correspondence to: Maria Goretti Moreira Guimarães Penido. E-mail: mariagorettipenido@yahoo. com.br,0.0,,False
21,Abstract,0.0,,False
22,"The covid-19 vaccine confers direct protection and reduces transmission rates of the virus and new variants. Vaccines from Pfizer/BioNTech and CoronaVac have been cleared for children in Brazil. They are safe, effective, and immunogenic. There are no known complications associated with the use of steroids or vaccines in pediatric patients with covid-19 and nephrotic syndrome. With or without immunosuppression, these patients are not at increased risk of severe covid-19, and steroids are safe for them. A milder form of covid-19 occurs in patients with chronic kidney disease without the need for hospitalization. The vaccine response may be reduced and/or the duration of antibodies after vaccination may be shorter than in the general population. However, considering risk of exposure, vaccination against covid-19 is recommended. It is believed that patients with hemolytic-uremic syndrome are at higher risk of severe covid-19. Vaccination is recommended, although specific data on the safety and efficacy of the covid-19 vaccine are limited. There is agreement that the benefits of induced immunity outweigh the risks of immunization. Vaccination against covid-19 is recommended for children and adolescents needing kidney transplantation or who have undergone transplantation. These patients present decreased immune response after vaccination, but immunization is recommended because the benefits outweigh the risks of vaccination. Current recommendations in Brazil stipulate the use of the messenger RNA vaccine. This paper aims to provide pediatric nephrologists with the latest knowledge about vaccination against covid-19 for children with kidney disease.",1.0,covid-19,True
23,"Keywords: Vaccines; Covid-19; Hemolytic-Uremic Syndrome; Nephrotic Syndrome; Renal Insufficiency, Chronic; Kidney transplantation.",1.0,Vaccine,True
24,Resumo,0.0,,False
25,"A vacina covid-19 confere proteção direta, reduz as taxas de transmissão do vírus e de novas variantes. No Brasil, estão liberadas para a população pediátrica as vacinas Pfizer/BioNTech e a CoronaVac, ambas seguras, eficazes e imunogênicas. Pacientes pediátricos com síndrome nefrótica e covid-19 têm curso clínico regular sem complicações relacionadas ao uso de esteroides ou vacinas. Esses pacientes, com ou sem imunossupressão, não apresentam maior risco de covid-19 grave e o tratamento com esteroides é seguro. Os pacientes com doença renal crônica têm covid-19 mais leve, sem necessidade de hospitalização. A resposta vacinal pode ser reduzida e/ou a duração dos anticorpos pós-vacinação pode ser menor do que na população geral. Entretanto, a vacina covid-19 está recomendada, considerando o risco de exposição. Acredita-se que pacientes com síndrome hemolítico-urêmica teriam maior risco de covid-19 grave. A vacina é recomendada, embora dados específicos sobre segurança e eficácia da vacina covid-19 sejam limitados. Há concordância que os benefícios da imunidade induzida superam quaisquer riscos da imunização. A vacina covid-19 é recomendada para crianças e adolescentes candidatos ao transplante renal ou já transplantados. Esses pacientes têm resposta imunológica reduzida após a vacina, entretanto ela é recomendada porque os benefícios superam qualquer risco dessa vacinação. A recomendação atual no Brasil é a vacina de tecnologia RNA mensageiro. O objetivo deste documento é levar aos nefrologistas pediátricos os conhecimentos mais recentes sobre a vacinação contra contra-19 em crianças com doenças renais.",1.0,covid-19,True
26,Descritores: Vacinas; Covid-19; Síndrome Hemolítico-Urêmica; Síndrome Nefrótica; Insuficiência Renal Crônica; Diálise; Transplante de Rim.,0.0,,False
27,DOI: https://doi.org/10.1590/21758239-JBN-2022-0081en,0.0,,False
28,1,0.0,,False
29,Vaccination against covid-19: kidney disease and immunosuppressant therapy,1.0,covid-19,True
30,Introduction,0.0,,False
