,sentence,label,data,regex
0,TYPE Review PUBLISHED September DOI . /fsufs. .,0.0,,False
1,OPEN ACCESS,0.0,,False
2,EDITED BY,0.0,,False
3,"Anil Panghal, Chaudhary Charan Singh Haryana Agricultural University, India",0.0,,False
4,REVIEWED BY,0.0,,False
5,"Jayanta Kumar Patra, Dongguk University Seoul, South Korea Adriano Gomes Cruz, Adriano Gomes da Cruz, Brazil",0.0,,False
6,*CORRESPONDENCE,0.0,,False
7,Manjula Suri manjula.suri@ihe.du.ac.in,0.0,,False
8,These authors share first authorship,0.0,,False
9,SPECIALTY SECTION,0.0,,False
10,"This article was submitted to Sustainable Food Processing, a section of the journal Frontiers in Sustainable Food Systems",0.0,,False
11,RECEIVED ACCEPTED PUBLISHED,0.0,,False
12,March September September,0.0,,False
13,CITATION,0.0,,False
14,"Aggarwal S, Sabharwal V, Kaushik P,",0.0,,False
15,"Joshi A, Aayushi A and Suri M ( )",0.0,,False
16,Postbiotics: From emerging concept,0.0,,False
17,to application.,0.0,,False
18,Front. Sustain. Food Syst. :,0.0,,False
19,.,0.0,,False
20,doi: . /fsufs. .,0.0,,False
21,COPYRIGHT,0.0,,False
22,©,0.0,,False
23,"Aggarwal, Sabharwal, Kaushik,",0.0,,False
24,"Joshi, Aayushi and Suri. This is an",0.0,,False
25,open-access article distributed under,0.0,,False
26,the terms of the Creative Commons,0.0,,False
27,"Attribution License (CC BY). The use,",0.0,,False
28,distribution or reproduction in other,0.0,,False
29,"forums is permitted, provided the",0.0,,False
30,original author(s) and the copyright,0.0,,False
31,owner(s) are credited and that the,0.0,,False
32,original publication in this journal is,0.0,,False
33,"cited, in accordance with accepted",0.0,,False
34,"academic practice. No use, distribution",0.0,,False
35,or reproduction is permitted which,0.0,,False
36,does not comply with these terms.,0.0,,False
37,Postbiotics: From emerging concept to application,0.0,,False
38,"Sunita Aggarwal , Vandana Sabharwal , Pragya Kaushik , Anushka Joshi , Aayushi Aayushi and Manjula Suri *",0.0,,False
39,"Department of Microbiology, Institute of Home Economics, University of Delhi, New Delhi, India, Department of Food and Nutrition and Food Technology, Institute of Home Economics, University of Delhi, New Delhi, India, Department of Physiology and Promotive Health, Institute of Home Economics, University of Delhi, New Delhi, India",0.0,,False
40,"The microbiome innovation has resulted in an umbrella term, postbiotics, which refers to non-viable microbial cells, metabolic byproducts and their microbial components released after lysis. Postbiotics, modulate immune response, gene expression, inhibit pathogen binding, maintain intestinal barriers, help in controlling carcinogenesis and pathogen infections. Postbiotics have antimicrobial, antioxidant, and immunomodulatory properties with favorable physiological, immunological, neuro-hormonal, regulatory and metabolic reactions. Consumption of postbiotics relieves symptoms of various diseases and viral infections such as SARS-CoV- . Postbiotics can act as alternatives for pre-probiotic specially in immunosuppressed patients, children and premature neonates. Postbiotics are used to preserve and enhance nutritional properties of food, elimination of biofilms and skin conditioning in cosmetics. Postbiotics have numerous advantages over live bacteria with no risk of bacterial translocation from the gut to blood, acquisition of antibiotic resistance genes. The process of extraction, standardization, transport, and storage of postbiotic is more natural. Bioengineering techniques such as fermentation technology, high pressure etc., may be used for the synthesis of di erent postbiotics. Safety assessment and quality assurance of postbiotic is important as they may induce stomach discomfort, sepsis and/or toxic shock. Postbiotics are still in their infancy compared to pre- and pro- biotics but future research in this field may contribute to improved physiological functions and host health. The current review comprehensively summarizes new frontiers of research in postbiotics.",1.0,disease,True
41,KEYWORDS,0.0,,False
42,"postbiotics, microbiome, cell free suspensions (CFS), bacterial lysate, Lactobacillus, nutritional benefits",0.0,,False
43,Introduction,0.0,,False
44,"According to microbiome researchers, every individual has a distinctive set of microbiota, determined by their DNA and environment. During delivery and lactation, the infant is first exposed to microorganisms (Ursell et al., 2012). The species of microbiome found in the maternal GI flora decides the type of microbiome exposure to the infant. Various factors e.g., genetics, environment, type of delivery, medication and food plays an important role in determining the microbiota inhabiting the colon.",1.0,,True
45,Frontiers in Sustainable Food Systems,0.0,,False
46,frontiersin.org,0.0,,False
47,Aggarwal et al.,0.0,,False
48,. /fsufs. .,0.0,,False
