,sentence,label,data,regex
0,Autoimmunity,0.0,,False
1,ORIGINAL RESEARCH,0.0,,False
2,Immune-­mediated inflammatory diseases after anti-S­ ARS-C­ oV-­2 vaccines: new diagnoses and disease flares,1.0,disease,True
3,"Francesco Carubbi  , Alessia Alunno  , Jessica Santilli, Laura Natali, Bernardina Mancini, Nicoletta Di Gregorio, Rita Del Pinto, Angelo Viscido, Davide Grassi, Claudio Ferri",0.0,,False
4,"To cite: Carubbi F, Alunno A, Santilli J, et al. Immune-­ mediated inflammatory diseases after anti-­SARS-­CoV-­2 vaccines: new diagnoses and disease flares. RMD Open 2022;8:e002460. doi:10.1136/ rmdopen-2022-002460",1.0,disease,True
5," Additional supplemental material is published online only. To view, please visit the journal online (http://dx.doi.org/10. 1136/rmdopen-2022-002460).",0.0,,False
6,"FC, AA and JS contributed equally.",0.0,,False
7,"FC, AA and JS are joint first authors.",0.0,,False
8,Received 7 May 2022 Accepted 11 August 2022,0.0,,False
9,"© Author(s) (or their employer(s)) 2022. Re-­use permitted under CC BY-­NC. No commercial re-u­ se. See rights and permissions. Published by BMJ. Department of Life, Health & Environmental Sciences and Internal Medicine and Nephrology Unit, Department of Medicine, University of L'Aquila and ASL Avezzano-S­ ulmona-­ L'Aquila, San Salvatore Hospital, L'Aquila, Italy",0.0,,False
10,Correspondence to Dr Francesco Carubbi; francescocarubbi@libero.it,0.0,,False
