,sentence,label,data,regex
0,www.nature.com/npjvaccines,1.0,vaccine,True
1,"1234567890():,;",0.0,,False
2,REVIEW ARTICLE,0.0,,False
3,OPEN,0.0,,False
4,Scientific rationale for developing potent RBD-based vaccines,1.0,vaccine,True
5,targeting COVID-19,1.0,COVID-19,True
6,"Harry Kleanthous1, Judith Maxwell Silverman 2, Karen W. Makar1, In-Kyu Yoon 3, Nicholas Jackson3  and David W. Vaughn 1",0.0,,False
7,"Vaccination of the global population against COVID-19 is a great scientific, logistical, and moral challenge. Despite the rapid development and authorization of several full-length Spike (S) protein vaccines, the global demand outweighs the current supply and there is a need for safe, potent, high-volume, affordable vaccines that can fill this gap, especially in low- and middle-income countries. Whether SARS-CoV-2 S-protein receptor-binding domain (RBD)-based vaccines could fill this gap has been debated, especially with regards to its suitability to protect against emerging viral variants of concern. Given a predominance for elicitation of neutralizing antibodies (nAbs) that target RBD following natural infection or vaccination, a key biomarker of protection, there is merit for selection of RBD as a sole vaccine immunogen. With its high-yielding production and manufacturing potential, RBD-based vaccines offer an abundance of temperature-stable doses at an affordable cost. In addition, as the RBD preferentially focuses the immune response to potent and recently recognized cross-protective determinants, this domain may be central to the development of future pan-sarbecovirus vaccines. In this study, we review the data supporting the non-inferiority of RBD as a vaccine immunogen compared to full-length S-protein vaccines with respect to humoral and cellular immune responses against both the prototype pandemic SARS-CoV-2 isolate and emerging variants of concern.",1.0,COVID-19,True
8,npj Vaccines (2021)6:128 ; https://doi.org/10.1038/s41541-021-00393-6,1.0,Vaccine,True
9,INTRODUCTION,0.0,,False
10,"Unprecedented progress has been made in the design, development, production, and distribution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccines to address the coronavirus disease 2019 (COVID-19) pandemic. COVAX, a global initiative aimed at equitable access to COVID-19 vaccines led by the World Health Organization (WHO), the Coalition for Epidemic Preparedness Innovations and Gavi, The Vaccine Alliance, has delivered over 370 million doses to 144 countries and territories (https://www.unicef.org/supply/covid-19-vaccine-market-dashboard). Despite these remarkable achievements, there are serious challenges threatening the initial target delivery of 2 billion doses in 2021, such as raw material shortages, manufacturing delays, safety signals, the emergence of multiple viral variants of concern and interest (VOC/ VOI)1,2, and unequal procurement of vaccines by high-income countries. Ultimately, these challenges may result in a significant shortfall and delay in vaccine being made available to low- and middle-income countries (LMIC).",1.0,respiratory,True
11,"Most of the COVID-19 vaccines currently available or soon to be available to COVAX--including adenovirus-vectored, mRNA, and protein-subunit vaccines--use antigens based upon the SARSCoV-2 full-length Spike (S) protein. Figure 1 illustrates the S-protein in its trimeric prefusion conformation showing the receptor-binding domain (RBD) on each protomer at the apex, the N-terminal domain (NTD) and the conserved S2 stalk region3,4. Vaccine approaches using just the RBD region as an antigen have the advantage of focusing immunity to key protective determinants. As an immunogen, the RBD shares multiple positive attributes with the parental full-length S-protein (Table 1), as well as potential production and manufacturing advantages such as delivery of abundant5, temperature-stable6,7 vaccine doses at an affordable cost, critical factors for distributing vaccine to LMIC. Following several successful preclinical proof-of-",1.0,COVID-19,True
12,"concept studies, RBD candidates have been advanced into clinical testing utilizing multiple vaccine platforms (Table 2). With the potential for making billions of doses of RBD vaccines available, its manufacture at single-site production facilities by experienced developing country vaccine manufacturers (DCVM) will obviate the need for numerous tech-transfers and minimize the risk of delays. This will be especially important in case there is a need to update the vaccine based on epidemiological trends, as is the case for seasonal influenza vaccines.",1.0,clinical,True
13,"Available data are evaluated here from numerous preclinical and clinical studies, supporting the non-inferiority of RBD vaccine immunogens compared to full-length S-protein (Table 1), both with respect to eliciting homotypic and heterotypic crossneutralizing antibody (nAb) responses and cross-protection against emerging variants.",1.0,clinical,True
14,CLINICAL DATA SUPPORT NAB AS A BIOMARKER OF PROTECTION,0.0,,False
15,"Vaccine-induced immunity and efficacy are being used to help establish a correlate of protection (CoP), a measurable immune response (often nAb titer) predictive of protection, as has been demonstrated for some licensed vaccines8,9. As of October 2021, both meta-analyses and prospective case-cohort sampling analyses have found a strong correlation between nAb titers and protection against COVID-1910-13. This is underpinned by passive immunization and preclinical vaccine efficacy studies in nonhuman primates (NHPs) that similarly support nAb as a CoP14-16.",1.0,Vaccine,True
16,"Meta-analyses of numerous clinical candidates support the correlation between vaccine efficacy and nAb titer, regardless of vaccine platform. In seeking to establish a CoP for COVID-19 vaccines, both Earle et al.11 and Khoury et al.12 initially showed only a weak relationship between efficacy and reported nAb or",1.0,clinical,True
17,"1Bill and Melinda Gates Foundation, Seattle, WA, USA. 2Bill and Melinda Gates Medical Research Institute, Seattle, WA, USA. 3Coalition for Epidemic Preparedness Innovations, Greater London, UK. email: nick.jackson@cepi.net",1.0,Epidemic,True
18,Published in partnership with the Sealy Institute for Vaccine Sciences,1.0,Vaccine,True
19,H. Kleanthous et al.,0.0,,False
20,2,0.0,,False
21,"binding antibody (bAb) titers11,12. This poor association could be platform used (rank correlation  , 0.79). nAb calibrated against",0.0,,False
22,explained by the high variation observed between the selected HCS accounted for up to 88.4% of the variation in efficacy,0.0,,False
23,"assays used by different studies17,18. This variability was partially mitigated by calibrating the assays against panels of human",0.0,,False
24,"observed across seven different vaccine studies and suggest that any vaccine, including RBD-based vaccines, which elicit significant",1.0,vaccine,True
25,"convalescent sera (HCS) run within the same study. When the titers were calibrated to HCS, a strong correlation between nAb and efficacy was observed, irrespective of the specific assay",0.0,,False
26,"amounts of nAb, is likely to afford protection. The correlation was",0.0,,False
27,"further strengthened (rank correlation  , 0.86) when the analysis uncoupled the timing of the second dose and efficacy in the AstraZeneca ChAdOx trial13. A recent pre-publication investigating",1.0,trial,True
28,direct quantitative comparison of immune correlates results from,0.0,,False
29,the AZD12222 trial and the mRNA-1273 Coronavirus Efficacy (COVE) trial shows remarkably consistent results for nAb10. This,1.0,trial,True
30,direct comparison was enabled by calibrating assays and,0.0,,False
31,"reporting results against the WHO International Standard17, steps",0.0,,False
32,that are essential for comparing clinical immunological data and,1.0,clinical,True
33,by now should be the standard in the field19. The same pre-,0.0,,False
34,publication also noted that 68.5% of vaccine efficacy was,1.0,vaccine,True
35,mediated by the day 29 cID50 titer in the mRNA-1272 COVE,1.0,,True
36,trial10. The totality of the data support neutralization titer as a,1.0,trial,True
37,potential surrogate endpoint in future clinical trials of mRNA-1273.,1.0,clinical,True
38,These statistical efforts to identify a CoP for COVID-19 vaccines are,1.0,COVID-19,True
39,being increasingly recognized by vaccine manufacturers and,1.0,vaccine,True
40,regulatory agencies. The UK Medicines and Healthcare Products,0.0,,False
41,Regulatory Agency approved a pivotal Phase 3 study design to,0.0,,False
42,support vaccine authorization comparing the immunogenicity of a,1.0,vaccine,True
43,candidate vaccine to the immunogenicity of an approved vaccine,1.0,vaccine,True
44,"with clinical evidence of efficacy, using nAb as a biomarker of protection20. Additional clinical trial-specific analyses expressed in",1.0,clinical,True
45,"International Units are awaited, as well as assessment of the",0.0,,False
46,durability of this correlation over time and impact of,0.0,,False
47,circulating VOC.,0.0,,False
48,"Fig. 1 Structure of the SARS-CoV-2 S-protein in the trimeric prefusion conformation. The structure of the S-protein trimer was modeled based on PDB 7LXY37. The three protomers (A, B, and C) are colored in cyan, yellow, and lilac, respectively. Structural components indicated include the NTD, the RBD, the N terminus, and the S2 domain.",1.0,SARS-CoV-2,True
49,RBD IS A KEY TARGET OF NAB,0.0,,False
50,"During the acute phase of natural infection, there is a rapid onset of protective immunity, typified by serum IgG nAb that targets RBD21. Functional RBD-specific responses at mucosal surfaces have also been noted, with secretory IgA shown to offer potent neutralization22, highlighting a preference for both systemic and mucosal responses. Depletion experiments demonstrate that 90% or more of the neutralizing activity present in the plasma of convalescent",1.0,protective,True
51,"1234567890():,;",0.0,,False
52,Table 1. Properties of RBD-based vaccine immunogens compared to full-length S-protein immunogens.,1.0,vaccine,True
53,Properties,0.0,,False
54,RBD,0.0,,False
55,S-protein Comments,0.0,,False
56,Structure Neutralizing antibody titer RBD epitopes,0.0,,False
57,NTD epitopes Neutralizing : binding antibody ratio CD4+ epitopes,0.0,,False
58,CD8+ epitopes,0.0,,False
59,B-cell memory,0.0,,False
60,Antibody persistence NHP efficacy,0.0,,False
61,Clinical efficacy,1.0,Clinical,True
62,Supply volume Cost,0.0,,False
63,3° High Yes,0.0,,False
64,No High,0.0,,False
65,4° High Yes,0.0,,False
66,Yes Medium,0.0,,False
67,"Tertiary structure recognized by conformational nAb >90% Target RBD but Spike protein offers anti-NTD and anti-S2 nAb RBD epitopes appear to undergo convergent evolution and cross-protect against CoV-2 variants and other sarbecoviruses. NTD is showing deletions, insertions, and divergent substitutions Induction of nAb that contribute to efficacy (CoP) favors an immune-focused strategy",0.0,,False
68,Medium High,0.0,,False
69,Low,0.0,,False
70,Low,0.0,,False
71,High High,0.0,,False
72,Yes High,0.0,,False
73,Yes High,0.0,,False
74,Yes,0.0,,False
75,Yes,0.0,,False
76,High Low,0.0,,False
77,Medium Medium,0.0,,False
78,RBD-specific immunity can be augmented by multimeric display (virus-like particles) and adjuvants Subunit approaches (S-protein and RBD) appear to be devoid of CD8+ T-cell responses. S-protein offers better coverage for cell-mediated immunity (CMI).,0.0,,False
79,"RBD-specific memory B cells show evidence of somatic hypermutation, which increases breadth of neutralization",0.0,,False
80,"Demonstrated >6 months (e.g., SK bioscience RBD-np and Pfizer-BioNTech S-protein vaccines)",1.0,vaccine,True
81,Proof-of-concept demonstrated against upper and lower respiratory tract infection and disease,1.0,respiratory,True
82,"15 S-protein-based vaccines have reported 50% efficacy, with variations depending on the dominant viral variant. News reports of >90% for two Cuban RBD-based vaccines.",1.0,vaccine,True
83,COVAX has negotiated favorable access terms for RBD vaccine candidates,1.0,vaccine,True
84,COGs low as produced by developing country vaccine manufacturers,1.0,vaccine,True
85,npj Vaccines (2021) 128,1.0,Vaccine,True
86,Published in partnership with the Sealy Institute for Vaccine Sciences,1.0,Vaccine,True
87,Published in partnership with the Sealy Institute for Vaccine Sciences,1.0,Vaccine,True
88,Table 2. RBD-based vaccines in clinical development.,1.0,vaccine,True
89,Developer and vaccine,1.0,vaccine,True
90,Manufacturing platform,0.0,,False
91,Antigen and adjuvant,0.0,,False
92,Dosing schedule (g RBD) Current clinical phase Neutralizing antibody (vaccine/HCS),1.0,clinical,True
93,References and Clinical Trial registration number,1.0,Clinical,True
94,Adimmune AdCOVID Akston Biosciences AKS-452,0.0,,False
95,Biological E RBD219-N1C1,0.0,,False
96,Center for Genetic Engineering and Biotechnology Abdala CIGB 66,0.0,,False
97,Center for Genetic Engineering and Biotechnology Mambisa CIGB 669,0.0,,False
98,Covaxx UB-612,0.0,,False
99,Baculovirus CHO Pichia Yeast,0.0,,False
100,Yeast,0.0,,False
101,CHO,0.0,,False
102,EuBiologics EuCorVac-19 Finlay Vaccine Institute Soberana 02,1.0,Vaccine,True
103,CHO Baculovirus,0.0,,False
104,Hong Kong University LAIV Pfizer/BioNTech BNT162b1,0.0,,False
105,Hens' eggs mRNA,1.0,,True
