,sentence,label,data,regex
0,"Cite as: T. Mao et al., Science 10.1126/science.abo2523 (2022).",0.0,,False
1,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
2,First release: 27 October 2022,0.0,,False
3,science.org,0.0,,False
4,(Page numbers not final at time of first release) 1,0.0,,False
5,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
6,First release: 27 October 2022,0.0,,False
7,science.org,0.0,,False
8,(Page numbers not final at time of first release) 2,0.0,,False
9, First release: 27 October 2022,0.0,,False
10,science.org,0.0,,False
11,(Page numbers not final at time of first release) 3,0.0,,False
12,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
13,First release: 27 October 2022,0.0,,False
14,science.org,0.0,,False
15,(Page numbers not final at time of first release) 4,0.0,,False
16,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
17,First release: 27 October 2022,0.0,,False
18,science.org,0.0,,False
19,(Page numbers not final at time of first release) 5,0.0,,False
20,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
21,,0.0,,False
22,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
23,First release: 27 October 2022,0.0,,False
24,science.org,0.0,,False
25,(Page numbers not final at time of first release) 6,0.0,,False
26, ,0.0,,False
27,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
28,First release: 27 October 2022,0.0,,False
29,science.org,0.0,,False
30,(Page numbers not final at time of first release) 7,0.0,,False
31,,0.0,,False
32,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
33,First release: 27 October 2022,0.0,,False
34,science.org,0.0,,False
35,(Page numbers not final at time of first release) 8,0.0,,False
36,First release: 27 October 2022,0.0,,False
37,science.org,0.0,,False
38,(Page numbers not final at time of first release) 9,0.0,,False
39,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
40,First release: 27 October 2022,0.0,,False
41,science.org,0.0,,False
42,(Page numbers not final at time of first release) 10,0.0,,False
43,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
44,First release: 27 October 2022,0.0,,False
45,science.org,0.0,,False
46,(Page numbers not final at time of first release) 11,0.0,,False
47,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
48,First release: 27 October 2022,0.0,,False
49,science.org,0.0,,False
50,(Page numbers not final at time of first release) 12,0.0,,False
51,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
52,First release: 27 October 2022,0.0,,False
53,science.org,0.0,,False
54,(Page numbers not final at time of first release) 13,0.0,,False
55,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
56,First release: 27 October 2022,0.0,,False
57,science.org,0.0,,False
58,(Page numbers not final at time of first release) 14,0.0,,False
59,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
60,First release: 27 October 2022,0.0,,False
61,science.org,0.0,,False
62,(Page numbers not final at time of first release) 15,0.0,,False
63,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
64,First release: 27 October 2022,0.0,,False
65,science.org,0.0,,False
66,(Page numbers not final at time of first release) 16,0.0,,False
67,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
68,First release: 27 October 2022,0.0,,False
69,science.org,0.0,,False
70,(Page numbers not final at time of first release) 17,0.0,,False
71,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
72,,0.0,,False
73,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
74,First release: 27 October 2022,0.0,,False
75,science.org,0.0,,False
76,(Page numbers not final at time of first release) 18,0.0,,False
77,First release: 27 October 2022,0.0,,False
78,science.org,0.0,,False
79,(Page numbers not final at time of first release) 19,0.0,,False
80,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
81,First release: 27 October 2022,0.0,,False
82,science.org,0.0,,False
83,(Page numbers not final at time of first release) 20,0.0,,False
84,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
85,First release: 27 October 2022,0.0,,False
86,science.org,0.0,,False
87,(Page numbers not final at time of first release) 21,0.0,,False
88,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
89,,0.0,,False
90,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
91,First release: 27 October 2022,0.0,,False
92,science.org,0.0,,False
93,(Page numbers not final at time of first release) 22,0.0,,False
94,"Downloaded from https://www.science.org on November 17, 2022",0.0,,False
95,Unadjuvanted intranasal spike vaccine elicits protective mucosal immunity against sarbecoviruses,1.0,vaccine,True
96,"Tianyang MaoBenjamin IsraelowMario A. Peña-HernándezAlexandra SuberiLiqun ZhouSophia LuytenMelanie ReschkeHuiping DongRobert J. HomerW. Mark SaltzmanAkiko Iwasaki Science, Ahead of Print · DOI: 10.1126/science.abo2523 View the article online https://www.science.org/doi/10.1126/science.abo2523 Permissions https://www.science.org/help/reprints-and-permissions",0.0,,False
97,"Use of this article is subject to the Terms of service Science (ISSN ) is published by the American Association for the Advancement of Science. 1200 New York Avenue NW, Washington, DC 20005. The title Science is a registered trademark of AAAS. Copyright © 2022 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Distributed under a Creative Commons Attribution License 4.0 (CC BY).",0.0,,False
98,,0.0,,False
