,sentence,label,data,regex
0,REPORTS,0.0,,False
1,CORONAVIRUS,1.0,,True
2,"Cite as: J. Tang et al., Sci. Immunol. 10.1126/sciimmunol.add4853 (2022).",0.0,,False
3,Respiratory mucosal immunity against SARS-CoV-2,1.0,Respiratory,True
4,following mRNA vaccination,1.0,,True
5,"Jinyi Tang1,2,3*, Cong Zeng4,5*, Thomas M. Cox3, Chaofan Li1,2,3, Young Min Son1,6, In Su Cheon1,2,3, Yue Wu7, Supriya Behl8, Justin J. Taylor9, Rana Chakraborty8, Aaron J. Johnson7, Dante N. Schiavo3, James P. Utz3, Janani S. Reisenauer3, David E. Midthun3, John J. Mullon3, Eric S. Edell3, Mohamad G. Alameh10, Larry Borish11, William G. Teague12, Mark H. Kaplan13, Drew Weissman10, Ryan Kern3, Haitao Hu14, Robert Vassallo3, Shan-Lu Liu4,5# and Jie Sun1,2,3,7#",0.0,,False
6,"1Carter Immunology Center, University of Virginia, Charlottesville, VA, USA 22908 2Division of Infectious Disease and International Health, Department of Medicine, University of Virginia, Charlottesville, VA, USA 22908 3Division of Pulmonary and Critical Medicine, Department of Medicine, Mayo Clinic, Rochester, MN, USA 55905 4Center for Retrovirus Research, The Ohio State University, Columbus, OH, USA 43210 5Department of Veterinary Biosciences, The Ohio State University, Columbus, OH, USA 43210 6Department of Systems Biotechnology, Chung-Ang University, Anseong, Gyeonggi-do, Republic of Korea 17546 7Department of Immunology, Mayo Clinic, Rochester, MN, USA 55905 8Department of Pediatrics and Adolescent Medicine, Mayo Clinic, Rochester, MN, USA 55905 9Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Research Center, Seattle, WA, USA 98109 10Department of Medicine, University of Pennsylvania, Philadelphia, PA, USA 19104 11Division of Asthma, Allergy and Immunology, Department of Medicine, University of Virginia, Charlottesville, VA, USA 22908 12Child Health Research Center, Department of Pediatrics, University of Virginia, Charlottesville, VA, USA 22908 13Department of Microbiology and Immunology, Indiana University School of Medicine, Indianapolis, IN, USA 46074 14Department of Microbiology and Immunology, University of Texas Medical Branch, Galveston, TX, USA 77555",1.0,Infectious,True
7,*These authors contribute equally,0.0,,False
8,#These authors contribute equally,0.0,,False
9,"*Corresponding author. Email: liu.6244@osu.edu, js6re@virginia.edu",0.0,,False
10,"SARS-CoV-2 mRNA vaccination induces robust humoral and cellular immunity in the circulation; however, it is currently unknown whether it elicits effective immune responses in the respiratory tract, particularly against variants of concern (VOCs), including Omicron. We compared the SARS-CoV-2 S-specific total and neutralizing antibody responses, and B and T cell immunity, in the bronchoalveolar lavage fluid (BAL) and blood of COVID-19 vaccinated individuals and hospitalized patients. Vaccinated individuals had significantly lower levels of neutralizing antibody against D614G, Delta (B.1.617.2) and Omicron BA.1.1 in the BAL compared to COVID-19 convalescents, despite robust S-specific antibody responses in the blood. Furthermore, mRNA vaccination induced circulating S-specific B and T cell immunity, but in contrast to COVID-19 convalescents, these responses were absent in the BAL of vaccinated individuals. Using a mouse immunization model, we demonstrated that systemic mRNA vaccination alone induced weak respiratory mucosal neutralizing antibody responses, especially against SARS-CoV-2 Omicron BA.1.1 in mice; however, a combination of systemic mRNA vaccination plus mucosal adenovirus-S immunization induced strong neutralizing antibody responses, not only against the ancestral virus but also the Omicron BA.1.1 variant. Together, our study supports the contention that the current COVID-19 vaccines are highly effective against severe disease development, likely through recruiting circulating B and T cell responses during reinfection, but offer limited protection against breakthrough infection, especially by Omicron sublineage. Hence, mucosal booster vaccination is needed to establish robust sterilizing immunity in the respiratory tract against SARS-CoV-2, including infection by Omicron sublineage and future VOCs.",1.0,SARS-CoV-2,True
11,INTRODUCTION The ongoing COVID-19 pandemic is a global public health,1.0,COVID-19,True
12,"crisis, and vaccination is considered the key to ending the pandemic (1, 2). It is well recognized that current SARS-CoV2 vaccines, particularly mRNA-based vaccination, can induce robust humoral and cellular immunity and prevent severe disease caused by SARS-CoV-2 (3); however, protection against asymptomatic to mild infection and transmission, particularly following SARS-CoV-2 VOCs exposure, by mRNA vaccination is rather limited (4, 5). The reasons for this are",1.0,pandemic,True
13,"poorly defined. Notably, most of the previous studies were conducted us-",0.0,,False
14,"ing blood to determine circulating antibodies and B and T cell immunity following vaccination (6). However, SARS-CoV2 enters the host predominantly through the respiratory tract. As the result, respiratory mucosal antibodies, tissueresident memory T (TRM) and B cells are likely among the early responders during viral entry, and so they are believed to be essential for the protection against the establishment of viral infection after vaccination or prior viral exposure (7).",1.0,respiratory,True
15,First release: 19 July 2022,0.0,,False
16,www.science.org/journal/sciimmunol,0.0,,False
17,(Page numbers not final at time of first release) 1,0.0,,False
18,"Thus, we reasoned that it was critical to characterize respiratory mucosal humoral and cellular immunity following COVID-19 mRNA vaccination or natural infection to better understand the vaccine- or infection-mediated protection against SARS-CoV-2 infection. Additionally, the SARS-CoV-2 Omicron sublineage, easily escapes both vaccine and infection-elicited antibody neutralization in the blood (8-14). It is currently unclear whether efficient mucosal neutralizing antibody responses can be induced by vaccination, and/or natural infection, and to what extent this could protect against SARS-CoV-2 infection.",1.0,respiratory,True
19,"Previous studies have examined the COVID-19 mRNA vaccine induced humoral and cellular immunity in the nasal mucosa (15, 16). However, it is still controversial whether intramuscular mRNA immunization can induce meaningful neutralizing antibodies and tissue-resident T and B cells in the nasal tissue (17, 18), potentially in part due to the limited amount of fluids/cells that can be sampled in nasal washes or nasal swabs. Thus, the current understanding on the COVID19 vaccine-induced mucosal immunity in the respiratory tract remains largely elusive.",1.0,COVID-19,True
20,"Here, we collected bronchoalveolar lavage fluid (BAL) and blood of unvaccinated healthy donors, COVID-19 vaccinated individuals and recovered hospitalized patients. We examined mucosal binding and neutralizing antibodies, and tissue-resident T and B cell responses in those subjects. Additionally, using a mouse model, we compared the mucosal immunity induced by homogeneous intramuscular mRNA vaccination versus intramuscular mRNA vaccination plus intranasal adenovirus vector booster immunization. Our results demonstrated that robust mucosal humoral and cellular immune responses were elicited in the lung by natural infection and mRNA vaccination plus adenovirus-mediated vaccination, but not by the mRNA vaccination alone.",1.0,flu,True
21,RESULTS Characterization of respiratory mucosal antibody,1.0,respiratory,True
22,responses following vaccination or natural infection To determine the humoral and cellular immune responses,0.0,,False
23,"following COVID-19 vaccination, we collected blood and BAL samples from 19 COVID-19-vaccinated individuals (Fig. 1A). Most of these individuals had received two doses of mRNA vaccination, with 3 individuals receiving the third booster and one having the J&J vaccine. The vaccine type, timing of collection, age, and sex information are included in Table. S1. We compared the vaccine-induced respiratory and circulating antibodies, as well as cellular immune responses, to those of hospitalized COVID-19 convalescent patients that we have previously recruited between September 2020 to April 2021 when the D614G and Alpha variants dominated (19). We first performed enzyme-linked immunoassay (ELISA) to determine and compare the SARS-CoV-2 S1 or receptor binding domain (RBD)-specific IgG, IgA and IgM levels in",1.0,COVID-19,True
24,"unvaccinated control (non-SARS-CoV-2 infected), vaccinated, and convalescent groups in the plasma. Similar to what was previously shown (3, 20), COVID-19 vaccination induced robust S1 or RBD-specific plasma IgG at levels comparable to severe cases of natural infection (Fig. 1B and Fig. S1A). The S1 or RBD-specific IgG levels in the BAL were also comparable between COVID-19-vaccinated and convalescent groups (Fig. 1C and Fig. S1B). Compared to unvaccinated donor, COVID19 convalescents exhibited moderate but detectable S1-specific IgA responses in the blood (Fig. 1D and Fig. S1C). Importantly, prior severe SARS-CoV-2 infection provoked significant levels of S1 or RBD-specific IgA in the respiratory mucosa, which was not the case for COVID-19 vaccination (Fig. 1E and Fig. S1D). The lack of notable IgA production in the respiratory mucosal appeared to contrast with the detection of moderate but significant IgA responses in the saliva following mRNA vaccination (21, 22). We also examined IgM in the blood and BAL, and observed that, while detectable levels of IgM were present in the circulation of both COVID19-vaccination group and prior infection cases, only prior infection elicited significantly elevated IgM responses in the BAL (Fig. S1E-H).",1.0,SARS-CoV-2,True
25,"Given the existence of cross-reactive and neutralizing antibodies against non-S1 or RBD epitopes (23-25), we further examined binding antibody response against Spike protein and Nucleocapsid protein, which would have informed potential unidentified infection. COVID-19 convalescents showed significantly higher S-specific IgG, IgA and N-specific IgG, but not S-specific IgM levels in blood, compared to those of vaccinated (Fig. S1 I-L). Similar results were found in the BAL (Fig. S1 M-P). Importantly, and consistent with results of S1 or RBD-specific IgA, significant level of S-specific IgA was observed both in BAL and blood from convalescents but not vaccinated individuals (Fig. S1 M, O). Together, these results revealed that, in contrast to natural infection, COVID-19 vaccination did not provoke robust IgA responses in the respiratory tract in our cohort.",1.0,COVID-19,True
26,Mucosal antibody neutralizing activity against VOCs,0.0,,False
