,sentence,label,data,regex
0,Psychiatry Research 301 (2021) 113998 Contents lists available at ScienceDirect,0.0,,False
1,Psychiatry Research,0.0,,False
2,journal homepage: www.elsevier.com/locate/psychres,0.0,,False
3,Suicide behaviors during the COVID-19 pandemic: A meta-analysis of 54 studies,1.0,COVID-19,True
4,"Justin P. Dub´e a, Martin M. Smith b, Simon B. Sherry a,*, Paul L. Hewitt b, Sherry H. Stewart a,c",0.0,,False
5,"a Department of Psychology and Neuroscience, Dalhousie University, 1355 Oxford Street, PO Box 15000, Halifax, NS, Canada B3H 4R2 b Department of Psychology, University of British Columbia, Vancouver, British Columbia, Canada V6T 1Z4 c Department of Psychiatry, Dalhousie University, 8th floor, Abbie J. Lane Building, 5909 Veterans' Memorial Lane, Halifax, Nova Scotia, Canada B3H 2E2",0.0,,False
6,ARTICLE INFO,0.0,,False
7,Keywords: Suicide ideation Suicide attempts Self-harm Suicide prevention,0.0,,False
8,ABSTRACT,0.0,,False
9,"COVID-19, and efforts to mitigate its spread, are creating extensive mental health problems. Experts have speculated the mental, economic, behavioral, and psychosocial problems linked to the COVID-19 pandemic may lead to a rise in suicide behavior. However, a quantitative synthesis is needed to reach an overall conclusion regarding the pandemic-suicide link. In the most comprehensive test of the COVID-19--suicidality link to date, we meta-analyzed data from 308,596 participants across 54 studies. Our results suggested increased event rates for suicide ideation (10.81%), suicide attempts (4.68%), and self-harm (9.63%) during the COVID-19 pandemic when considered against event rates from pre-pandemic studies. Moderation analysis indicated younger people, women, and individuals from democratic countries are most susceptible to suicide ideation during the COVID-19 pandemic. Policymakers and helping professionals are advised that suicide behaviors are alarmingly common during the COVID-19 pandemic and vary based upon age, gender, and geopolitics. Strong protections from governments (e.g., implementing best practices in suicide prevention) are urgently needed to reduce suicide behaviors during the COVID-19 pandemic.",1.0,COVID-19,True
10,1. Introduction,0.0,,False
11,"The COVID-19 virus, and efforts to mitigate its spread, are creating serious mental health problems around the world. The COVID-19 pandemic is linked to alarming increases in depression and anxiety, isolation and loneliness, alcohol and cannabis misuse, and unemploy­ ment and other economic problems (e.g., Killgore et al., 2020b; Luo et al., 2020).",1.0,COVID-19,True
12,"Negative sequelae of the pandemic are also not equally or randomly distributed across people or places. Disadvantaged and marginalized people, such as those who are Black (e.g., Bray et al., 2020) or people with pre-existing mental health problems (e.g., Taylor and Asmundson, 2020), appear especially vulnerable to the pandemic's negative psy­ chosocial impacts.",1.0,Negative,True
