,sentence,label,data,regex
0,Environmental Science and Pollution Research (2022) 29:79413-79433 https://doi.org/10.1007/s11356-022-21380-x,0.0,,False
1,RESEARCH ARTICLE,0.0,,False
2,A thematic analysis-based model for identifying the impacts of natural crises on a supply chain for service integrity: a text analysis approach,0.0,,False
3,Mohammad Reza Sheikhattar1 · Navid Nezafati1 · Sajjad Shokouhyar1,0.0,,False
4,"Received: 11 December 2021 / Accepted: 6 June 2022 / Published online: 17 June 2022 © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2022",0.0,,False
5,"Abstract Numerous studies have been conducted to identify the effects of natural crises on supply chain performance. Conventional analysis methods are based on either manual filter methods or data-driven methods. The manual filter methods suffer from validation problems due to sampling limitations, and data-driven methods suffer from the nature of crisis data which are vague and complex. This study aims to present an intelligent analysis model to automatically identify the effects of natural crises such as the COVID-19 pandemic on the supply chain through metadata generated on social media. This paper presents a thematic analysis framework to extract knowledge under user steering. This framework uses a text-mining approach, including co-occurrence term analysis and knowledge map construction. As a case study to approve our proposed model, we retrieved, cleaned, and analyzed 1024 online textual reports on supply chain crises published during the COVID-19 pandemic in 2019-2021. We conducted a thematic analysis of the collected data and achieved a knowledge map on the impact of the COVID-19 crisis on the supply chain. The resultant knowledge map consists of five main areas (and related sub-areas), including (1) food retail, (2) food services, (3) manufacturing, (4) consumers, and (5) logistics. We checked and validated the analytical results with some field experts. This experiment achieved 53 crisis knowledge propositions classified from 25,272 sentences with 631,799 terms and 31,864 unique terms using just three user-system interaction steps, which shows the model's high performance. The results lead us to conclude that the proposed model could be used effectively and efficiently as a decision support system, especially for crises in the supply chain analysis.",1.0,COVID-19,True
6,Keywords Supply chain crisis management · Supply chain risk monitoring · Pandemic crisis · Thematic analysis model · Text-mining,1.0,Pandemic,True
7,Introduction,0.0,,False
8,"Global supply chains (SC) have always been vulnerable to shocks, especially in exporting countries (Trautrims et al. 2020; Shanker et al. 2021). This vulnerability stems from the factors that disrupt the integration of the production of goods",1.0,,True
9,Responsible Editor: Arshian Sharif,0.0,,False
