,sentence,label,data,regex
0,Sleep Quality and Mental Health among Asymptomatic COVID-19 Carriers from Fangcang Shelter HospitalsThe Moderating Role of Social Support,1.0,Asymptomatic,True
1,Qianqian Zhu Shanghai Jiao Tong University,0.0,,False
2,Lulu Xu Shanghai Jiao Tong University,0.0,,False
3,Yexin Chen Shanghai Jiao Tong University,0.0,,False
4,Dake Shi Shanghai Jiao Tong University,0.0,,False
5,Hong Huang Shanghai Jiao Tong University,0.0,,False
6,Yong Cai (  caiyong202028@hotmail.com ) Shanghai Jiao Tong University,0.0,,False
7,"Research Article Keywords: COVID-19, Mental health, Sleep, Social support, Moderator Posted Date: November 2nd, 2022 DOI: https://doi.org/10.21203/rs.3.rs-2058726/v1 License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License",1.0,COVID-19,True
8,Page 1/16,0.0,,False
9,Abstract,0.0,,False
10,Background,0.0,,False
11,"The coronavirus disease 2019 (COVID-19) pandemic rapidly occurred in Shanghai, China at the end of February 2022, which was not only attacking physical health, such as sleep problems, but also exacerbating mental health. This study aimed to determine the association between sleep quality and psychological distress in COVID-19 carriers in China and evaluate the moderating effects of perceived social support.",1.0,coronavirus,True
12,Methods,0.0,,False
13,"We conducted a cross-sectional study of 1283 asymptomatic COVID-19 carriers from Ruijin Jiahe Fangcang shelter hospitals in Shanghai, China. Participants had an average age of 39.64 years (SD,"" 11.14) and 59.6% of whom were male. They were assessed using the Chinese version of the Pittsburgh Sleep Quality Index (PSQI), the General Health Questionnaire (GHQ-12), and the Perceived Social Support Scale (PSSS) respectively. The Model Templates for PROCESS were used to examine the moderating effects of participants' social support on the association.""",1.0,asymptomatic,True
14,Results,0.0,,False
15,"In total, 34.3% of participants presented with poor sleep quality (PSQI5); In addition, 41.1% patients showed bad mental health (GHQ3). Sleep quality was positively related to mental health (r,""0.30, p< 0.001) and social support (r"",""0.08, p"",0.003). Social support was negatively related to mental health (r ,"" -0.43, p<0.001). Social support negatively moderated the association between sleep quality and mental health ("",""0.069, p<0.01).""",1.0,positive,True
16,Conclusions,0.0,,False
17,"Social support may be beneficial to the improvement of mental health, especially for people in crisis (e.g., COVID-19 pandemic).",1.0,Social,True
18,1. Introduction,0.0,,False
