,sentence,label,data,regex
0,DOI: 10.4149/BLL_2022_133,0.0,,False
1,Bratisl Med J 2022; 123 (11) 833 - 839,0.0,,False
2,CLINICAL STUDY,0.0,,False
3,"Impact of the first, second and third peak of the COVID-19 pandemic on anxiety, depression and stress symptoms of healthcare workers",1.0,COVID-19,True
4,"GUNDOGMUS Ibrahim1, BOLU Abdullah2, UNSAL Cansu2, ALMA Leyla3, GUNDOGMUS Pinar Demir4, TAKMAZ Taha5, OKTEN Sabri Berkem6, GUNDUZ Anil7, AYDIN Mehmet Sinan8",0.0,,False
5,"Department of Psychiatry, Kirikkale Yüksek Ihtisas Hospital, Baglarbasi, Merkez, Kirikkale, Turkey. dribrahim06@gmail.com",0.0,,False
6,"ABSTRACT BACKGROUND AND OBJECTIVES: Numerous studies have been conducted on the psychological effects of the COVID-19 pandemic. However, how the mental health of health workers will be affected among the number of peaks during the pandemic has not been evaluated yet. The study aims to investigate the effects of the first, second, and third peaks of COVID-19 on anxiety, depression, and stress symptoms in healthcare workers. METHODS: The current study included 4031 healthcare workers, 1051 during the first peak period, 1409 during the second peak period, and 1571 during the third peak period. The Depression Anxiety Stress scale21(DASS-21) was used to assess the participants' levels of anxiety, depression, and stress symptoms. RESULTS: The mean age of the participants was 33.74 ± 7.95, and 2634 (66.3 %) were female. 36.9 %(n ,"" 1486) of the participants were physicians, 41.1 % (n "", 1655) were nurses and 22.1 % (n , 890) were other healthcare workers. A statistically significant difference was documented in the DASS-21 anxiety (F(2:4028) ,"" 502.893, p < 0.001, Post-hoc "","" 3. Peak > 2. Peak > 1. Peak), DASS-21 depression (F(2:4028) "","" 46.034, p < 0.001, Post-hoc "","" 3. Peak > 2. Peak > 1. Peak), DASS-21 stress (F(2:4028) "","" 65.548, p < 0.001, Post-hoc "", 3. Peak ,"" 2. Peak > 1. Peak), and DASS-21 total scores (F(2:4028) "","" 156.860, p < 0.001, Post-hoc "","" 3. Peak > 2. Peak > 1. Peak) of healthcare workers during all three peak periods. CONCLUSIONS: Our findings show that as the peak number rises, so do the levels of anxiety and depression among healthcare workers. As a result, it is possible to assert that prolongation of the COVID-19 pandemic worsens mental problems (Tab. 2, Fig. 3, Ref. 35). Text in PDF www.elis.sk KEY WORDS: anxiety, COVID-19, depression.""",1.0,COVID-19,True
7,Introduction,0.0,,False
8,"Despite the development of vaccines for COVID-19 infection, the pandemic has still significant health, economic, and social consequences for many people (1). Many studies have shown that COVID-19 has negative mental effects on both patients and healthy people (2). It is foreseen that if the pandemic is prolonged, these effects will have devastating consequences (3). It is obvi-",1.0,vaccine,True
9,"1Department of Psychiatry, Kirikkale Yüksek Ihtisas Hospital, Kirikkale, Turkey, 2Department of Psychiatry, Gülhane Training and Research Hospital, Ankara, Turkey, 3Department of Psychology, Middle East Technical University, Ankara, Turkey, 4Department of Cardiology, Kirikkale Yüksek Ihtisas Hospital, Kirikkale, Turkey, 5Department of Obstetrics and Gynecology, Bezmialem University Hospital, Istanbul, Turkey, 6Department of Obstetrics and Gynecology, Acibadem Kozyatai Hospital, Istanbul, Turkey, 7Department of Clinical Psychology, Kent University, Istanbul, Turkey, and 8Department of Psychiatry, Ortaca State Hospital, Mula, Turkey Address for correspondence: Ibrahim GUNDOGMUS, Department of Psychiatry, Kirikkale Yüksek Ihtisas Hospital, Balarbai, Ahmet Ay Caddesi, 71300 Merkez, Kirikkale, Turkey. Phone: +905455870575",1.0,Clinical,True
10,"ous that the social and economic consequences of the pandemic process affect all societies, including developed countries (4, 5). Furthermore, it is certain that the feelings of loneliness, boredom, irritability, restlessness, anger, anxiety, sadness, worry, and family problems, which continue to rise as a result of measures such as school closure, quarantine, exacerbate mental problems (6). Individuals who live far away from their families and loved ones for reasons such as education or work, as well as the elderly who live alone, are more likely to develop mental disorders such as depression and anxiety (7). It is not hard to predict that if the pandemic is prolonged, mental health problems will get worse.",1.0,social,True
11,"The fact that the number of cases and official records from around the world can be shared online has revealed that the number of cases in various countries fluctuates, with ups and downs and peaks (8). Following the spread of COVID-19 in March 2020, various countries experienced their second and even third peak in their history. As a result, numerous studies have been conducted to investigate possible mood swings between these various peaks (9, 10). The studies focused on the peak periods of the number of cases and the examinations of healthcare workers on mental health through variables such as burnout, somatic symptoms,",1.0,case,True
12,Indexed and abstracted in Science Citation Index Expanded and in Journal Citation Reports/Science Edition,0.0,,False
13,Bratisl Med J 2022; 123 (11) 833 - 839,0.0,,False
14,Fig. 1. The number of confirmed daily COVID-19 cases and peak processes in Turkey.,1.0,COVID-19,True
15,"health status, job satisfaction, and the anxiety and depression levels of the general population (11, 12). The results show that negative mental symptoms generally increase in the second peak periods when compared to the first peak periods (10, 13). In a study conducted with Italian nurses, there was no significant difference in anxiety levels between the two peak waves, but there was a significant increase in depression levels between the two peaks (9). We completed and published a study that compared the first two peaks of this study. In the first part of our study, we concluded that the second peak, when the number of cases of healthcare workers in our country increased again, resulted in significantly higher levels of anxiety, depression, and stress than the first peak (10). To summarize, the differences between the peaks indicate that the peaks also have mental health reflections. Besides, studies on the mental effects of COVID-19 peaks in the literature tend to focus on the differences between the two peaks. This is most likely due to the fact that most countries have experienced two peaks. However, despite the fact that there are countries with three peaks, there has been no research on the mental effects of these peaks that we know.",1.0,negative,True
16,"In light of all of this information, the aim of this study is to compare the anxiety, depression, and stress levels of healthcare workers in three different peaks as a follow-up to the study that",0.0,,False
17,"compared the anxiety, depression, and stress levels of healthcare professionals in two peaks.",0.0,,False
18,Material and methods,0.0,,False
19,Participants The sample of the current cross-sectional study consists of,0.0,,False
20,"the doctors, nurses, and healthcare assistants working in the COVID-19 related units during the peak periods of the COVID-19 pandemic. The study included 4031 healthcare workers, 1051 during the first peak period, 1409 during the second peak period, and 1571 during the third peak period. The study's inclusion criteria were determined to be between the ages of 18 and 65, not to have a major psychiatric illness, to have worked in a COVID-19-related unit for at least 15 days, to have experienced a pandemic peak during the period of study, and to volunteer to participate. An online survey was used to invite participants to the study, and informed consent was obtained online. Only consented participants were able to access and fill in the scales. Re-participation through the online scale has been disabled. Scales that were filled in incomplete or out of instruction were excluded from the study. The study was conducted under the responsibility of Psychiatry Department of Kirikkale Yuksek Ihtisas Hospital. Local ethics committee ap-",1.0,COVID-19,True
21,834,0.0,,False
22,"GUNDOGMUS Ibrahim et al. Impact of the first, second and third peak of the COVID-19 pandemic of healthcare workers... xx",1.0,COVID-19,True
23,"Tab. 1. Comparison of the sociodemographic data of the participants according to COVID-19 as follows: 0-7 points: normal, 8-9 points:",1.0,COVID-19,True
24,peaks.,0.0,,False
25,"mild, 10-12 points: moderate, 13-16 points:",0.0,,False
26,Group,0.0,,False
27,"severe, and 17 points or higher: extremely",0.0,,False
28,Variable,0.0,,False
29,1. Peak 2. Peak 3. Peak,0.0,,False
30,t/2,0.0,,False
31,df,0.0,,False
32,p,0.0,,False
33,severe. The Turkish validity and reliability,0.0,,False
34,"(n,1051) (n,1409) (n,1571)",0.0,,False
35,study of the scale was conducted by Sariçam,0.0,,False
36,Age; mean±SD (year),0.0,,False
37,"32.94±7.82 32.40±7.60 32.83±7.64 F,1.779 2 (4028) 0.169 et al in 2018 (15).",0.0,,False
38,Gender; n (%),0.0,,False
39,Female Male,0.0,,False
40,Marital Status; n (%) Married Single,0.0,,False
41,"685 (65.2) 952 (67.6) 997 (63.5) 2,5.539 366 (34.8) 457 (32.4) 574 (36.5)",0.0,,False
42,"543 (51.7) 766 (54.4) 885 (56.3) 392 (37.3) 508 (36.1) 546 (34.8) 2,6.643",0.0,,False
43,2 0.063 4 0.156,0.0,,False
44,Procedure This is a cross-sectional study in which,0.0,,False
45,the Sociodemographic data form and the DASS-21 scale were used online to com-,0.0,,False
46,Other,0.0,,False
47,Education Status; n (%) High School University Postgraduate,0.0,,False
48,"Income status, n (%) Income less than the expense Expense equals income Income more than the expense",0.0,,False
49,"Job title, n (%) Doctor Nurse Other healthcare workers",0.0,,False
