,sentence,label,data,regex
0,72,0.0,,False
1,China's Industrial Upgrading and Value Chain Restructuring Under the New Development Pattern,1.0,trial,True
2,Ni Hongfu1* and Tian Ye2,0.0,,False
3,"1 Institute of Economics, Chinese Academy of Social Sciences (CASS), Beijing, China 2 Business School, Xiangtan University, Xiangtan, China",1.0,Social,True
4,Abstract: Global industrial chains (GICs) have become a hallmark of the world economy,1.0,trial,True
5,"underpinning the global production cycle. Since the reform and opening up was introduced in 1978, China has taken an active role in global value chains (GVCs) and become the world's factory floor. Under the external shocks to GICs, such as US trade frictions with China and the COVID-19 pandemic, China's traditional comparative advantages in manufacturing which include its labor force and costs are waning. This has manifested in a wave of industrial relocations from China to other countries as well as China's weakening international competitiveness. We took stock of the concepts and journey of GVCs and elaborated the intrinsic relationship between GVCs and the new development pattern of ""dual circulations"". We also analyzed the trends of GVCs, the current status and problems of China's industrial chains, and China's market heft, complete industrial chains and the digital economy as new strengths for industrial chain upgrade. In our conclusion, this paper put forth some policy recommendations for China's industrial chain upgrade in the context of dual circulations.",1.0,COVID-19,True
6,"Keywords: industrial chains, industrial relocation, new development pattern, GVCs",1.0,trial,True
7,JEL Classification Code: F15 DOI: 10.19602/j.chinaeconomist.2021.09.03,0.0,,False
8,1. Introduction,0.0,,False
9,"Global value chains (GVCs) are a natural trend of the global division of labor and a result of the global allocation of resources by multinational corporations. Historically, global supply chains centered around Europe and North America as manufacturing hubs before evolving into a global supply chain system with Europe, North America, Germany and Japan at the first echelon and the Four Asian Tigers at the second echelon. Since the dawn of the 21st century, China has climbed up the GVC ladder and replaced Japan as Asia's trade hub. The United States, China and Germany have become three regional hubs of the GICs system. After nearly three decades of development, GVCs are faced with multifaceted challenges under the superimposed effects of China-US trade frictions and the COVID-19 pandemic. The fragility of modern supply chains is particularly evident in the context of changes in the world today unseen over the past century and exacerbated by COVID-19. In the midst of the pandemic, supply chain",1.0,COVID-19,True
10,"* CONTACT: Ni Hongfu, e-mail: nihongfu_justin@126.com. Acknowledgement: This study is an outcome of ""Study on the Role of SOEs in the Creation of China's New Development Pattern"" by the",1.0,,True
11,"Thinktank for the Research of the State Sector of the Economy, the Chinese Academy of Social Sciences (CASS). This paper is a result of the General Project of the National Natural Science Foundation of China (NSFC) ""China's Industrial Ascent towards Mid-and High-end Processes of Value Chains"" (Grant No.71873142), the General Project of the National Natural Science Foundation Project ""GVC Restructuring Effects of Public Health Incidents: a General Equilibrium Model Methodology based on the Production Network Structure"" (Grant No.72073142), and the Major Project of the National Social Science Fund of China (NSSFC) (Grant No.19ZDA069).",1.0,Social,True
12,"China Economist Vol.16, No.5, September-October 2021",1.0,,True
13,73,0.0,,False
14,1*  2,0.0,,False
15,1 2,0.0,,False
16,"    """"   ",0.0,,False
17,JEL F15,0.0,,False
18," """" 21  30  """"  ",0.0,,False
19,"* , nihongfu_justin@126.com """"",0.0,,False
20,":71873142 """"72073142 """"19ZDA069",0.0,,False
21,74,0.0,,False
22,"disruptions for some industries upended the highly concentrated GICs system, prompting countries and firms to rethink their supply chains from the dimensions of security, stability and diversification.",0.0,,False
23,"Amid rapid restructuring of the global production network, China needs to upgrade its industrial chains to keep pace with changing GVC layouts while creating a new, high quality development pattern. In this context, the CPC Central Committee has made an important, science-based assessment and strategic choice to ""create a new development pattern with domestic circulation as the mainstay and domestic and international circulations reinforcing each other"".1 Under the new development pattern, the coordination, efficiency and security of domestic and international value chains are China's top priority. Based on this analysis, this paper reviews relevant concepts and theories of GVCs, examines the trends of GVCs, and offers some policy recommendations on China's industrial competitiveness and industrial chain upgrade based on supply chain strengths in the context of the ""dual circulations"".",1.0,trial,True
24,2. GVCs and the New Development Pattern,0.0,,False
25,"2.1 Concepts of Industrial, Supply and Value Chains The idea of industrial chains originated from British classical economist Adam Smith's discussions",1.0,trial,True
