,sentence,label,data,regex
0,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
1,Darley et al,0.0,,False
2,Review,0.0,,False
3,"Understanding How the Design and Implementation of Online Consultations Affect Primary Care Quality: Systematic Review of Evidence With Recommendations for Designers, Providers, and Researchers",0.0,,False
4,"Sarah Darley1, PhD; Tessa Coulson2, MRes; Niels Peek3,4, PhD; Susan Moschogianis1, PhD; Sabine N van der Veer3,5, PhD; David C Wong3,6, DPhil; Benjamin C Brown1,3,4, PhD",0.0,,False
5,"1Division of Population Health, Health Services Research and Primary Care, School of Health Sciences, The University of Manchester, Manchester, United Kingdom 2National Health Service Salford Clinical Commissioning Group, Salford, United Kingdom 3Centre for Health Informatics, Division of Informatics, Imaging and Data Science, Manchester Academic Health Science Centre, The University of Manchester, Manchester, United Kingdom 4National Institute for Health and Care Research Greater Manchester Patient Safety Translational Research Centre, School of Health Sciences, The University of Manchester, Manchester, United Kingdom 5National Institute for Health and Care Research Applied Research Collaboration Greater Manchester, Manchester, United Kingdom 6Department of Computer Science, The University of Manchester, Manchester, United Kingdom",1.0,Clinical,True
6,"Corresponding Author: Benjamin C Brown, PhD Division of Population Health, Health Services Research and Primary Care School of Health Sciences The University of Manchester Oxford Road Manchester, M13 9PL United Kingdom Phone: 44 7919103175 Email: Benjamin.brown@manchester.ac.uk",0.0,,False
7,Abstract,0.0,,False
8,"Background: Online consultations (OCs) allow patients to contact their care providers on the web. Worldwide, OCs have been rolled out in primary care rapidly owing to policy initiatives and COVID-19. There is a lack of evidence regarding how OC design and implementation influence care quality.",1.0,contact,True
9,"Objective: We aimed to synthesize research on the impacts of OCs on primary care quality, and how these are influenced by system design and implementation.",1.0,flu,True
10,"Methods: We searched databases from January 2010 to February 2022. We included quantitative and qualitative studies of real-world OC use in primary care. Quantitative data were transformed into qualitative themes. We used thematic synthesis informed by the Institute of Medicine domains of health care quality, and framework analysis informed by the nonadoption, abandonment, scale-up, spread, and sustainability framework. Strength of evidence was judged using the GRADE-CERQual approach.",1.0,spread,True
11,"Results: We synthesized 63 studies from 9 countries covering 31 OC systems, 14 (22%) of which used artificial intelligence; 41% (26/63) of studies were published from 2020 onward, and 17% (11/63) were published after the COVID-19 pandemic. There was no quantitative evidence for negative impacts of OCs on patient safety, and qualitative studies suggested varied perceptions of their safety. Some participants believed OCs improved safety, particularly when patients could describe their queries using free text. Staff workload decreased when sufficient resources were allocated to implement OCs and patients used them for simple problems or could describe their queries using free text. Staff workload increased when OCs were not integrated with other software or organizational workflows and patients used them for complex queries. OC systems that required patients to describe their queries using multiple-choice questionnaires increased workload for patients and staff. Health costs decreased when patients used OCs for simple queries and increased when patients used them for complex queries. Patients using OCs were more likely",1.0,COVID-19,True
12,https://www.jmir.org/2022/10/e37436,0.0,,False
13,XSL·FO,0.0,,False
14,RenderX,0.0,,False
15,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 1 (page number not for citation purposes),0.0,,False
16,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
17,Darley et al,0.0,,False
18,"to be female, younger, and native speakers, with higher socioeconomic status. OCs increased primary care access for patients with mental health conditions, verbal communication difficulties, and barriers to attending in-person appointments. Access also increased by providing a timely response to patients' queries. Patient satisfaction increased when using OCs owing to better primary care access, although it decreased when using multiple-choice questionnaire formats.",0.0,,False
19,"Conclusions: This is the first theoretically informed synthesis of research on OCs in primary care and includes studies conducted during the COVID-19 pandemic. It contributes new knowledge that, in addition to having positive impacts on care quality such as increased access, OCs also have negative impacts such as increased workload. Negative impacts can be mitigated through appropriate OC system design (eg, free text format), incorporation of advanced technologies (eg, artificial intelligence), and integration into technical infrastructure (eg, software) and organizational workflows (eg, timely responses).",1.0,COVID-19,True
20,Trial Registration: PROSPERO CRD42020191802; https://tinyurl.com/2p84ezjy,1.0,Trial,True
21,(J Med Internet Res 2022;24(10):e37436) doi: 10.2196/37436,0.0,,False
22,KEYWORDS,0.0,,False
23,general practice; systematic review; remote consultation; OC; triage; primary health care; care provider; health care professional; workforce; telemedicine; COVID-19; pandemic; primary care; health outcome; patient care,1.0,COVID-19,True
24,Introduction,0.0,,False
25,Background,0.0,,False
26,"Online consultation (OC) systems allow patients to contact their health care provider over the internet to ask health-related questions and report symptoms [1]. Their query may then be resolved with a written response, telephone call, video consultation, or in-person visit. Many terms are used to describe this type of technology, including e-consultation, e-visit, and online triage (Multimedia Appendix 1 [2-28])--in this review, we refer to them all as online consultations. We distinguish OCs from ""symptom checkers"" [29] and other self-service systems that typically do not directly facilitate communication with a human health care provider and from patient portals [30], which may include generic email or secure messaging functionalities.",1.0,contact,True
27,"OCs are considered by policy makers in many countries as a way to address the increasing workload and decreasing workforce capacity in primary care [31-36] while still meeting patient expectations and improving access [37]. However, they have the potential to exacerbate health inequities [38,39] and increase inappropriate antibiotic prescriptions [40]. Furthermore, there are widely recognized challenges in initiating and sustaining the adoption of new technologies in primary care [41].",0.0,,False
28,"Although symptom checkers [29,42] and patient portals [30,43,44] have been well studied, only a small number of evidence syntheses directly relevant to OCs have been published: a systematic review of 57 articles on delivering ""e-consultation"" in primary care largely focused on generic stand-alone applications such as email and video (n,""39/57, 68%) [45]; a scoping review of """"online triage tools"""" included 13 papers, 4 of which (31%) were nonempirical (eg, opinion pieces) [46]; and a review of 17 studies of """"intelligent online triage tools"""" focused only on those that used """"artificial intelligence"""" (AI) [47].""",0.0,,False
29,"Since these syntheses were conducted, OCs have gained wider traction in clinical practice worldwide--they have been indispensable in helping manage patients remotely to minimize the spread of COVID-19 [48,49], and English primary care",1.0,clinical,True
30,https://www.jmir.org/2022/10/e37436,0.0,,False
31,XSL·FO,0.0,,False
32,RenderX,0.0,,False
33,"providers have been mandated to offer OCs for all patients since April 2020 [50]. Moreover, OC system product design has progressed significantly to become more specialized and technologically advanced [51], with several more empirical research studies published on their use [2-11,52-64].",0.0,,False
34,"Given this rapid scale-up and increase in the diversity and complexity of OCs, further insight is needed into their impact on health care quality. Previous reviews have not reported the design or implementation details of the OCs they studied [45-47] despite their importance in understanding the causal mechanisms of how they affect care outcomes [65]. The aim of this study was to systematically review and synthesize the empirical quantitative and qualitative literature in a theoretically informed way to address this knowledge gap.",0.0,,False
35,"Objectives Informed by existing theories, the aim of this study was to synthesize quantitative and qualitative research on (1) the impacts of OCs on primary care quality and (2) how these are influenced by OC system design and implementation.",1.0,flu,True
36,Methods,0.0,,False
37,"Study Design We consider OCs as complex interventions and, therefore, synthesized both quantitative and qualitative evidence to understand their impacts in specific contexts [66]. We did not perform a meta-analysis because of the heterogeneous and nonrandomized nature of the included studies [67]. We followed the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement [68].",0.0,,False
38,"Registration and Protocol The study protocol was registered with PROSPERO (CRD42020191802) [69]. The original title was amended to be less general and more specific to the objectives of the review, and the objectives were amended to focus on care quality.",0.0,,False
39,Inclusion Criteria Papers that met the following criteria were included: empirical studies using quantitative or qualitative methods to examine the,0.0,,False
40,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 2 (page number not for citation purposes),0.0,,False
41,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
42,Darley et al,0.0,,False
43,"real-world use of OCs in primary care in any country, written in English, and published in 2010 or later. We excluded news articles, opinion pieces, literature reviews, non-English-language articles, and literature published before 2010.",0.0,,False
44,"We defined OCs as digital interventions that allow patients to contact their primary care provider by inputting ""queries"" into health care-specific web-based forms [1]. We included symptom checkers and similar self-service systems [54] if at least one of their outcomes directly facilitated contact with a primary care health professional. We included patient portals if they had a secure messaging functionality that used health care-specific forms [54]. We excluded stand-alone generic communication technologies such as email or videoconferencing software.",1.0,contact,True
45,Search Strategy,0.0,,False
46,"We searched the Ovid MEDLINE, EMBASE, Web of Science, and Scopus databases during July 2020 (Multimedia Appendix 2 [12,53,56,58-60,63,70-73]). Our search strategy was developed from scoping searches of the literature and drew on search strategies used in related literature reviews [45,46]. We searched the National Technical Information Service, the Health Management Information Consortium, and Zetoc to find relevant gray literature, conference proceedings, and theses. We found further literature through citation mapping and in the reference lists of the included papers, searching during August 2020 and September 2020. SD and TC independently screened titles and abstracts and then full papers for eligibility, resolving differences through discussion at each stage. All literature searches were rerun by SD between November 2021 and February 2022.",0.0,,False
47,Data Extraction and Quality Appraisal,0.0,,False
48,"We extracted data from the included papers as verbatim text, capturing study characteristics (eg, research design and study setting) and key findings relevant to our research objectives based on the nonadoption, abandonment, scale-up, spread, and sustainability (NASSS) framework [74] (Multimedia Appendix 3). We used the NASSS to capture ""a rich, contextualised narrative of technology-supported change efforts and the numerous interacting influences that help explain its successes, failures, and unexpected events"" [75]. The methodological quality of the studies was assessed using the Mixed Methods Appraisal Tool (MMAT), which is designed for qualitative, quantitative, and mixed methods studies [76]. We scored each paper using recommended quintile percentages as cutoffs and considered any paper scoring at least 60% as of ""good"" quality [77]. SD and TC extracted data from 10 papers independently, which confirmed high interrater agreement. Following this, SD extracted data from the remaining papers, which were checked by TC.",1.0,spread,True
49,Data Synthesis,0.0,,False
50,"The data were imported into NVivo (version 12; QSR International) [78] for synthesis. To integrate both quantitative and qualitative data, during data synthesis, quantitative data were transformed into qualitative themes (""qualitising"") [79].",0.0,,False
51,"For objective 1, we considered ""impacts of OCs on primary care quality"" as consequences of using OCs that could relate to",0.0,,False
52,"patients, primary care staff, or the wider system [65]. We used thematic synthesis [80], which involved SD and TC coding the text from the data extraction forms independently line by line, developing higher-level themes through regular discussion [80]. Impacts on care quality were synthesized inductively, with emerging themes mapped to the six Institute of Medicine domains of health care quality [81]: safe (avoiding harm to patients from care that is intended to help), effective (providing care based on scientific knowledge to produce better clinical outcomes), patient-centered (care that is respectful and responsive), timely (reducing waits and delays for those who receive and give care), efficient (avoiding waste), and equitable (care that does not vary in quality because of personal characteristics) [81]. Our emergent findings suggested that OCs had both positive and negative impacts and, therefore, theme descriptions were edited to be neutral (eg, safesafety and efficientefficiency).",1.0,clinical,True
53,"For objective 2, we considered OC ""design"" as material properties of an OC, such as features and functionality [74], and ""implementation"" as the way an OC was introduced and used in a particular context [65]. As a design feature, we considered AI as the ability of machines to ""mimic human intelligence as characterized by behaviors such as cognitive ability, memory, learning, and decision making"" [82]. We synthesized the extracted data using framework analysis [83], which involved SD and TC reading and rereading each data extraction form and then coding them line by line independently--both deductively by using domains from the NASSS framework [74] for high-level themes and inductively by identifying additional subthemes. Through discussion, SD and TC summarized the findings into five high-level themes: condition complexity (health condition and the illness the OC is used for), technology (material properties of the OC and required knowledge for use), adopters (staff, patients, and carers expected to use the OC), organization (extent of work needed for implementation of the OC, capacity, and readiness), and wider system (policy context) [74]. Two NASSS domains--value proposition (value of the OC to the developer, patients, and health care system) and embedding and adaptation over time (learning and adaptation to changing contexts)--had limited applicability to our findings and were not included in the final synthesis. Informed by realistic evaluation [65], we considered our themes as contextual factors and identified patterns of explanations for how each led to the impacts on care quality from objective 1 (ie, ""causal mechanisms""). Where appropriate, we considered the levels of OC adoption as a mechanism for how they affected care quality [65]. We used visual mapping to identify commonalities and discordances in causal mechanisms--first within individual papers and then across papers [83]. Where there were discordances, we explored potential explanations where possible (eg, related to the study setting).",1.0,,True
54,"The strength and quality of our findings for objectives 1 and 2 were assessed using the Grading of Recommendations Assessment, Development, and Evaluation-Confidence in Evidence from Reviews of Qualitative Research method [84]. This accounts for the methodological limitations of the contributing papers (according to MMAT assessments),",0.0,,False
55,https://www.jmir.org/2022/10/e37436,0.0,,False
56,XSL·FO,0.0,,False
57,RenderX,0.0,,False
58,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 3 (page number not for citation purposes),0.0,,False
59,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
60,Darley et al,0.0,,False
61,"relevance to the review question, coherence of the finding, and adequacy of its supporting data [84]. Confidence in each finding was designated as high, moderate, low, or very low. At each stage of the analysis, the findings were discussed and agreed upon with the wider study team. BCB reviewed all coded verbatim excerpts from the papers included in the final synthesis.",0.0,,False
62,Results,0.0,,False
63,"Descriptive Summary We synthesized 63 papers (Figure 1), including 52 (83%) journal papers [53], 7 (11%) evaluation reports [85], 3 (5%) conference papers [12], and 1 (2%) master's degree thesis [13]. The studies were quantitative (33/63, 52%), qualitative (12/63, 19%), and",0.0,,False
64,"mixed methods (18/63, 29%) and analyzed data from patients (16/63, 25% qualitative studies and 18/63, 29% quantitative studies), staff (22/63, 35% qualitative studies and 9/63, 14% quantitative studies), and clinical systems (33/63, 52% quantitative studies). All were set in one of 9 high-income countries, with most coming from the United States (21/63, 33%) and the United Kingdom (20/63, 32%; Multimedia Appendix 4 [2-27,52-64,70-73,77,85-104]). In all, 41% (26/63) of the studies were published in 2020 or later, and 17% (11/63) were conducted after the start of the COVID-19 pandemic. Examples of excluded studies are those that focused on stand-alone video consultations [105], involved communication between physicians and not patients [106], and were not based on primary care [107].",1.0,clinical,True
65,Figure 1. Flowchart of the study selection process. HMIC: Health Management Information Consortium; NTIS: National Technical Information Service.,0.0,,False
66,"In all, 83% (52/63) of the studies reported levels of OC adoption by patients and staff, of which 62% (32/52; 32/63, 51% of all studies) were described as ""low"" by the study authors [86]. OCs were adopted at a high rate in 63% (33/52; 33/63, 52% of all) of the studies [87], including high rates of adoption by certain patient groups even when overall OC adoption in the study was low [14].",0.0,,False
67,"The included papers described 31 OC systems summarized in Table 1 and detailed in Multimedia Appendix 5 [2-27,52-64,70-73,85-104]. In 25% (16/63) of the papers, the OC system was described sufficiently to meet our inclusion criteria but not in enough detail to determine specific design features. Of the 31 OCs described, most (23/31, 74%) offered two-way written communication between patients and staff [88], with a few (4/31, 13%) also offering communication by video [52]. In all, 13% (4/31) did not provide functionalities for staff to reply to patients via the system (ie, one-way communication only [14]). In total, 35% (11/31) required patients to describe their queries solely via multiple-choice questionnaires (MCQs) [89] compared with 13% (4/31) that solely required patients to describe their queries using unstructured free text [56]. In all, 42% (13/31) had a hybrid",0.0,,False
68,"approach of primarily using MCQs with the option for patients to enter additional free text [90]. No free text OCs offered optional MCQs. In all, 26% (8/31) of the OC systems were integrated with the electronic health record (EHR) [58], and 3% (1/31) allowed patients to schedule telephone or in-person appointments with health care professionals themselves [54].",0.0,,False
69,"In total, 54% (13/24) of MCQ-based OC systems exhibited three types of AI: (1) adapting questions they asked patients as they submitted their query in response to previous answers given (10/31, 32%) [91]; (2) prioritizing patient queries based on clinical urgency (4/31, 13%) [54]; and (3) signposting patients to an appropriate care provider based on their query, such as self-care, primary care, or emergency department (3/31, 10%) [8]. These were mostly powered by preprogrammed logic and ""algorithms"" (10/31, 32%) [54], with the exact AI methodology unclear in the remainder (3/31, 10%) [15].",1.0,clinical,True
70,"The methodological quality of most studies (42/63, 67%) was ""good"" (ie, 60% according to the MMAT [77]; Multimedia Appendix 6 [2-27,52-64,70-73,76,85-104]). Common limitations included a lack of detail on whether the OC was administered as intended [92] and small sample sizes [3].",0.0,,False
71,https://www.jmir.org/2022/10/e37436,0.0,,False
72,XSL·FO,0.0,,False
73,RenderX,0.0,,False
74,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 4 (page number not for citation purposes),0.0,,False
75,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
76,Darley et al,0.0,,False
77,"Table 1. Online consultation (OC) system features (N,31). OC system feature and subcategory",0.0,,False
78,Communication mode Two-way written communication between staff and patients One-way written communication (staff cannot reply to patients) Videoconferencing Unclear,0.0,,False
79,Patient query format Multiple-choice questionnaires only Unstructured free text only Multiple-choice questionnaires with optional free text Unclear,0.0,,False
80,Integration with other software Electronic health record Appointment scheduling No integration,0.0,,False
81,Artificial intelligence function Adapting questions during query submission Prioritizing patient queries based on clinical urgency Signposting patients to the most appropriate care provider No artificial intelligence,1.0,clinical,True
82,Artificial intelligence method Preprogrammed logic and algorithms Unclear,0.0,,False
83,"Studies, n (%)a",0.0,,False
84,23 (74) 4 (13) 4 (13) 4 (13),0.0,,False
85,11 (35) 4 (13) 13 (42) 3 (10),0.0,,False
86,8 (26) 1 (3) 23 (74),0.0,,False
87,10 (32) 4 (13) 3 (10) 17 (55),0.0,,False
88,10 (32) 3 (10),0.0,,False
89,"aCount of OC systems described in detail (n,31). Categories may add up to >31 as OC systems may have more than one feature in a category.",0.0,,False
90,Synthesis,0.0,,False
91,"Overview To maintain readability, we present only moderate- and high-confidence findings and provide only 1 example reference per finding. Tables 2 and 3 provide all the references and specify",0.0,,False
92,"whether the findings are qualitative or quantitative. Multimedia Appendix 7 [13,59,99] and Multimedia Appendix 8 [3, 5, 8-11, 13-17, 19-21, 25, 27, 54, 57, 59, 60, 63, 64, 71, 85, 90, 91, 95, 97, 100, 101] detail the low-confidence findings. Multimedia Appendix 9 [2-27,52,54-61,63,64,67,70-73,85-101] and Multimedia Appendix 10 [3-27, 52, 54-64, 70-73, 85-95, 97, 98, 100, 101] provide exemplar data.",0.0,,False
93,https://www.jmir.org/2022/10/e37436,0.0,,False
94,XSL·FO,0.0,,False
95,RenderX,0.0,,False
96,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 5 (page number not for citation purposes),0.0,,False
97,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
98,Darley et al,0.0,,False
99,Table 2. Impacts of online consultations (OCs) on primary care quality.,0.0,,False
100,Theme,0.0,,False
101,Subtheme,0.0,,False
102,Safety (harm to patients),0.0,,False
103,"· Decreased patient safety (qualitative) [2,3,5,7,10,13,17,18,23-25,55,61,63,85,90,94] · Description: patient and staff perceptions that OCs worsened patient safety · CERQuala rating: high",0.0,,False
104,"· Neutral-increased patient safety (qualitative and quantitative) [3-5,9,11,13,14,16,18,21,54,55,57-59,62,63,70,71,88,89,92,93,95,96]",0.0,,False
105,"· Description: no quantitative evidence of negative impacts on patient safety, with clinician and patient perceptions that OCs improved patient safety",1.0,negative,True
106,· CERQual rating: high,0.0,,False
107,Effective (providing care based · on scientific knowledge to pro-,0.0,,False
108,duce better clinical outcomes),1.0,clinical,True
109,"Reduced antibiotic prescribing rates (quantitative) [15,60,62,97]",0.0,,False
110,· Description: fewer antibiotics prescribed when using OCs · CERQual rating: moderate,0.0,,False
111,Timeliness (reducing waits and · delays),0.0,,False
112,"Increased access (qualitative and quantitative) [2-4,6,7,9,13-21,23-25,55-58,62-64,85,90,92,95]",0.0,,False
113,· Description: easier and more convenient for patients to contact their primary care provider and quicker to communicate with a health professional,1.0,contact,True
114,· CERQual rating: high,0.0,,False
115,Efficiency (avoiding waste),0.0,,False
116,"· Decreased workload (qualitative and quantitative) [3-5,9,11,13-21,23,54-58,60,61,63,64,70,71,85,89,90,92-95] · Description: less work for staff and patients to provide and receive care, respectively · CERQual rating: high",0.0,,False
117,"· Increased workload (qualitative and quantitative) [3-5,8-10,13-23,25,52,55,56,58,64,85-87,92,93,98] · Description: more work for staff and patients to provide and receive care, respectively · CERQual rating: high",0.0,,False
118,"· Decreased costs (qualitative and quantitative) [5,15-18,21,23,56,57,60,61,63,70,85,89,92,95,96,99,100] · Description: lower costs for the health care system and patients to provide and receive care, respectively · CERQual rating: high",0.0,,False
119,"· Increased costs (qualitative and quantitative) [5,16-19,22,23,63,87] · Description: higher costs for the health care system · CERQual rating: high",0.0,,False
120,Equitable (variation because of · Decreased equity (qualitative and quantitative),0.0,,False
121,personal characteristics),1.0,personal,True
122,"[7,8,12-27,52,57,59,60,63,64,70-73,85,87-92,94,95,97,98,100,101]",0.0,,False
123,· Description: OC use variation based on patient characteristics · CERQual rating: high,0.0,,False
124,"· Increased equity (qualitative) [7,9,14-20,23,24,27,57,63,64,85,87,90,91] · Description: OCs helped patients who had previously struggled because of their personal characteristics communicate with their primary care providers",1.0,personal,True
125,· CERQual rating: high,0.0,,False
126,Patient-centeredness (care that is · respectful and responsive),0.0,,False
127,·,0.0,,False
128,"Decreased patient satisfaction (qualitative) [9,11,14,15,18,21,23-25,57,64,85,90] · Description: negative patient experiences of using OCs · CERQual rating: high",1.0,negative,True
129,"Increased patient satisfaction (qualitative and quantitative) [2,5-7,9,11,13-21,23-25,56,57,63,64,71,85,89,90,92-94,96,99] · Description: positive patient experiences of using OCs · CERQual rating: high",1.0,positive,True
130,aCERQual: Confidence in the Evidence from Reviews of Qualitative Research.,0.0,,False
131,https://www.jmir.org/2022/10/e37436,0.0,,False
132,XSL·FO,0.0,,False
133,RenderX,0.0,,False
134,J Med Internet Res 2022 | vol. 24 | iss. 10 | e37436 | p. 6 (page number not for citation purposes),0.0,,False
135,JOURNAL OF MEDICAL INTERNET RESEARCH,0.0,,False
136,Darley et al,0.0,,False
137,Table 3. How the impacts of online consultations (OCs) on primary care quality are influenced by system design and implementation.,1.0,flu,True
138,Theme and OC design feature or implementation,0.0,,False
139,Impact on care quality (from Table 2)a,0.0,,False
140,CERQualb rating and references,0.0,,False
141,Condition complexity (illness the OC is used for),0.0,,False
142,· Decreased complexity of query,0.0,,False
143,· Efficiency: decreased workload (qualitative · CERQual rating: high,0.0,,False
144,· Description: patient queries are straightforward,0.0,,False
145,and quantitative),0.0,,False
146,"[5,15-18,23,56,61,64,70,85]",0.0,,False
147,"and easy to resolve (eg, administrative tasks, mi- · Efficiency: decreased health costs (qualitative",0.0,,False
148,"nor acute illnesses, and prescription requests)",0.0,,False
149,and quantitative),0.0,,False
150,· Increased complexity of query,0.0,,False
151,· Efficiency: increased workload (qualitative) · CERQual rating: high,0.0,,False
152,· Description: patient queries are not straightfor- · Efficiency: increased health costs (qualitative,0.0,,False
153,"[5,16-19,22,23]",0.0,,False
154,"ward and easy to resolve (eg, multiple ill-defined",0.0,,False
155,and quantitative),0.0,,False
156,symptoms),0.0,,False
157,Technology (material properties of the OC),0.0,,False
158,· MCQsc · Description: patients describe their query by,0.0,,False
159,completing questionnaires and selecting their answers from a list,0.0,,False
160,· Efficiency: increased workload (qualitative) · CERQual rating (efficiency):,0.0,,False
161,· Patient-centeredness: decreased patient satis-,0.0,,False
162,"high [5, 9, 10, 14, 17, 18, 20,",0.0,,False
163,faction (qualitative),0.0,,False
164,"21, 23, 25, 55, 64, 86]",0.0,,False
165,· CERQual rating (patient-centeredness): high,0.0,,False
166,"[5,9,14,18,20,21,25,64,86]",0.0,,False
167,· Free text input,0.0,,False
168,· Efficiency: decreased workload (qualitative · CERQual rating: high,0.0,,False
169,· Description: patients describe their query using,0.0,,False
170,and quantitative),0.0,,False
171,"[3,16,21,55,58,93,95]",0.0,,False
172,unstructured text,0.0,,False
173,· Safety: increased patient safety (qualitative),0.0,,False
174,· Two-way written communication,0.0,,False
175,· Efficiency: decreased workload (qualitative · CERQual rating: high,0.0,,False
176,· Description: patients and staff are able to send,0.0,,False
177,and quantitative),0.0,,False
178,"[55-58,94,95]",0.0,,False
179,written messages to each other,0.0,,False
180,· Nonintegration with core software systems,0.0,,False
181,· Efficiency: increased workload (qualitative) · CERQual rating: high,0.0,,False
182,· Description: OC systems that operate separately,0.0,,False
183,"[3-5,10,13,15,17-21,23,55]",0.0,,False
184,from other software used by the primary care,0.0,,False
185,provider,0.0,,False
186,Adopters (expected users of OCs),0.0,,False
187,· Female sex · Description: female patients,0.0,,False
188,"· High adoption (qualitative and quantitative) · CERQual rating: high [8, 12,",0.0,,False
189,· Equitable: decreased equity (qualitative and,0.0,,False
190,"13, 15, 18, 20-23, 27, 52, 57,",0.0,,False
191,quantitative),0.0,,False
192,"60, 70, 72, 73, 87-92, 94, 95,",0.0,,False
193,"97, 100, 101]",0.0,,False
194,· Lower age · Description: younger patients,0.0,,False
195,"· High adoption (qualitative and quantitative) · CERQual rating: high [7, 8,",0.0,,False
196,· Equitable: decreased equity (qualitative and,0.0,,False
