,sentence,label,data,regex
0,Case report 285,1.0,Case,True
1,The suspected SARS-Cov-2 infection in a Charcot-MarieTooth patient undergoing postsurgical rehabilitation: the value of telerehabilitation for evaluation and continuing treatment,0.0,,False
2,"Valeria Pradaa, Emilia Bellonea,b, Angelo Schenonea,b and Marina Grandisa,b",0.0,,False
3,"We report, to the best of our knowledge, the first case of a probable COVID-19 infection in a 28-year-old man with Charcot-Marie-Tooth disease. The diagnosis was established through a remote interaction with the patient after early discharge from outpatient therapy due to upcoming traveling restrictions. The COVID-19 disease appeared mild, without major respiratory problems, and no obvious neuromuscular deterioration was reported or observed. Telerehabilitation provided an opportunity to continue with hand rehabilitation after tendon transfer surgery, perform an ad-hoc online evaluation, and advise the patient how to prevent the spread of infection and cope with restrictions limiting outpatient visits. This experience seems valuable for further development of telerehabilitation in anticipation of future pandemics or",1.0,case,True
4,"adversarial events since it allows reaching out to patients unable to travel and overcomes the need for regular outpatient visits. International Journal of Rehabilitation Research 43: 285-286 Copyright © 2020 Wolters Kluwer Health, Inc. All rights reserved.",0.0,,False
5,"International Journal of Rehabilitation Research 2020, 43:285-286",0.0,,False
6,"Keywords: Charcot-Marie-Tooth disease, COVID-19, neuropathy, SARS-Cov-2, telerehabilitation",1.0,disease,True
7,"aDepartment of neurosciences, rehabilitation, ophthalmology, genetics and maternal/child sciences, University of Genova and bPoliclinico IRCSS San Martino, Genova, Italy",0.0,,False
8,"Correspondence to Valeria Prada, PhD, Univeristà degli Studi di Genova, L.go P. Daneo 3, Genova 16132 Italy Tel: +39 010 353 7040; e-mail: valeria.prada@gmail.com",0.0,,False
9,Received 30 March 2020 Accepted 3 April 2020,0.0,,False
10,"Downloaded from http://journals.lww.com/intjrehabilres by BhDMf5ePHKav1zEoum1tQfN4a+kJLhEZgbsIHo4XMi0hCywCX1AWnYQp/IlQrHD3i3D0OdRyi7TvSFl4Cf3VC4/OAVpDDa8K2+Ya6H515kE, on 11/03/2021",0.0,,False
