,sentence,label,data,regex
0,Using the flexible analytic hierarchy process method to solve the emergency decision making of public health for COVID-19,1.0,COVID-19,True
1,Hsiang-Yu Chung ROC Military Academy,0.0,,False
2,Kuei Hu Chang (  evenken2002@yahoo.com.tw ) ROC Military Academy,0.0,,False
3,"Research Article Keywords: Analytic hierarchy process, Soft set, COVID-19, Multicriteria decision making, Hesitant fuzzy linguistic Posted Date: October 25th, 2022 DOI: https://doi.org/10.21203/rs.3.rs-1306380/v1 License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License",1.0,COVID-19,True
4,Page 1/25,0.0,,False
5,Abstract,0.0,,False
6,"The novel coronavirus COVID-19 was initially found in December 2019 in Wuhan, China. Since then, the COVID-19 virus has rapidly spread throughout the world, causing the collapse of medical systems and economic depression. In addition to providing various relief programs, many countries have implemented various anti-epidemic measures to stop the continuous deterioration of the epidemic and maintain the stability of their economies. Especially during the COVID-19 pandemic, emergency decision making and risk assessment is an important issue for guaranteeing the stable life of the people are considered emergency multicriteria decision making (MCDM) problems. The assessment information of the criteria simultaneously includes complete, incomplete and hesitant fuzzy linguistic information in emergency MCDM problems. The analytic hierarchy process (AHP) approach can effectively process MCDM problems; however, the traditional AHP approach cannot handle the incomplete and hesitant fuzzy linguistic information of emergency MCDM problems. In order to overcome these issues, this paper proposed a novel flexible AHP method to solve emergency MCDM problems under the COVID-19 pandemic, and adopted a numerical case about public health emergency decision making and risk assessment under the COVID-19 pandemic to verify the effectiveness and correctness of the proposed flexible AHP method.",1.0,coronavirus,True
7,1 Introduction,0.0,,False
8,"Since late December 2019, when the first case of COVID-19 was discovered, the COVID-19 coronavirus has rapidly spread throughout the world. On January 10, 2020, the World Health Organization (WHO) defined the new coronavirus as COVID-19, with `CO' meaning corona, `VI' meaning virus, `D' meaning disease, and `19' meaning the year it was discovered (Chen et al. 2021). The COVID-19 coronavirus spreads among people with frightening speed, posing a serious threat to life and causing a global pandemic (Hong et al. 2020). As of September 2021, 230 million people worldwide have been infected with COVID-19, and 4.77 million of them have died (WHO publication, 2021). In order to effectively reduce the spread of COVID-19, many scholars in various fields have conducted analysis and research on the epidemic situations related to COVID-19. For example, Chen et al. (2020) used news reports of COVID-19 as a simulation example and applied big textual data to demonstrate the effectiveness of the machine optimization process. The improved data analysis of Chen et al.'s (2020) method can remove functional and meaningless words quickly through machine processing and provide corpus data for decision makers in specific fields for further use. Wang et al. (2021) used the AHP method, brainstorming and literature research to establish a risk evaluation model for COVID-19 infection and provide management strategies to reduce COVID-19 infections. COVID-19 is no longer limited to medical issues, and various fields have taken great efforts to handle issues that are related to COVID-19, such as emergency logistics systems, supply chain risk management, travel, and tourism industry issues, medical issues, waste management, and so on (e.g., Baryannis et al. 2019; Bazan et al. 2021; Jiang et al. 2020; Skare et al. 2021; Van Fan et al. 2021). With the COVID-19 pandemic expanding rapidly while medical resources are limited and scattered across the country, how to collect opinions and suggestions from experts from",1.0,case,True
9,Page 2/25,0.0,,False
