,sentence,label,data,regex
0,This article is made available via the ACS COVID-19 subset for unrestricted RESEARCH re-use and analyses in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.,1.0,COVID-19,True
1,"Downloaded via MORGAN STATE UNIV on November 3, 2021 at 22:39:16 (UTC). See https://pubs.acs.org/sharingguidelines for options on how to legitimately share published articles.",0.0,,False
2,pubs.acs.org/estwater,0.0,,False
3,Review,0.0,,False
4,"A Global Overview of SARS-CoV2 in Wastewater: Detection, Treatment, and Prevention",0.0,,False
5,"Xianghao Meng, Xuye Wang, Shujuan Meng,* Ying Wang, Hongju Liu, Dawei Liang, Wenhong Fan, Hongping Min, Wenhai Huang, Anming Chen, Haijun Zhu, Guanping Peng, Jun Liu, Zhenhuan Qiu, Tao Wang, Linyan Yang, Yuan Wei, Peishu Huo, Dayi Zhang, and Yu Liu",0.0,,False
6,"Cite This: ACS EST Water 2021, 1, 2174-2185",0.0,,False
7,Read Online,0.0,,False
8,ACCESS,0.0,,False
9,Metrics & More,0.0,,False
10,Article Recommendations,0.0,,False
11,"ABSTRACT: A novel coronavirus (SARS-CoV-2) causing corona virus disease 2019 (COVID-19) has attracted global attention due to its highly infectious and pathogenic properties. Most of current studies focus on aerosols released from infected individuals, but the presence of SARS-CoV-2 in wastewater also should be examined. In this review, we used bibliometrics to statistically evaluate the importance of water-related issues in the context of COVID-19. The results show that the levels and transmission possibilities of SARS-CoV-2 in wastewater are the main concerns, followed by potential secondary pollution by the intensive use of disinfectants, sludge disposal, and the personal safety of workers. The presence of SARS-CoV-2 in wastewater requires more attention during the COVID-19 pandemic. Thus, the most effective techniques, i.e., wastewater-based epidemiology and quantitative microbial risk assessment, for virus surveillance in wastewater are systematically analyzed. We further explicitly review and analyze the successful operation of a sewage treatment plant in Huoshenshan Hospital in China as an example and reference for other sewage treatment systems to properly ensure discharge safety and tackle the COVID-19 pandemic. This review offers deeper insight into the prevention and control of SARS-CoV-2 and similar viruses in the post-COVID19 era from a wastewater perspective.",1.0,coronavirus,True
12,1. INTRODUCTION,0.0,,False
13,"The outbreak of coronavirus infectious disease 2019 (COVID19) is caused by a novel coronavirus (SARS-CoV-2), resulting in symptoms of coughing, sneezing, etc.1,2 As a single-stranded RNA virus, SARS-CoV-2 has caused an increasing number infections because of its high transmissibility.3 The influenced countries have taken emergency measures to minimize the spread of SARS-CoV-2, which has become a hot topic around the world.4,5 Researches are focusing on the monitoring of SARS-CoV-2 in water, wastewater, sludge, and air and on surfaces to assess the risk of contracting the virus from contaminated environments.6,7 People have paid a great deal of attention to the spread of SARS-CoV-2 in aerosols, and the possibility of SARS-CoV-2 being spread in wastewater cannot be ignored.8,9 Bhatt et al. summarized the presence of SARSCoV-2 in wastewater, showing substantial evidence of the existence of SARS-CoV-2 RNA and other pathogenic bacteria in wastewater.10,11 SARS-CoV-2 RNA may be released from COVID-19 patients into wastewater12 and subsequently enter the sewage pipe networks in hospitals or communities, although no confirmed cases from wastewater and fecal-oral transmission have yet been reported.13-15 During the COVID-",1.0,outbreak,True
14,"19 pandemic, sewage treatment plants face more serious threats from emerging contaminants, including a variety of disinfectants, antibiotics, drugs, and viruses, raising new challenges for wastewater treatment management.16",1.0,pandemic,True
15,"The serious threats posed by the fecal-oral route are the main concern for wastewater during the outbreak of COVID19, and more problems arise from water contaminated by the coronavirus.17 Theoretically, potential routes of transmission of the virus to humans include directly touching contaminated surface water or groundwater, bathing or swimming in contaminated water, and eating contaminated seafoods or crops in contaminated soils.18-20 We used bibliometrics in this study to assess the recent research highlights of this topic and gain a more comprehensive understanding of the presence and spillover of SARS-CoV-2 in water environments. Commonly",1.0,outbreak,True
16,"Received: April 25, 2021 Published: September 12, 2021",0.0,,False
17,© 2021 American Chemical Society 2174,0.0,,False
18,"https://doi.org/10.1021/acsestwater.1c00146 ACS EST Water 2021, 1, 2174-2185",0.0,,False
19,ACS ES&T Water,0.0,,False
20,pubs.acs.org/estwater,0.0,,False
21,Review,0.0,,False
22,"Figure 1. (a) Number of articles on ""coronavirus"" and ""water"" indexed in the Web of Science from 2011 to 2020. (b) Top 10 countries or regions publishing the largest numbers of articles on the topic of ""coronavirus"" and ""water"". (c) Top 10 journals publishing the largest numbers of articles on the topic of ""coronavirus"" and ""water"" in 2020.",1.0,coronavirus,True
23,"used surveillance methods like wastewater-based epidemiology (WBE) and quantitative microbial risk assessment (QMRA) are systematically reviewed and analyzed to provide insights into their proper application during the COVID-19 pandemic. Subsequently, the combination of WBE and QMRA is proposed for water safety management in the COVID-19 and post-COVID-19 era. Lastly, the successful operation of sewage treatment facilities and the presence of SARS-CoV-2 in different treatment sectors in Huoshenshan Hospital in China are explicitly discussed to offer a reference for other sewage treatment systems facing the challenges of treating SARS-CoV2-containing wastewater during the COVID-19 pandemic.",1.0,epidemiology,True
24,2. METHODS AND DATA ANALYSIS,0.0,,False
25,"As a widely accepted method for quantifying and analyzing big data by keyword retrieval, bibliometrics offers a good opportunity to carry out a comprehensive study of scientific topics or subjects.21,22 Here, we use bibliometrics to visualize the hot points related to coronavirus and discuss the future research trends. The keywords ""coronavirus"" and ""water"" were chosen for a search of all literature in the Web of Science on December 31, 2020, and the publication date was set from 2020 without language restrictions. In total, 296 articles were retrieved, and 254 papers were finally selected for further analysis after repetitive and irrelevant articles had been screened out. The ""Analytical Search Results tool"" was used to analyze these articles, identifying countries and regions that paid a great deal of attention to water-related concerns caused by the coronavirus. WBE and QMRA, as important methods for epidemic surveillance and prevention, were widely applied in the fight against COVID-19.23-25 They were then both used as the keywords for a search with the same retrieval method to provide insights into their principles and recent applications. All of these papers were thoroughly read and scientifically analyzed in detail.",1.0,coronavirus,True
26,3. BIBLIOMETRICS ANALYSIS,0.0,,False
27,"The number of articles with the keywords of ""coronavirus"" and ""water"" in the Web of Science from 2011 to 2020 is illustrated in Figure 1a. It remained at a low level (3-10 articles per year) from 2011 to 2019, and a dramatic increase was found in 2020 when 254 articles were retrieved. Obviously, the COVID-19 pandemic has attracted significant attention to the risks and safety management of water environments. Figure 1b shows the country-based distribution of the 254 retrieved articles. The United States and China together contributed to 50% of the relevant publications, indicating that the researchers from these two countries participated most in the investigation of the impacts of coronaviruses on water environments. In addition, the most productive journals (e.g., Science of the Total Environment and International Journal of Environmental Research and Public Health) are closely linked to the ""environmental"" area , hinting that more attention is being paid to the potential impacts of the coronavirus on the environment and human health (Figure 1c).",1.0,coronavirus,True
28,"As tools for monitoring pathogens, WBE (Figure 2a) and QMRA (Figure 2b) have been widely applied for wastewater surveillance and become popular. Considering the requirements of sewage management and monitoring, WBE and QMRA can rapidly detect viruses in the sewage and establish a specific diffusion model to support the epidemiological study of infectious diseases.23,26 As shown in Figure 2, WBE-related publications have significantly grown in 2020, whereas the number articles addressing QMRA has remained relatively stable. This indicates that researchers have recognized the important roles of WBE in SARS-CoV-2 surveillance in wastewater. Although the role of QMRA cannot be denied in the analysis and quantification of harmful microorganisms, including viruses, viral load is normally small and challenges the assessment. Therefore, current QMRA usually optimizes the parameters and assess the risks on the basis of mathematical models (Table 2). In addition, application of",1.0,infectious,True
29,2175,0.0,,False
30,"https://doi.org/10.1021/acsestwater.1c00146 ACS EST Water 2021, 1, 2174-2185",0.0,,False
31,ACS ES&T Water,0.0,,False
32,pubs.acs.org/estwater,0.0,,False
33,Review,0.0,,False
34,Figure 2. Annual and cumulative numbers of articles about (a) WBE and (b) QMRA published from 2010 to 2020.,0.0,,False
35,"QMRA focuses more on the microbiological risk assessment but lacks a successful case analysis in sewage.25,27 Accordingly, WBE is more recommended for epidemiological studies of infectious diseases rather than QMRA in environmental research.",1.0,case,True
36,4. WATER-RELATED CONCERNS AND STRATEGIES FOR CONTROLLING CORONAVIRUSES,1.0,,True
37,"4.1. Impacts of SARS-CoV-2 on the Utilization of Water Resources. Water resources are critical for human life and regional socioeconomic health.28,29 However, the outbreak of the COVID-19 pandemic increases the risk of water pathogenic contamination and poses a challenge for water utilization. For the cities with superior water resources, often accompanied by high population densities, both water shortage and the possibility of viral transmission increase during the pandemic.12 More seriously, the regions with limited water resources may be troubled by more severe problems, including water pollution, poor sanitation, a lack of clean water, etc.30,31 The process of fetching water resources (such as the process of queuing or the contact of water containers) or washing with water resources that cannot meet the World Health Organization's sanitation standards will bring a greater risk of cross-infection.32,33 In addition, countries and regions with water scarcity are more likely to use wastewater for irrigation, which might increase the likelihood of accumulation of the virus in crops or soils.34,35 These potential risks in water",1.0,SARS-CoV-2,True
