,sentence,label,data,regex
0,"Psychiatria Danubina, 2022; Vol. 34, No. 3, pp 587-594 https://doi.org/10.24869/psyd.2022.587 0HGLFLQVNDQDNODGD- Zagreb, Croatia",0.0,,False
1,Original paper,0.0,,False
2,THE CHALLENGES OF CAREGIVERS OF CHILDREN WITH,0.0,,False
3,AUTISM SPECTRUM DISORDERS COMORBIDITY DURING,0.0,,False
4,THE COVID-19 PANDEMIC IN SERBIA,1.0,COVID-19,True
5,"Miodrag Stankovic1,2, Aleksandra Stojanovic2, Aleksandra Ignjatovic1,3, Mayada Elsabbagh4, Miriam Gonzalez4, Afiqah Yusuf4, Alaa Ibrahim4, Keiko Shikako-Thomas4, Jelena Stojanov5 & Matija Stankovic6",0.0,,False
6,"1Department of Psychiatry, Faculty of Medicine, University of Nis, Nis, Serbia 2Department of Child Psychiatry, Center of Mental Health Protection, University Clinical Centre of Nis, Nis, Serbia",1.0,Clinical,True
7,"3Department of Medical Statistic, Institute of Public Health Nis, Nis, Serbia 4Department of Neurology and Neurosurgery, Faculty of Medicine McGill University, Montreal, Canada",0.0,,False
8,"5Special Hospital for Psychiatric Disorders ""Gornja Toponica"", Nis, Serbia 6College of Computing and Informatics, Drexel University, Philadelphia, PA, USA",0.0,,False
9,received: 13.1.2022;,0.0,,False
10,revised: 4.4.2022;,0.0,,False
11,accepted: 28.4.2022,0.0,,False
12,SUMMARY,0.0,,False
13,"Background: Children with Autism Spectrum Disorders (ASD) experience significantly higher prevalence of other mental disorders, which amplifies their need for overall support. The outbreak of novel coronavirus (COVID-19) resulted in restrictions and limited access to different services with great challenge for families and children with ASD.",1.0,outbreak,True
14,"Subjects and methods: We used an electronic SurveyMonkey questionnaire to examine the experiences of 114 caregivers of FKLOGUHQ ZLWK $6' :H FRPSDUHG D OHYHO RI VXSSRUW E\ WKH FKLOG¶V VFKRRO FKDQJHV LQ FKLOG EHKDYLRU DQG SULRULW\ QHHGV IRU families of ASD and ASD with comorbidities (ASD+) children, during pandemic, and (b) developmental history and diagnosis for ASD and ASD+ children before the pandemic.",1.0,pandemic,True
15,"Results: Our research shows significant behavioral difficulties in the population with ASD and ASD+ that arose in the field of altered living conditions and overall functioning during the COVID-19 pandemic. Statistically significant results comparing ASD to ASD+ children we found in area of getting additional help and support before the outbreak of the pandemic (47.1% vs 16.0%, p,""0.002), as well as in worsening of sleep problems, statistically significant more common in children with ASD+ (ASD+ 47.7% vs. ASD 25.7%, p"",0.046).",1.0,COVID-19,True
16,"Conclusions: Our findings can contribute to the faster development and implementation of protocols for dealing with situations such as pandemics, related to the vulnerable population of children with ASD and their caregivers.",1.0,pandemic,True
17,Key words: autism spectrum disorders ± comorbidity - COVID-19 pandemic ± facilitators - barriers,1.0,COVID-19,True
18,* * * * *,0.0,,False
19,INTRODUCTION,0.0,,False
20,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder characterized by social communication deficits, restricted interests, repetitive behaviors, and with an estimated global prevalence of 1% (APA 2013). It is a complex condition that significantly affects everyday life as well as the quality of life of the patient himself and that of his/her caregiver. Symptomatology that is often a presentation of comorbid state is very often misunderstood in everyday clinical practice as part of ASD clinical presentation. Individuals with ASD commonly experience significantly higher prevalence of other mental disorders compared to typically developed individuals (Romero et al. 2016). These comorbidities often exacerbate their need for overall support. It is generally considered that persons with comorbidity will have more severe impairments as a result of having more than one disorder (De Filippis 2018). It is estimated that nearly 70% of people diagnosed with ASD have at least one comorbid psychiatric disorder, and approximately 40% of them may have two or more",1.0,social,True
