,sentence,label,data,regex
0,An Acad Bras Cienc (2022) 94(Suppl. 3): e20210921 DOI 10.1590/0001-3765202220210921 Anais da Academia Brasileira de Ciências | Annals of the Brazilian Academy of Sciences Printed ISSN 0001-3765 I Online ISSN 1678-2690 www.scielo.br/aabc | www.fb.com/aabcjournal,0.0,,False
1,MATHEMATICAL SCIENCES,0.0,,False
2,Predicting COVID-19 cases in various scenarios using RNN-LSTM models aided by adaptive linear regression to identify data anomalies,1.0,COVID-19,True
3,"LUIS RICARDO ARANTES FILHO, MARCOS L. RODRIGUES, REINALDO R. ROSA & LAMARTINE N.F. GUIMARÃES",0.0,,False
4,"Abstract: The evolution of the Sars-CoV-2 (COVID-19) virus pandemic has revealed that the problems of social inequality, poverty, public and private health systems guided by controversial public policies are much more complex than was conceived before the pandemic. Therefore, understanding how COVID-19 evolves in society and looking at the infection spread is a critical task to support efficient epidemiological actions capable of suppressing the rates of infections and deaths. In this article, we analyze daily COVID-19 infection data with two objectives: (i) to test the predictive power of a Recurrent Neural Network - Long Short Term Memory (RNN-LSTM) on the daily stochastic fluctuation in different scenarios, and (ii) analyze, through adaptive linear regression, possible anomalies in the reported data to provide a more realistic and reliable scenario to support epidemic control actions. Our results show that the approach is even more suitable for countries, states or cities where the rate of testing, diagnosis and prevention were low during the virus dissemination. In this sense, we focused on investigating countries and regions where the disease evolved in a severe and poorly controlled way, as in Brazil, highlighting the favelas in Rio de Janeiro as a regional scenario. Key words: COVID-19, machine learning, RNN-LSTM, Brazil, favelas, Rio de Janeiro.",1.0,COVID-19,True
5,INTRODUCTION,0.0,,False
6,"The pandemic caused by the SARS-CoV-2 virus (COVID-19), has severely affected humanity in various segments, such as the public health, economy, and political sectors. Moreover, the disease raises severe infections and has a high spreading capability, which makes it lethal in many cases. By August 2021, about 200 million cases have been counted, with approximately 4.5 million deaths, and as indicated by various studies the normality recovery, even with the available vaccines (Sinovac, Pfizer, Astrazeneca, Moderna, Janssen), will be slow and difficult (Tian et al. 2020, Lauer et al. 2020, Anjos 2020, The Lancet 2020, Sharma et al. 2021).",1.0,pandemic,True
7,"Thus, actions to monitor and control the virus spreading play a fundamental role in reducing the number of infected people and, consequently, the number of related deaths. In this sense, this work brings two complementary machine learning approaches to understanding the stochastic nature of COVID-19. Firstly, we test a prediction strategy for COVID-19 based on Long-Short-Term Memory (LSTM), a Recurrent Neural Network (RNN) model. LSTM (Hochreiter & Schmidhuber 1997a,b) attempt to establish relationships in data that have long-term temporal dependencies through memory cells (memory",1.0,spread,True
8,An Acad Bras Cienc (2022) 94(Suppl. 3),0.0,,False
9,LUIS RICARDO ARANTES FILHO et al.,0.0,,False
10,PREDICTING AND TREND ANALYSIS OF COVID-19 CASES,1.0,COVID-19,True
