,sentence,label,data,regex
0,TYPE Original Research PUBLISHED 03 October 2022 DOI 10.3389/fpsyt.2022.956068,0.0,,False
1,OPEN ACCESS,0.0,,False
2,EDITED BY,0.0,,False
3,"Francesca Conte, Second University of Naples, Italy",0.0,,False
4,REVIEWED BY,0.0,,False
5,"Siqi Ge, Beijing Tiantan Hospital, China Jie Zhang, Capital Medical University, China Wenjie Jiao, The Affiliated Hospital of Qingdao University, China",1.0,,True
6,*CORRESPONDENCE,0.0,,False
7,Xinchun Duan duanxinchun45@163.com Yong Cui cuiyong@ccmu.edu.cn,0.0,,False
8,These authors have contributed equally to this work,0.0,,False
9,SPECIALTY SECTION,0.0,,False
10,"This article was submitted to Mood Disorders, a section of the journal Frontiers in Psychiatry",0.0,,False
11,RECEIVED 29 May 2022 ACCEPTED 01 September 2022 PUBLISHED 03 October 2022,0.0,,False
12,CITATION,0.0,,False
13,"Tong Y, Zhang Q, Wang X, Du Y, Chang D, Cui Y and Duan X (2022) Dynamic changes in mental health status related to the COVID-19 pandemic among health care workers and inpatients in China. Front. Psychiatry 13:956068. doi: 10.3389/fpsyt.2022.956068",1.0,COVID-19,True
14,COPYRIGHT,0.0,,False
15,"© 2022 Tong, Zhang, Wang, Du, Chang, Cui and Duan. This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",0.0,,False
16,Dynamic changes in mental health status related to the COVID-19 pandemic among health care workers and inpatients in China,1.0,COVID-19,True
17,"Yujun Tong1, Qian Zhang2, Xiaoran Wang1, Yanlin Du1, Dong Chang1, Yong Cui1* and Xinchun Duan1*",0.0,,False
18,"1Department of Thoracic Surgery, Beijing Friendship Hospital, Capital Medical University, Beijing, China, 2Clinical Epidemiology and EBM Unit, National Clinical Research Center for Digestive Diseases, Beijing Friendship Hospital, Capital Medical University, Beijing, China",1.0,Clinical,True
19,"Background: Exposure to coronavirus disease 2019 (COVID-19) can cause severe mental health problems, the dynamics of which remain unclear. This study evaluated the mental status of frontline health care workers (FHWs) and suspected infected patients (SIPs) during different periods of the COVID19 outbreak.",1.0,coronavirus,True
20,"Materials and methods: Demographic and psychological data were collected through a cross-sectional survey of 409 participants in a hospital from 20 January to 7 August 2020. COVID-19 outbreaks were divided into three periods owing to the time, place, and scale, including the national outbreak period (a nationwide pandemic period from 20 January to 8 April 2020), sporadic period (a stable period from 9 April to 10 June), and local epidemic period (a local pandemic in Beijing from 11 June to 7 August 2020). Acute psychological disorders (APDs), including symptoms of anxiety and depression, were assessed using the Zung Self-Rating Anxiety/Depression Scale (SAS/SDS).",1.0,COVID-19,True
