,sentence,label,data,regex
0,TYPE Original Research PUBLISHED August DOI . /fpubh. .,0.0,,False
1,OPEN ACCESS,0.0,,False
2,EDITED BY,0.0,,False
3,"Victoria Team, Monash University, Australia",0.0,,False
4,REVIEWED BY,0.0,,False
5,"Ayoub Bouguettaya, University of Birmingham, United Kingdom Sarah Cuschieri, University of Malta, Malta",0.0,,False
6,*CORRESPONDENCE,0.0,,False
7,Leda Nemer nemerl@who.int,0.0,,False
8,SPECIALTY SECTION,0.0,,False
9,"This article was submitted to Public Health Education and Promotion, a section of the journal Frontiers in Public Health",0.0,,False
10,RECEIVED ACCEPTED PUBLISHED,0.0,,False
11,June June August,0.0,,False
12,CITATION,0.0,,False
13,"Palmer K, Nemer L, Datta SS and",0.0,,False
14,Menne BM ( ) COVID-,0.0,,False
15,vaccination roll-outs in eleven small,0.0,,False
16,countries within the WHO European,0.0,,False
17,region; Lessons learned.,0.0,,False
18,Front. Public Health :,0.0,,False
19,.,0.0,,False
20,doi: . /fpubh. .,0.0,,False
21,COPYRIGHT,0.0,,False
22,© World Health Organization,0.0,,False
23,.,0.0,,False
24,Licensee Frontiers Media SA. This is an,0.0,,False
25,open access article distributed under,0.0,,False
26,the terms of the Creative Commons,0.0,,False
27,Attribution IGO License (http://,0.0,,False
28,creativecommons.org/licenses/by/ . /,0.0,,False
29,"igo/legalcode), which permits",0.0,,False
30,"unrestricted use, adaptation (including",0.0,,False
31,"derivative works), distribution, and",0.0,,False
32,"reproduction in any medium, provided",0.0,,False
33,the original work is properly cited. In,0.0,,False
34,any reproduction or adaptation of this,0.0,,False
35,article there should not be any,0.0,,False
36,suggestion that WHO or this article,0.0,,False
37,endorse any specific organisation or,0.0,,False
38,products. The use of the WHO logo is,0.0,,False
39,not permitted. This notice should be,0.0,,False
40,preserved along with the article's,0.0,,False
41,original URL.,0.0,,False
42,COVID- vaccination roll-outs in eleven small countries within the WHO European region; Lessons learned,0.0,,False
43,"Katie Palmer , Leda Nemer *, Siddhartha Sankar Datta and Bettina Maria Menne",0.0,,False
44,"WHO European O ce for Investment for Health and Development, Venice, Italy, WHO Regional O ce for Europe, Copenhagen, Denmark",0.0,,False
45,The development and administration of COVID- vaccines has been an,1.0,vaccine,True
46,"essential element in controlling the COVID- pandemic. However, countries",1.0,pandemic,True
47,worldwide have faced challenges in planning and implementing vaccination,0.0,,False
48,strategies. The aim of the current paper is to describe the situation faced by,0.0,,False
49,small countries in the WHO European Region in implementing their national,0.0,,False
50,vaccination strategies during the first stages of the planned roll-out (up,0.0,,False
51,to May,0.0,,False
52,). This paper uses information from the WHO Small Countries,0.0,,False
53,"Initiative (SCI), which includes a network of countries with populations",0.0,,False
54,"of  million (Andorra, Cyprus, Estonia, Iceland, Latvia, Luxembourg, Malta,",0.0,,False
55,"Monaco, Montenegro, San Marino, and Slovenia). The SCI countries faced",0.0,,False
56,"many challenges including: a lack of appropriate vaccination centers, adequate",0.0,,False
57,"workforce, and registration/booking systems to cope with the unprecedented",0.0,,False
58,vaccine storage and administration demands; di culties for high-risk groups,1.0,vaccine,True
59,"(e.g., older individuals and those with health problems or cognitive impairment)",1.0,,True
60,to access vaccination sites or use digital registration/booking systems; vaccine,1.0,vaccine,True
61,wastage due to canceled appointments; and inequalities in vaccine uptake.,1.0,vaccine,True
62,Innovative programmatic interventions were implemented to facilitate the,0.0,,False
63,vaccination uptake of the populations such as: the creation of non-medical,0.0,,False
64,vaccination sites and mobile vaccination units; on-site vaccination of people,0.0,,False
65,in long-term residential facilities and long-term medical wards; diversifying,0.0,,False
66,health workforce like redeployment of healthcare professionals and use of,0.0,,False
67,medical students and retired medical professionals; campaigns with clear,0.0,,False
68,information to the general public (in multiple languages where necessary),0.0,,False
69,both o ine and online; use of digital registration/booking systems and,0.0,,False
70,alternative (non-digital) registration/booking systems for relevant individuals;,0.0,,False
71,and administration of excess vaccine doses to non-priority groups to,1.0,vaccine,True
72,avoid wastage.,0.0,,False
73,KEYWORDS,0.0,,False
74,"COVID- , WHO European Region, vaccines, immunization, prevention, vaccine strategies, SARS-CoV-",1.0,vaccine,True
75,Frontiers in Public Health,0.0,,False
76,frontiersin.org,0.0,,False
77,Palmer et al.,0.0,,False
78,. /fpubh. .,0.0,,False
79,Introduction,0.0,,False
80,The public health impact of the COVID- pandemic,1.0,pandemic,True
81,"Since the start of the COVID-19 pandemic, there have been more than 516 million documented cases worldwide and over 6 million deaths with a large proportion in the WHO European region (217,646,171 confirmed cases and 1,999,825 reported deaths; data as of 13/05/2022) . People infected with SARS-CoV2 can present with a range of symptoms at different severity levels. In addition to the risk of serious illness and mortality, COVID-19 also poses potential long-term consequences for some individuals, such as prolonged respiratory, neurological, and cognitive symptoms (1-4). Alongside these risks, the health of population has been potentially affected as an indirect result of varied public health measures implemented by the countries to control the pandemic, such as social distancing and lockdowns, which have led to disruptions to routine medical care and management of non-communicable diseases, and increased risks for mental health (5-8).",1.0,COVID-19,True
82,Vaccination strategies against COVID-,0.0,,False
83,"Vaccination has been an essential strategy in controlling the COVID-19 pandemic. Since the first vaccine was approved for use in December 2020 by the European Medicines Agency over one billion doses (1,577,389,178; data as of 13/05/2022) have been administered in the WHO European Region . The initial vaccination roll-out was focused on delivering complete primary vaccination series to health and social care professionals and individuals with underlying disease conditions, which progressively was extended to other nonpriority population groups. As multiple COVID-19 vaccines became available at the end of 2020 and start of 2021, health systems worldwide struggled with varying challenges in implementing their vaccination strategies. Many countries continue to face repeated waves of COVID-19 and there have been ongoing fears of variants of concern; for example, in November 2021 the WHO designated Omicron as a variant of concern and, although little was known about the variant at that time, research subsequently showed that it is transmitted much more rapidly than other variants of SARS-CoV-2 (9). Further studies found that primary immunization with two doses of different vaccines (ChAdOx1 nCoV-19 or BNT162b2)",1.0,COVID-19,True
84,https://covid .who.int/,0.0,,False
85,https://www.ema.europa.eu/en/medicines/human/EPAR/ comirnaty#authorisation- details- section,0.0,,False
86,https://worldhealthorg.shinyapps.io/EURO_COVID_vaccine_monitor/,1.0,vaccine,True
87,https://www.who.int/news/item/ - - -update-on-omicron,0.0,,False
88,"provided some limited protection against symptomatic disease, whereas booster doses substantially increased protection, which then waned over time (10). These points underline the vital need to continue to plan and implement vaccinations with short- medium-, and, long-term perspectives. Each country faces different challenges; identifying these difficulties and sharing the methods they used to overcome them are essential. Countries with smaller populations might have specific characteristics that affect them, such as differences in infrastructures or flexibility within their health systems. Evaluating how such countries handled vaccination roll-outs and describing both positive and negative aspects of the strategies may help for future planning.",1.0,symptomatic,True
89,Aims,0.0,,False
