,sentence,label,data,regex
0,|,0.0,,False
1,TYPE Original Research PUBLISHED 10 October 2022 DOI 10.3389/fsurg.2022.994536,0.0,,False
2,EDITED BY,0.0,,False
3,"Luca Ambrosio, Campus Bio-Medico University, Italy",0.0,,False
4,REVIEWED BY,0.0,,False
5,"Jingchuan Sun, Shanghai Changzheng Hospital, China Guangzhi Ning, Tianjin Medical University General Hospital, China",1.0,,True
6,*CORRESPONDENCE Ding-jun Hao haodingjun@mail.xjtu.edu.cn,0.0,,False
7,These authors have contributed equally to this work,0.0,,False
8,SPECIALTY SECTION,0.0,,False
9,"This article was submitted to Orthopedic Surgery, a section of the journal Frontiers in Surgery",0.0,,False
10,RECEIVED 14 July 2022 ACCEPTED 12 September 2022 PUBLISHED 10 October 2022,0.0,,False
11,CITATION,0.0,,False
12,"Wang X, Du J, Jiang C, Zhang Y-y, Tian F, Chen Z, Zhang Y, Zhang Y, Yan L and Hao D (2022) Epidemiological characteristics of traumatic spinal cord injuries in a multicenter retrospective study in northwest China, 2017-2020. Front. Surg. 9:994536. doi: 10.3389/fsurg.2022.994536",1.0,,True
13,COPYRIGHT,0.0,,False
14,"© 2022 Hao, Wang, Du, Jiang, Zhang, Chen, Zhang, Ying and Yan. This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",0.0,,False
15,Epidemiological characteristics,0.0,,False
16,of traumatic spinal cord injuries,0.0,,False
17,in a multicenter retrospective,0.0,,False
18,"study in northwest China, 2017-2020",1.0,,True
19,"Xiaohui Wang1,2, Jinpeng Du1, Chao Jiang1, Yong-yuan Zhang1, Fang Tian1,2, Zhe Chen1,2, Yuyang Zhang1,2, Ying Zhang3, Liang Yan1 and Dingjun Hao1,2*",0.0,,False
20,"1Department of Spinal Surgery, Honghui Hospital, Xi'an Jiaotong University, Xi'an, China, 2Department of Orthopaedic, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China, 3Orthopaedic Third Ward, Yulin No. 2 Hospital, Yulin, China",1.0,,True
21,"Background: Traumatic spinal cord injuries (TSCIs) are worldwide public health problems that are difficult to cure and impose a substantial economic burden on society. There has been a lack of extensive multicenter review of TSCI epidemiology in northwest China during the Corona Virus Disease 2019 (COVID-19) pandemic. Method: A multicenter retrospective study of 14 selected hospitals in two provinces in northwest China was conducted on patients admitted for TSCI between 2017 and 2020. Variables assessed included patient demographics, etiology, segmental distribution, treatment, waiting time for treatment, and outcomes. Results: The number of patients with TSCI showed an increasing trend from 2017 to 2019, while there were 12.8% fewer patients in 2020 than in 2019. The male-to-female ratio was 3.67:1, and the mean age was 48 ± 14.9 years. The primary cause of TSCI was high falls (38.8%), slip falls/low falls (27.7%), traffic accidents (23.9%), sports (2.6%), and other factors (7.0%). The segmental distribution showed a bimodal pattern, peak segments were C6 and L1 vertebra, L1 (14.7%), T12 (8.2%), and C6 (8.2%) were the most frequently injured segments. In terms of severity, incomplete injury (72.8%) occurred more often than complete injury (27.2%). The American Spinal Injury Association impairment scale of most patients did not convert before and after treatment in the operational group (71.6%) or the conservative group (80.6%). A total of 975 patients (37.2%) from urban and 1,646 patients (62.8%) from rural areas were included; almost all urban residents could rush to get treatment after being injured immediately (<1 h), whereas most rural patients get the treatment needed 4-7 h after injury. The rough annual incidence from 2017 to 2020 is 112.4, 143.4, 152.2, and 132.6 per million people, calculated by the coverage rate of the population of the sampling hospital.",1.0,epidemiology,True
22,Abbreviations,0.0,,False
23,"TSCI, traumatic spinal cord injuries; COVID-19, Corona Virus Disease 2019; ASIA impairment scale, American Spinal Injury Association impairment scale; ICD-10, International Classification of Diseases, Version 10; China CDC, China Center for Disease Control; HEMS, helicopter emergency medical service.",1.0,COVID-19,True
24,Frontiers in Surgery,0.0,,False
25,01,0.0,,False
26,frontiersin.org,0.0,,False
27,Wang et al.,0.0,,False
28,10.3389/fsurg.2022.994536,0.0,,False
29,"Conclusion: The incidence of TSCI in northwest China is high and on the rise. However, due to pandemic policy reasons, the incidence of urban residents decreased in 2020. The promotion of online work may be an effective primary prevention measure for traumatic diseases. Also, because of the further distance from the good conditional hospital, rural patients need to spend more time there, and the timely treatment of patients from remote areas should be paid attention to.",1.0,pandemic,True
30,KEYWORDS,0.0,,False
31,"trauma, epidemiology, traumatic spinal cord injuries, COVID-19, northwest China",1.0,epidemiology,True
32,Introduction,0.0,,False
33,"Traumatic spinal cord injuries (TSCIs) can cause significant morbidity and mortality (1). These injuries are often caused by heavy injuries, traffic accidents, falling accidents, etc. and are centered in the labor age population and elderly population (2, 3). Despite the economic differences between countries or regions, this traumatic disease has caused a large loss of the working population, imposing a serious economic burden on patients and families, which leads to high health expenditure and economic losses (4, 5). Unfortunately, there is currently no effective treatment for patients with TSCI--severe damage to the spinal cord usually means permanent impairment (4, 6, 7). Therefore, attention should be paid to primary prevention. Understanding injury risk factors, incidence, and demographic characteristics can better guide the promotion of preventive measures and the allocation of medical resources (8, 9).",1.0,disease,True
34,"The global incidence of TSCI was 10.5 cases per 100,000 persons, but the incidence of TSCI varies across countries and regions (1). China is a country with rapid industrial development and frequent traffic flow; this brings more injury-causing factors, and the spinal trauma caused by it increases yearly (10). Therefore, it is necessary to update Chinese TSCI incidence data in real time. However, most existing studies have focused on East China, while there has been a lack of extensive multicenter review of TSCI epidemiology in northwest China in recent years (6, 11-14). The level of economic development in northwest China is far behind that in East and mid-China regions, and their characteristics of injury factors should be different, so its epidemiological data cannot fully refer to the data in the East and mid-China regions.",1.0,case,True
