,sentence,label,data,regex
0,"Case Report For reprint orders, please contact: reprints@futuremedicine.com",1.0,Case,True
1,Rare cutaneous manifestation of COVID-19 infection and Pfizer-BioNTech COVID-19 vaccine with a unique pattern similarity,1.0,COVID-19,True
2,"Anthony Fata*,,1,2 , Georges Jabbour,1,2, Hampig Kourie1,2, Marianne Zoghbi1,2, Elia Kassouf1,2 & Antoine Zoghbi1,2",0.0,,False
3,"1Faculty of Medicine, Saint Joseph University of Beirut, Beirut, Lebanon 2Hotel-Dieu de France Hospital, Beirut, Lebanon *Author for correspondence: Anthony.fata10@gmail.com Anthony Fata and Georges Jabbour are both first authors",0.0,,False
4,"In December 2019, a new emerging virus causing mild-to-severe pneumonia was detected in China. The virus was described as a variant of SARS-CoV and was called SARS-CoV-2, then declared a pandemic by the WHO on 11 March 2020. Millions of people contracted the virus and presented with a symptomatology of variable severity, including upper respiratory tract symptoms, systemic symptoms and diarrhea. We herein report a rare skin presentation in a 33-year-old female that occurred both during COVID-19 infection and after receiving the first dose of COVID-19 vaccine.",1.0,SARS-CoV-2,True
5,First draft submitted: 5 June 2021; Accepted for publication: 6 October 2021; Published online: 19 October 2021,0.0,,False
6,Keywords: COVID-19 � cutaneous � dermatological � lesions � maculopapular � vaccine,1.0,COVID-19,True
7,"Background In December 2019, in the city of Wuhan, severe respiratory infections had been reported and seemed to develop into an acute respiratory distress syndrome (ARDS). Identified in January 2020 and labeled as a pandemic by the WHO in March 2020, the virus became a global health issue and caused a worldwide sanitary crisis [1]. COVID19 is caused by the SARS-CoV-2 virus binding to type 2 alveolar cells in the lung with ACE 2 receptor by a surface spike protein. It can also interact with different cells in the GI tract, kidney, heart and endothelium causing multiorgan failure [2]. The ability of the virus to bind to different cells explains the broad range of symptoms that it can cause. Skin lesions have been reported as a possible symptom of COVID-19. The skin lesions related to this virus consist of five patterns: livedo or necrosis, maculopapular eruptions, urticarial lesions, vesicular eruptions and pseudo-chilblain lesions [3]. Here, we describe the case of a patient with an uncommon pattern of maculopapular eruption during SARS-CoV-2 infection and after receiving COVID-19 vaccine.",1.0,respiratory,True
8,Case report,1.0,Case,True
9,"We present the case of a 33-year-old female patient, working as a nurse in the medicine department. She was admitted to the emergency unit on 15 November 2020 for oppressive chest pain, fever, cough, tachycardia and fatigue. A PCR test was positive on 10 November with a cycle threshold (CT) of 18. The severe symptomatology started 24 h before presenting to the emergency department. She also noted having some chills and generalized fatigue within the previous 72 h. The patient was conscious and oriented in space, time and toward people. Blood pressure on admission was 140/80 mmHg, heart rate was 100 beats/min. Patient respiratory rate was 16 breaths/min and SPO2 was 94% on room oxygen. The patient had fever with a body temperature of 38.8C.",1.0,case,True
10,"The patient does not have any known or documented cardiovascular risk factor: no history of tobacco consumption, dyslipidemia, diabetes or cardiac problems. She is allergic to amoxicillin, with an allergic reaction of a cutaneous rash and angioedema. She also has an intolerance to butylscopolamine, resulting in agitation and irritability. She cannot take metoclopramide as it once resulted in hypotension.",1.0,,True
11,10.2217/fvl-2021-0129 C 2021 Future Medicine Ltd,0.0,,False
12,Future Virol. (Epub ahead of print),0.0,,False
13,ISSN 1746-0794,0.0,,False
14,"Case Report Fata, Jabbour, Kourie, Zoghbi, Kassouf & Zoghbi",1.0,Case,True
15,"Table 1. Results of blood analysis (hematology, biochemistry, immunology), 15 November 2020.",0.0,,False
16,Blood analysis,0.0,,False
17,Results,0.0,,False
18,Normal value,0.0,,False
19,White blood cells,0.0,,False
20,4300/mm3,0.0,,False
21,"4000-10,000/mm3",0.0,,False
22,Red blood cells,0.0,,False
23,5.12 106/mm3,0.0,,False
24,4.3-5.7 106/mm3,0.0,,False
25,Hemoglobin,0.0,,False
26,13.4 g/dl,0.0,,False
27,14-17.5 g/dl,0.0,,False
28,Hematocrit,0.0,,False
29,40.3%,0.0,,False
30,41.5-50.4%,0.0,,False
31,MCV,0.0,,False
