,sentence,label,data,regex
0,GACETA MÉDICA DE MÉXICO,0.0,,False
1,ORIGINAL ARTICLE,0.0,,False
2,Impact on COVID-19 morbidity and mortality according to the regulations on the use of face mask,1.0,COVID-19,True
3,"Marlon E. Saavedra-Delgado,1* Ana Villaseñor-Todd,2 Sandra P. Caicedo-Agudelo,3 David A. Lázaro-Presenda2 and Bernardo Ng-Solís1",0.0,,False
4,"1Asociación Psiquiátrica Mexicana, Mexico City; 2Monterrey Regional Hospital, Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado, Monterrey, Nuevo León; 3Faculty of Medicine, Universidad Nacional Autónoma de México, Mexico City. Mexico",1.0,Social,True
5,Abstract,0.0,,False
6,"Introduction: Currently, the face mask represents an incomparable symbol whose value went from clinical work to impacting the containment of the spread of SARS-CoV-2, although it has become an element of discord in the general population. ­Objective: To establish the impact of face mask use policies on COVID-19 morbidity and mortality. Methods: Face mask use policy variables, obtained from the website of the #Masks4All scientific movement, were associated with the number of infections, deaths and flattening of the curve published by the Johns Hopkins University resource center and EndCoronavirus.org. Results: Face mask use policies were universal (required in shops, restaurants, public transport), partial (recommended, required in any public place) and absent. Associations of the face mask use policy with total cases (p ,"" 0.01), cases per million (p "", 0.04) and deaths per million population (p , 0.02) were statistically significant. Associations of the variables with the epidemiological curve trend were also statistically significant (p , 0.00). Conclusion: The recommendation for face mask widespread use is a measure with sufficient scientific support to reduce the number of COVID-19-related infections and deaths.",1.0,mask,True
7,KEY WORDS: COVID-19. SARS-CoV-2. Face mask. Morbidity. Mortality.,1.0,COVID-19,True
8,Impacto en la morbimortalidad por COVID-19 según las regulaciones del uso de mascarilla,1.0,COVID-19,True
9,Resumen,0.0,,False
