,sentence,label,data,regex
0,International Journal of Public Health,0.0,,False
1,ORIGINAL ARTICLE published: 17 June 2022 doi: 10.3389/ijph.2022.1604553,0.0,,False
2,"Edited by: Olaf von dem Knesebeck, University Medical Center Hamburg-Eppendorf, Germany",0.0,,False
3,"Reviewed by: Bijit Biswas,",0.0,,False
4,"India Institute of Medical Sciences Gorakhpur, India",0.0,,False
5,*Correspondence: Roberto Mediavilla,0.0,,False
6,roberto.mediavilla@uam.es,0.0,,False
7,"This Original Article is part of the IJPH Special Issue ""The Impact of the COVID-19 Pandemic on Mental Health""",1.0,COVID-19,True
8,Received: 26 October 2021 Accepted: 31 May 2022 Published: 17 June 2022,0.0,,False
9,"Citation: Mediavilla R, Fernández-Jiménez E,",0.0,,False
10,"Martinez-Morata I, Jaramillo F, Andreo-Jover J, Morán-Sánchez I, Mascayano F, Moreno-Küstner B, Minué S, Ayuso-Mateos JL, Bryant RA, Bravo-Ortiz M-F and Martínez-Alés G (2022) Sustained Negative Mental Health Outcomes Among Healthcare Workers Over the First Year of the COVID-19 Pandemic: A Prospective",1.0,Negative,True
11,Cohort Study. Int J Public Health 67:1604553. doi: 10.3389/ijph.2022.1604553,0.0,,False
12,Sustained Negative Mental Health Outcomes Among Healthcare Workers Over the First Year of the COVID-19 Pandemic: A Prospective Cohort Study,1.0,Negative,True
13,"Roberto Mediavilla 1,2,3*, Eduardo Fernández-Jiménez 3,4, Irene Martinez-Morata 5,6, Fabiola Jaramillo 7,8, Jorge Andreo-Jover 1,3, Inés Morán-Sánchez 6, Franco Mascayano 5,9, Berta Moreno-Küstner 10,11, Sergio Minué 7, José Luis Ayuso-Mateos 1,2,12, Richard A. Bryant 13, María-Fe Bravo-Ortiz 1,2,3,4 and Gonzalo Martínez-Alés 3,5",0.0,,False
14,"1Department of Psychiatry, Universidad Autónoma de Madrid (UAM), Madrid, Spain, 2Centro de Investigación Biomédica en Red de Salud Mental (CIBERSAM), Madrid, Spain, 3University Hospital La Paz Research Institute (IdiPAZ), Madrid, Spain, 4University Hospital La Paz, La Paz, Spain, 5Mailman School of Public Health, Columbia University, New York City, NY, United States, 6Murcia BioHealth Research Institute, University of Murcia, Murcia, Spain, 7Andalusian School of Public Health, Granada, Spain, 8University of Chile, Santiago, Chile, 9New York State Psychiatric Institute (NYSPI), New York City, NY, United States, 10Department of Personality, Assessment, and Psychological Treatment, University of Malaga, Málaga, Spain, 11Instituto de Investigaciones Biomédicas de Málaga, Universidad de Málaga, Málaga, Spain, 12Fundación Biomédica, Hospital de La Princesa, Madrid, Spain, 13School of Psychology, University of New South Wales, Kensington, NSW, Australia",1.0,Personal,True
15,Objective: To characterize the evolution of healthcare workers' mental health status over the 1-year period following the initial COVID-19 pandemic outbreak and to examine baseline characteristics associated with resolution or persistence of mental health problems over time.,1.0,COVID-19,True
16,"Methods: We conducted an 8-month follow-up cohort study. Eligible participants were healthcare workers working in Spain. Baseline data were collected during the initial pandemic outbreak. Survey-based self-reported measures included COVID-19-related exposures, sociodemographic characteristics, and three mental health outcomes (psychological distress, depression symptoms, and posttraumatic stress disorder symptoms). We examined three longitudinal trajectories in mental health outcomes between baseline and follow-up assessments (namely asymptomatic/stable, recovering, and persistently symptomatic/worsening).",1.0,pandemic,True
17,"Results: We recruited 1,807 participants. Between baseline and follow-up assessments, the proportion of respondents screening positive for psychological distress and probable depression decreased, respectively, from 74% to 56% and from 28% to 21%. Two-thirds remained asymptomatic/stable in terms of depression symptoms and 56% remained symptomatic or worsened over time in terms of psychological distress.",1.0,positive,True
18,Conclusion: Poor mental health outcomes among healthcare workers persisted over time. Occupational programs and mental health strategies should be put in place.,0.0,,False
19,"Keywords: anxiety, mental health, healthcare workers, COVID-19, depression, prospective cohort",1.0,COVID-19,True
20,Int J Public Health | Owned by SSPH+ | Published by Frontiers,0.0,,False
21,1,0.0,,False
22,June 2022 | Volume 67 | Article 1604553,0.0,,False
23,Mediavilla et al.,0.0,,False
24,COVID-19 Impact on Healthcare Workers,1.0,COVID-19,True
25,INTRODUCTION,0.0,,False
26,"The COVID-19 pandemic outbreak has had substantial mental health impact on healthcare workers (HCWs), largely due to increases in healthcare capacity requirements driving job redeployments and extended working hours in combination with very high risk of contagion and death. Estimates from cross-sectional studies conducted during the initial pandemic outbreak suggest that between 25% and 50% of HCWs may have experienced clinically significant symptoms of anxiety or depression [1-7] and posttraumatic stress [1, 3, 7].",1.0,COVID-19,True
27,"The extent to which the deleterious mental health effects brought about by the initial pandemic outbreak may have subsequently led to negative mid- and long-term mental health outcomes among HCWs, however, remains largely unexplored--despite important public health and clinical implications [8]. For instance, whether mental health support interventions for HCWs should be maintained in the long-term following the initial pandemic outbreak remains unexplored. Initially, it seemed plausible that a large proportion of the burden of mental health symptoms initially reported by HCWs would eventually resolve, either following cessation of exposure to the acute stressor or after adequate targeted interventions (e.g., self-care and low-intensity psychotherapeutic interventions). Nevertheless, because the initial pandemic outbreak has been followed by a series of ongoing subsequent pandemic waves that continue to strain health systems across the globe, there is a generalized concern that a substantial proportion of HCWs may be experiencing persistent mental health problems. According to the World Health Organization, reducing the long-term mental health impact of the pandemic on HCWs is considered a major clinical and public health priority. Estimating the mid- and long-term mental health impact of the COVID-19 pandemic among HCWs is paramount for occupational and mental healthcare planning purposes. In addition, identifying risk and protective factors for persistence of clinically significant mental health burden can help improve implementation of evidence-based detection and treatment strategies. For example, risk and protective factors can guide early identification and targetting of at-risk individuals for more efficient treatment resource allocation. Notwithstanding, evidence examining prevalence and predictors of persistence of mental health symptoms among HCWs from longitudinal cohort studies is scarce [9-12].",1.0,pandemic,True
28,"Here we used a large sample of HCWs during the 1-year period following the initial pandemic outbreak in one of the largest COVID-19 hotspots globally to [1] characterize the evolution of HCWs' mental health status over the year following the initial pandemic outbreak, and [2] examine baseline sociodemographic and clinical characteristics associated with resolution or persistence of mental health problems over time.",1.0,pandemic,True
29,METHODS,0.0,,False
30,"Study Design, Setting, and Participants",0.0,,False
31,We conducted a prospective cohort study in Spain as part of an ongoing longitudinal multi-national study [13] (https://,0.0,,False
32,"mentalnet.cl/en/home/). We collected data through an online survey at two timepoints. Baseline assessments were performed from 24th April to 22nd June 2020 (during the initial pandemic outbreak in Spain). Follow-up assessments took place between 26th January and 8th March 2021, which in Spain coincided with the third pandemic wave and with administration of COVID-19 vaccines for the majority of HCWs.",1.0,pandemic,True
33,"The study participants were HCWs aged 18 years and older, recruited from different outpatient and inpatient healthcare facilities, with clinical and non-clinical duties, and not necessarily involved in the direct care of COVID-19 patients. Participation was voluntary. The snowball sampling strategy was as follows. During both the baseline and follow-up assessments, key stakeholders (e.g., hospital managers, heads of worker unions) from healthcare facilities located in the study regions (Andalusia, Madrid, and Murcia) forwarded the survey link to all HCWs. Participants were also asked to forward the survey to peers in order to enhance response rates. In addition, during the follow-up period, we sent email or telephone survey reminders to baseline participants. Participants' personal and clinical data remained stored in separate datasets (e.g., pseudonymized), following European General Data Protection Regulation Standards. Baseline assessments are described elsewhere [14]. In this manuscript, we focus on participants who were assessed at follow-up only and on participants assessed at follow-up who had been assessed also during baseline procedures. We hereafter refer to these two subgroups as partial and full respondents, respectively.",1.0,clinical,True
34,"All procedures contributing to this work comply with the Helsinki Declaration of 1975, as revised in 2013. It received approval from the Hospital La Paz Ethics Committee in Madrid (Madrid, Spain), study ID 4099, and was ratified by the local ethics committees from the participating sites.",0.0,,False
35,Variables,0.0,,False
36,"Baseline assessments included the following COVID-19-related exposures: direct involvement in the care of COVID-19 patients (yes, no), adequate access to personal protective equipment, fear of getting infected, and fear of infecting loved ones (all rated from 0 to 3).",1.0,COVID-19,True
37,Both baseline and follow-up assessments included the following sociodemographic and mental health outcome variables.,0.0,,False
38,"Sociodemographic variables: Age in years, gender (male, female), educational level (primary, secondary, or university studies), and type of job. We collapsed job types into the following categories: physicians, nurses, health technicians (e.g., nurse, X-ray, and laboratory technicians), ancillary workers (e.g., security staff, drivers, administrative staff, and cleaning staff), other HCWs (e.g., clinical psychologists, physiotherapists, and biologists), and residential support workers (e.g., from mental health assisted living facilities, nursing homes).",1.0,clinical,True
39,"Mental health outcomes: Psychological stress, as measured by the validated Spanish version of the 12-item General Health Questionnaire (GHQ-12) [15]; and probable depression symptoms, as measured by the validated Spanish version of",1.0,Spanish,True
40,Int J Public Health | Owned by SSPH+ | Published by Frontiers,0.0,,False
41,2,0.0,,False
42,June 2022 | Volume 67 | Article 1604553,0.0,,False
43,Mediavilla et al.,0.0,,False
44,COVID-19 Impact on Healthcare Workers,1.0,COVID-19,True
45,"the 9-item Patient Health Questionnaire (PHQ-9) [16]. We used widely accepted thresholds for detecting people screening positive for psychological distress (GHQ-12 higher than 2 points) [17, 18] and for depression (PHQ-9 score higher than 9 points) [19]. In addition, follow-up assessments also included posttraumatic stress disorder (PTSD) symptoms, as measured by the Spanish 5-item version of the Primary Care PTSD Screen for DSM-5 (PCPTSD-5), where a total score higher than 2 points suggests probable PTSD [20]. The scale has been translated, but not validated in Spain.",1.0,positive,True
46,"Cronbach's alphas were 0.87 (95 percent CI: 0.86, 0.88) for the GHQ-12 total score; 0.89 (95 percent CI: 0.88, 0.89) for the PHQ9 total score; and 0.70 (95 percent CI: 0.68, 0.72) for the PCPTSD-5. To control for region-level cumulative COVID-19 incidence, we calculated region-specific 14-day cumulative incidence rates 2, 4, 6, and 8 weeks after the start of the follow-up period and, as rates were stable over time, classified regions as ""high"" or ""low"" incidence depending on whether average cumulative incidence over time points fell under or over 750 cases per 100,000 based on visual examination of region-specific cumulative incidence rates (Supplementary Figures S1, S2).",1.0,COVID-19,True
47,Statistical Analyses,0.0,,False
48,"First, we removed baseline respondents who provided informed consent but did not go on to initiate the survey (n ,"" 95). We reported categorical variables as frequencies and valid percentages, and continuous and interval variables as either mean (standard deviation [SD]), or median (interquartile range [IQR]). Descriptive statistics were calculated separately for full and partial respondents.""",0.0,,False
