,sentence,label,data,regex
0,J PREV MED HYG 2022; 63: E231-E239,0.0,,False
1,OPEN ACCESS,0.0,,False
2,Health Promotion,0.0,,False
3,Oral Hygiene practices and Oral Health Related Quality of Life observed in patients reporting to Dental Institution,0.0,,False
4,in North India during COVID-19 Pandemic,1.0,COVID-19,True
5,"AVIJIT AVASTHI1, TARUN KALRA2, BALJEET SINGH3 1 Department of Public Health Dentistry, Bhojia Dental College & Hospital, (H.P.), India;",0.0,,False
6,"2 Department of Prosthodontics), Bhojia Dental College & Hospital, (H.P.), India; 3 Department of Periodontology & Implantology), Bhojia Dental College & Hospital, (H.P.), India",0.0,,False
7,Keywords,0.0,,False
8,Oral Health · Quality of Life · COVID-19,1.0,COVID-19,True
9,Summary,0.0,,False
10,"Objective. The purpose of the study was to ascertain Oral Health Related Quality of Life (OHRQOL) and evaluate oralhygiene practices in patients visiting a dental institution during COVID-19 time. Materials and methods. Face-to face interviews were conducted using a semi-structured close-ended questionnaire,assessing oral hygiene practices and self-reported oral problems perceived in last 6 months, using both Hindi and English version of Oral Health Impact Profile (OHIP-14) Questionnaire. Frequency distribution of oral hygiene practices were obtained, and Descriptive statistics computed the scores of OHIP-14. Kruskal-wallis test and Independent t-test were used to match the association of OHIP-14 with demographic variables. Multiple linear regression",1.0,COVID-19,True
11,"analysis was utilized to compute the association of OHIP-14 with independent variables, age and gender. Results. Subjective evaluation of OHRQOL (Oral Health Related Quality of Life) using OHIP-14 Porforma resulted in high score for physical pain and psychological discomfort but subjects expressed less discomfort in connection to functional limitation, physical disability, psychological discomfort, social disability and handicap domains of OHIP-14. With progressive increase in age OHRQOL worsened. Females had poor OHRQOL, with significant difference as compared to males. Gender and marital status observed variance in OHIP-14 with statistically significant difference (P <0.000). Conclusion. More than two-third subjects preferred cleaning their teeth using toothbrush and toothpaste. Therefore, COVID-",1.0,social,True
12,19 consequently impacted OHRQOL of the general population.,0.0,,False
13,Introduction,0.0,,False
14,"Coronavirus disease (COVID-19) constituted unparalleled challenge to the humanity. WHO asserted COVID-19 as a public health emergency of international concern on 30th January 2020 and on 11th March 2020 it was announced pandemic. The pandemic has left an ineradicable mark impacting people's life physically, mentally, socially and economically [1]. To break the chain of transmission people were commanded to stay at home by dictating a countrywide lockdown on 24th March 2020 which lasted for more than 8 weeks [2]. The lockdown prohibited people from moving out of their dwellings. Work from home culture was adopted and nearly all educational institutions were closed. Few reports dawned on ramifications of COVID-19 on oral health [3]. The fright of succumbing to COVID-19 heightened during pandemic and as a result many people might have delayed their routine dental care. The medications and therapies used for treating coronavirus disease might have affected oral health resulting in xerostomia, stomatitis and mouth ulcers because of impaired immune system [3]. Since COVID-19 restricted physical movement this evolved in accumulation of dental problems for instance dental sensitivity, pain, bleeding from gums, onset of oral ulcers, salty sensation in mouth, oral malador, need for restoration, need of",1.0,Coronavirus,True
15,"artificial prosthesis and need for removal of teeth [4]. Those affected with COVID-19 could be at danger of contracting oral lesions such as white-hairy tongue, necrotic lesions, reddish macules and haemorrhagic ulcerations. Further poor compromised oral hygiene may cause aspiration of bacteria in oral cavity leading in inflammation of respiratory tract [5]. The earlier notion of Health defined by WHO `Health being a state of complete physical, mental and social well being and not merely absence of disease or infirmity' [6] has changed over the course of time, now health is intermingledwith general health and people's quality of life (QOL) [7]. Now a robust approach has been conceived called Oral Health Related Quality of Life (OHRQOL) that estimates accordingly oral conditions influencing individual's attitude and social functioning [6]. US Department of Health and Human Services defines OHRQOL as a multidimensional constructwhich ponders upon people's comfort when eating, sleeping and engaging in social interaction; their pride; and their contentment with respect to their oral health. OHRQOL also deals with functional factors, psychological factors, social factors, and experience of pain [8, 9] Dental disturbances profoundly influence our social quality of life affecting mentally, emotionally and physically [1013] An estimated 3.5 billion people are believed to be disturbed due to oral disease. Untreated",1.0,COVID-19,True
16,https://doi.org/10.15167/2421-4248/jpmh2022.63.2.2147,0.0,,False
17,E231,0.0,,False
18,A. AVASTHI ET AL.,0.0,,False
19,"Tab. I. Distribution of Oral Hygiene Practices of OPD participants from North India (N , 391).",0.0,,False
20,Type of Aid Used,0.0,,False
21,N (%),0.0,,False
22,Toothbrush,0.0,,False
23,361 (92.3%),0.0,,False
24,Finger,0.0,,False
25,17 (4.4%),0.0,,False
26,Treestick,0.0,,False
27,11 (2.8%),0.0,,False
28,Interdental Brush,0.0,,False
29,2 (0.5%),0.0,,False
30,Type of Material Used,0.0,,False
31,Toothpaste,0.0,,False
32,373 (95.4%),0.0,,False
33,Toothpowder,0.0,,False
34,18 (4.6%),0.0,,False
35,Type of Toothpaste Used,0.0,,False
36,Fluoridated,1.0,Flu,True
37,14 (3.6%),0.0,,False
38,Non- Fluoridated,1.0,Flu,True
39,1 (0.3%),0.0,,False
40,Donot know,0.0,,False
41,376 (96.1%),0.0,,False
42,Material Used for Tongue Cleaning,0.0,,False
43,Tongue Cleaner,0.0,,False
44,257 (65.7%),0.0,,False
45,Toothbrush,0.0,,False
46,93 (23.8%),0.0,,False
47,Finger,0.0,,False
48,9 (2.3%),0.0,,False
49,Do not Clean,0.0,,False
50,32 (8.2%),0.0,,False
51,Tongue Cleaning Duration,0.0,,False
52,Daily,0.0,,False
