,sentence,label,data,regex
0,Huang et al. BMC Psychiatry (2021) 21:530 https://doi.org/10.1186/s12888-021-03546-y,0.0,,False
1,RESEARCH,0.0,,False
2,Open Access,0.0,,False
3,The impacts of coping style and perceived social support on the mental health of undergraduate students during the early phases of the COVID-19 pandemic in China: a multicenter survey,1.0,social,True
4,"Yiman Huang1, Xiaoyou Su1* , Mingyu Si1, Weijun Xiao1, Hao Wang1, Wenjun Wang2, Xiaofen Gu3, Li Ma4, Jing Li5, Shaokai Zhang6, Zefang Ren7 and Youlin Qiao8",0.0,,False
5,Abstract,0.0,,False
6,"Background: An increasing number of undergraduate students in China have been reported to have psychological problems. In response to the COVID-19 pandemic, a series of preventive and control measures were implemented, which undoubtedly worsened their psychological health. Coping style and social support were probably important factors that affected the psychological well-being of undergraduate students during the pandemic. This study aimed to explore the effects of coping style and perceived social support on the psychological well-being of college students and relevant risk factors.",1.0,COVID-19,True
7,"Methods: This cross-sectional study was performed in February and March of 2020 by distributing an online questionnaire among undergraduate students from seven geographical regions across China. The questionnaire included sociodemographic information; the 21-item Depression, Anxiety and Stress Scale (DASS-21); the Perceived Social Support Scale (PSSS); and the Simplified Coping Style Questionnaire (SCSQ). For the analyses, t-tests, one-way analysis of variance (ANOVA), the Kruskal-Wallis test and multiple linear regression were utilized. The level of significance was set at P < 0.05.",1.0,Social,True
8,"Results: Among 3113 college students, the rates of anxiety, depression and stress symptoms were 13.3, 15.4 and 6.8%, respectively. Increased rates of current smoking and drinking (5.5 and 25.2%, respectively) among undergraduates were identified. The results indicated that the PSSS subscales and SCSQ subscales were significantly associated with DASS-21 scores (P < 0.001). Multiple linear regression analysis showed that active coping style and family support were protective factors while passive coping style could aggravate psychological problems among participants (P < 0.001).",1.0,protective,True
9,"* Correspondence: suxiaoyou@hotmail.com 1School of Population Medicine and Public Health, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China Full list of author information is available at the end of the article",1.0,,True
10,"© The Author(s). 2021 Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",0.0,,False
11,Huang et al. BMC Psychiatry (2021) 21:530,0.0,,False
12,Page 2 of 12,0.0,,False
13,"Conclusions: A remarkable number of college students adopted passive coping strategies to cope with negative feelings, such as smoking and drinking, which were detrimental to their mental health. In contrast, active coping strategies helped improve their psychological well-being. Moreover, family support was particularly important for maintaining their mental health and ameliorating mental health challenges in this major health crisis. Consequently, suitable psychointervention, routine screening for risk behaviors, and provision of further social support are needed for undergraduate students in the COVID-19 pandemic or other emergency public health events.",1.0,negative,True
14,"Keywords: Coping style, Social support, Undergraduate students, Mental health, COVID-19",1.0,Social,True
