,sentence,label,data,regex
0,Zhou et al. BMC Psychiatry (2022) 22:328 https://doi.org/10.1186/s12888-022-03976-2,0.0,,False
1,RESEARCH,0.0,,False
2,Open Access,0.0,,False
3,The relationship between online courses and mental health among Chinese children,0.0,,False
4,"Shuang Zhou1, ChuYao Jin1, Jing Guo2, Zheng Liu1, Qiang Feng1,3, Jia Wang4, XiangRong Xu4, Shi Wang1, ZhongShang Wan1, Carsten Obel5, Hui Liu6* and HaiJun Wang1*",0.0,,False
5,Abstract,0.0,,False
6,"Background: Previous studies on the association of online courses and mental health were mainly conducted in uni versities, and no study investigated the relationship between characteristics of online courses and children's mental health in primary and secondary school. This study aimed to explore the association of online courses and children's mental health in primary and secondary school.",0.0,,False
7,"Methods: A cross-sectional study was conducted through an online survey among 540 primary and secondary school students and their parents in the eastern, central and western region of China from April to May in 2020. Children's mental health was assessed by the Strengths and Difficulties Questionnaire (SDQ). Borderline mental health problems (SDQ total difficulties score16) and mental health problems (SDQ total difficulties score20) were defined according to Goodman's standard. Multivariable linear and logistic regression models were used to examine the association between online courses and children's mental health.",1.0,,True
8,"Results: Compared with those who did not have problems of online courses, children having the difficulty in under standing the content of online courses had a higher SDQ total difficulties score [,""1.80, 95% confidence interval (CI): 0.89, 2.71] and a higher risk of borderline mental health problems [odds ratio (OR)"",""1.93, 95%CI: 1.07, 3.49], while device or internet connection problems were not significantly associated with children's mental health. Compared with children who had live courses, those having video-recorded courses had a higher SDQ total difficulties score ("",""0.90, 95%CI: 0.01, 1.80). Children who spent more than 4 h on online courses had a higher SDQ total difficulties score than those of less than or equal to 4 h ("",""0.95, 95%CI: 0.09, 1.81).""",1.0,,True
9,Conclusion: We found that online courses with inappropriate characteristics were associated with children's mental health. The findings called for the efforts to optimize the online courses and improve children's mental health.,0.0,,False
10,"Keywords: Online course, Mental health, Children",0.0,,False
11,Background Mental health of children and adolescents is an important public health issue. About 10-20% of 6-18-yearold children and adolescents were suffering from,0.0,,False
12,"*Correspondence: ymauil@bjmu.edu.cn; whjun@pku.edu.cn 1 Department of Maternal and Child Health, School of Public Health, Peking University, No.38 Xueyuan Rd, Haidian District, Beijing 100191, China 6 Medical Informatics Center, Peking University, No.38 Xueyuan Rd, Haidian District, Beijing 100191, China Full list of author information is available at the end of the article",1.0,,True
13,mental health problems around the world [1]. World Health Organization (WHO) estimated that childhood mental health was responsible for 16% of global burden of disease and injury among children and adolescents aged 10-19 years [2]. Many mental health problems begin in childhood and then continue into adulthood [3]. Children with mental health problems were more likely to have poor performance at school [4] and develop communicable and non-communicable diseases [5]. Evidence showed that early interventions,1.0,disease,True
14,"© The Author(s) 2022. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativeco mmons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",0.0,,False
15,Zhou et al. BMC Psychiatry (2022) 22:328,0.0,,False
16,Page 2 of 11,0.0,,False
17,"for mental health problems could have long-term benefit for children and adolescents [6]. Therefore, it is of great importance to study the modifiable risk factors associated with mental health problems of children as early as possible.",1.0,,True
18,"Previous studies on the risk factors of mental health have mainly focused on individual characteristics and environment in the society, family, and school, with few investigating the effect of online courses. Online courses are one of the important education methods nowadays. Many universities around the world have implemented online courses for many years, and more and more children in primary and secondary school have also received online courses due to Coronavirus disease 2019 (COVID-19). Although online courses provide more flexibilities in terms of place, time, and pace of learning, children may also face a lot of challenges which may affect children's mental health, such as unstable internet connection, lack of device, difficulties in catching up with online courses, and distraction in learning through a computer for a long time [7]. In this context, online courses could affect children's mental health. Previous studies suggested that online courses have a detrimental effect on mental health of students in the university [8-14]. However, there is no available epidemiological evidence regarding the effect of online courses on mental health of primary and secondary school students, who might be more vulnerable to the adverse effect of online courses.",1.0,Coronavirus,True
19,"Moreover, there is another gap in understanding the association of online courses and children's mental health. Identifying beneficial and harmful characteristics of online courses could help to improve online courses and facilitate children's mental health. However, previous studies in universities mainly focused on whether online students had mental health problems, and the relationship between characteristics of online courses (i.e., content, type, and time of online courses) and children's mental health remained unclear.",1.0,,True
20,"Meanwhile, the association between online courses and mental health of children may depend on other influencing factor, such children's school stage (primary school or secondary school). Therefore, assessment of effect modification is also necessary to better understand the relationship between online courses and children's mental health.",1.0,flu,True
21,The aim of the current study was to assess the association of characteristics of online courses with mental health of children in primary and secondary school. We also explored potential effect modification by school stage.,0.0,,False
22,Methods,0.0,,False
23,"Study design and participants The cross-sectional study was conducted among primary and secondary school students and their parents from April to May in 2020 by an electronic survey based on the Wenjuanxing platform (https://www.wjx.cn/ app/survey.aspx), during the pandemic of COVID-19 in China. Students were selected in 9 cities of the eastern (Beijing, Shijiazhuang in Hebei Province and Dalian in Liaoning Province), central (Zhengzhou in Henan Province, Changchun in Jilin Province and Changzhi in Shanxi Province) and western region (Zhongwei in Ningxia Province, Tongliao in Inner Mongolia and Nanning in Guangxi Province) of China, according to the recommend of National Bureau of Statistics of China (http://www.stats.gov.cn/tjsj/zxfb/201911/t2019 1119_1710340.html). The inclusion criteria were as follows: Firstly, children were chosen from the fifth to sixth grade in primary school or first to second grade in secondary school. Secondly, children whose schools were not reopened due to lockdown policy of COVID19. Thirdly, children and their parents agreed to participate in the survey. If children reported to have chronic diseases or disability, they were excluded. Finally, 540 children and their parents were included in our study. The electronic questionnaires were completed anonymously. The 515 questionnaires were included in the analysis after excluding 25 students who didn't have online courses.",1.0,pandemic,True
24,"We calculated the sample size according to a previous study in China [15], in which longer screen time (>2 h/ day) was associated with 1.93 (95%CI: 1.16, 3.21) times higher risk of students' mental health problem in China. Because students had online courses by using electronic device (i.e., computer, pad, or smart phone), we assumed that longer online course time (>4 h/day, about 7 classes with 35 min/class, or 6 classes with 40 min/class) could have a similar effect on children' mental health. By assuming that children with inappropriate characteristics of online course had 1.93 (95%CI: 1.16, 3.21) times higher risk of students' mental health problem, the prevalence of mental health problem was about 20% in the whole population [1], ,""0.05, and 1-"",""0.80, we calculated the sample size of 380. We assumed the non-response rate was 5%, and the final sample size was 399. We included 515 participants in final analysis, therefore, the sample size was sufficient to detect the differences. The exact nonresponse rate was not clear, because the survey was an online voluntary investigation. However, most children's parents did not go to work and had much spare time during the survey period. Besides, the survey reached the required sample size quickly. Therefore, we thought the non-response rate was very low.""",1.0,,True
25,Zhou et al. BMC Psychiatry (2022) 22:328,0.0,,False
26,Page 3 of 11,0.0,,False
