,sentence,label,data,regex
0,Clinica Chimica Acta 537 (2022) 140-145 Contents lists available at ScienceDirect,0.0,,False
1,Clinica Chimica Acta,0.0,,False
2,journal homepage: www.elsevier.com/locate/cca,0.0,,False
3,Surfactant protein D (SP-D) as a biomarker of SARS-CoV-2 infection,1.0,SARS-CoV-2,True
4,"Lucia Salvioni a, Filippo Testa a, Adela Sulejmani b, Francesca Pepe b, Pietro Giorgio Lovaglio d, Paolo Berta d, Roberto Dominici c, Valerio Leoni b,c, Davide Prosperi a, Giorgio Vittadini d, Miriam Colombo a,*, Luisa Fiandra a,*",0.0,,False
5,"a Department of Biotechnology and Biosciences, University of Milano-Bicocca, P.zza della Scienza 2, 20126 Milan, Italy b Department of Medicine and Surgery, University of Milano Bicocca, via Cadore 48, 20900 Monza, Italy c Laboratory of Clinical Biochemistry, Ospedale Pio XI of Desio, ASST-Brianza, via Mazzini 1, 20833 Desio, Italy d Department of Statistics and Quantitative Methods, University of Milano-Bicocca, University of Milano-Bicocca, Via Bicocca degli Arcimboldi 8, 20126 Milan, Italy",1.0,Clinical,True
6,ARTICLE INFO,0.0,,False
7,Keywords: COVID-19 Mortality SARS-CoV-2 infection Surfactant protein-D (SP-D),1.0,COVID-19,True
8,ABSTRACT,0.0,,False
9,"Background: Surfactant protein-D (SP-D) is a lung-resident protein that has emerged as a potential biomarker for COVID-19. Previous investigations on acute respiratory distress syndrome patients demonstrated a significant increment of SP-D serum levels in pathological conditions. Since SP-D is not physiologically permeable to alveolicapillary membrane and poorly expressed by other tissues, this enhancement is likely due to an impairment of the pulmonary barrier caused by prolonged inflammation. Methods: A retrospective study on a relatively large cohort of patients of Hospital Pio XI of Desio was conducted to assess differences of the hematic SP-D concentrations among COVID-19 patients and healthy donors and if SPD levels resulted a risk factor for disease severity and mortality. Results: The first analysis, using an ANOVA-model, showed a significant difference in the mean of log SP-D levels between COVID-19 patients and healthy donors. Significant variations were also found between dead vs survived patients. Results confirm that SP-D concentrations were significantly higher for both hospitalized COVID-19 and dead patients, with threshold values of 150 and 250 ng/mL, respectively. Further analysis conducted with Lo­ gistic Mixed models, highlighted that higher SP-D levels at admission and increasing differences among follow-up and admission values resulted the strongest significant risk factors of mortality (model predictive accuracy, AUC ,"" 0.844). Conclusions: The results indicate that SP-D can be a predictive marker of COVID-19 disease and its outcome. Considering its prognostic value in terms of mortality, the early detection of SP-D levels and its follow-up in hospitalized patients should be considered to direct the therapeutic intervention.""",1.0,COVID-19,True
10,1. Introduction,0.0,,False
11,"On July 2022 the number of confirmed coronavirus disease 2019 (COVID-19) cases, caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), exceeds 565 million [1] and still increases. In COVID-19 patients, the identification of valid biomarkers able to predict patient prognosis is still a main challenge.",1.0,coronavirus,True
12,"To identify specific markers for pulmonary diseases, the surfactant protein D (SP-D) was broadly investigated [2]. SP-D is a low abundant (0.6 %) hydrophilic protein strongly involved in lung homeostasis through two specific functions: 1) SP-D is able to bind highly conserved glycosidic residues exposed on pathogens surface triggering their clearance by agglutination and/or opsonization; 2) SP-D directly",1.0,disease,True
13,"modulates the activity of lung resident immune cells: under physiolog­ ical conditions, it has an anti-inflammatory effect, whereas under several specific stimuli (e.g., pathogens infection) it promotes inflam­ mation [2-4]. SP-D has long been used as a diagnostic and/or prognostic biomarker for interstitial lung diseases (ILDs) [5-7] and acute respira­ tory distress syndrome (ARDS) [8,9]. In particular, an enhancement of serum levels of SP-D was observed in these pathologic conditions [2]. Given the extremely low permeability of SP-D to alveoli-capillary membrane and its poor expression in extrapulmonary tissues, the pre­ viously mentioned effect is generally attributed to an impairment of the pulmonary barrier caused by prolonged inflammation [2,10,11]. COVID-19 pandemic of the last two years led to an intensification of the research activity aimed to correlate pulmonary surfactant proteins with",1.0,disease,True
14,"* Corresponding authors. E-mail addresses: miriam.colombo@unimib.it (M. Colombo), luisa.fiandra@unimib.it (L. Fiandra).",0.0,,False
15,https://doi.org/10.1016/j.cca.2022.10.013 Received 5 August 2022; Received in revised form 11 October 2022; Accepted 16 October 2022 Available online 29 October 2022 0009-8981/© 2022 Elsevier B.V. All rights reserved.,0.0,,False
16,L. Salvioni et al.,0.0,,False
17,Clinica Chimica Acta 537 (2022) 140-145,0.0,,False
18,"the clinical manifestations of the virus and, in this context, several studies indicated SP-D as a prognostic biomarker of COVID-19 pneu­ monia severity. A retrospective study on 39 laboratory-confirmed COVID-19 cases from The Fourth Hospital of Yiyang, Hunan China (between February and March 2020) demonstrated that in the acute phase, the circulating SP-D levels were higher in patients with severe COVID-19 pneumonia compared to mild patients, suggesting that the serum SP-D was strictly correlated to the disease severity [12].",1.0,clinical,True
19,"Another study aimed to investigate whether the serum level of SP-D could stratify the disease severity at an early stage, was performed on a small cohort of COVID-19 patients from Sapporo Medical University Hospital (46 between March and April 2020) demonstrated that SP-D levels increased with the aggravation of symptoms and disease severity, as indicated by radiological evidence [13].",1.0,disease,True
20,"A more recent study on 64 COVID-19 confirmed patients (between September 2020 and February 2021) versus patients diagnosed with community-acquired pneumonia and healthy controls, suggested that SP-D could be a predictive factor in differentiating COVID-19 patients and it also associates with the severity of disease compared to patients diagnosed with community-acquired pneumonia and healthy controls [14].",1.0,COVID-19,True
21,"Here is reported a retrospective study on the patients admitted at Hospital Pio XI of Desio from November 2020 to January 2021 and correlates the levels of SP-D in hospitalized COVID-19 confirmed pa­ tients to the grade of severity, mortality and other clinical parameters relevant to the disease evolution and risk factors. We aimed to determine the role of SP-D in discriminating the disease severity and mortality in COVID-19 patients, and also to study how clinical covariates affect SP-D levels, suggesting a specific role of SP-D as a prognostic marker of severity and/or of mortality risk.",1.0,COVID-19,True
22,The obtained results can be crucial to propose the detection of SP-D plasmatic concentration in the first stages of SARS-CoV-2 infection as an important hallmark of disease useful for the definition of personalized protocols in the preventive treatment of these patients.,1.0,SARS-CoV-2,True
23,2. Patients and methods,0.0,,False
24,2.1. Patients,0.0,,False
25,"Peripheral blood samples were obtained from SARS-COV-2 patients admitted from November 2020 up to January 2021 at the Hospital Pio XI of Desio, in the proximity of Milan (Italy). Our study included 226 participants, 147 males and 79 females, divided in three groups, two of them are identified according to COVID-19 severity (Group 1: 79 mild COVID-19 patients; Group 2: 123 severe COVID-19 patients) and one composed by 24 healthy patients (Group 3).",1.0,COVID-19,True
