,sentence,label,data,regex
0,Annals of Diagnostic Pathology 61 (2022) 152057 Contents lists available at ScienceDirect,0.0,,False
1,Annals of Diagnostic Pathology,0.0,,False
2,journal homepage: www.elsevier.com/locate/anndiagpath,0.0,,False
3,The amplification of CNS damage in Alzheimer's disease due to SARS-CoV2 infection,1.0,disease,True
4,"Gerard J. Nuovo a,b,*, David Suster c, Dwitiya Sawant b, Aditi Mishra b, Jean-Jacques Michaille d, Esmerina Tili e",0.0,,False
5,"a Ohio State University Comprehensive Cancer Center, Columbus, OH, USA b GnomeDX, Powell, OH, USA c Rutgers University Hospital Department of Pathology, Newark, NY, USA d Department of Cancer Biology and Genetics, The Ohio State University Wexner Medical Center, College of Medicine, Columbus, OH, USA e Department of Anesthesiology, The Ohio State University Wexner Medical Center, College of Medicine, Columbus, OH, USA",0.0,,False
6,ARTICLE INFO,0.0,,False
7,Keywords: Encephalitis COVID-19 Endothelialitis Spike Protein Microvasculature,1.0,COVID-19,True
8,ABSTRACT,0.0,,False
9,"Pre-existing Alzheimer's disease is a risk factor for severe/fatal COVID-19 and infection by SARS-CoV2 virus has been associated with an increased incidence of un-masked Alzheimer's disease. The molecular basis whereby SARS-CoV2 may amplify Alzheimer's disease is not well understood. This study analyzed the molecular changes in autopsy brain tissues from people with pre-existing dementia who died of COVID-19 (n , 5) which was compared to equivalent tissues of people who died of COVID-19 with no history of dementia (n ,"" 8), Alzheimer's disease pre-COVID-19 (n "", 10) and aged matched controls (n ,"" 10) in a blinded fashion. Immunohistochemistry analyses for hyperphosphorylated tau protein, -synuclein, and -amyloid-42 confirmed the diagnoses of Alz­ heimer's disease (n "","" 4), and Lewy body dementia (n "","" 1) in the COVID-19 group. The brain tissues from patients who died of COVID-19 with no history of dementia showed a diffuse microangiopathy marked by endocytosis of spike subunit S1 and S2 in primarily CD31+ endothelia with strong co-localization with ACE2, Caspase-3, IL6, TNF, and Complement component 6 that was not associated with SARS-CoV2 RNA. Microglial activation marked by increased TMEM119 and MCP1 protein expression closely paralleled the endocytosed spike protein. The COVID-19 tissues from people with no pre-existing dementia showed, compared to controls, 5-10× fold increases in expression of neuronal NOS and NMDAR2 as well as a marked decrease in the expression of proteins whose loss is associated with worsening Alzheimer's disease: MFSD2a, SHIP1, BCL6, BCL10, and BACH1. In COVID-19 tissues from people with dementia the widespread spike-induced microencephalitis with the concomitant microglial activation co-existed in the same areas where neurons had hyperphosphorylated tau protein suggesting that the already dysfunctional neurons were additionally stressed by the SARS-CoV2 induced microangiopathy. ACE2+ human brain endothelial cells treated with high dose (but not vaccine equivalent low dose) spike S1 protein demonstrated each of the molecular changes noted in the in vivo COVID-19 and COVID19/Alzheimer's disease brain tissues. It is concluded that fatal COVID-19 induces a diffuse microencephalitis and microglial activation in the brain due to endocytosis of circulating viral spike protein that amplifies pre-existing dementia in at least two ways: 1) modulates the expression of proteins that may worsen Alzheimer's disease and 2) stresses the already dysfunctional neurons by causing an acute proinflammatory/hypercoagulable/hypoxic microenvironment in areas with abundant hyperphosphorylated tau protein and/or A-42.""",1.0,disease,True
10,1. Introduction,0.0,,False
11,Over one-half billion people have been infected with SARS-CoV2 with nearly 7 million deaths since the pandemic began in Dec 2019. It,1.0,pandemic,True
12,"is now well established that obesity and its related disease type II dia­ betes mellitus are the key risk factors for severe COVID-19 [1,2] and that the brain and heart are highly susceptible to pathologic changes [3-6]. Whereas it was initially assumed that systemic infectious SARS-CoV2",1.0,disease,True
13," The work was supported in part by a grant from the Alzheimer's disease Drug Discovery Foundation #20160204 * Corresponding author at: GNOME DX, 1476 Manning Parkway, Powell, OH 43065, USA.",1.0,disease,True
14,E-mail address: nuovo.1@osu.edu (G.J. Nuovo).,0.0,,False
15,https://doi.org/10.1016/j.anndiagpath.2022.152057,0.0,,False
16,Available online 28 October 2022 1092-9134/© 2022 Elsevier Inc. All rights reserved.,0.0,,False
17,G.J. Nuovo et al.,0.0,,False
18,Annals of Diagnostic Pathology 61 (2022) 152057,0.0,,False
