,sentence,label,data,regex
0,Int Ophthalmol https://doi.org/10.1007/s10792-022-02556-3,0.0,,False
1,ORIGINAL PAPER,0.0,,False
2,Battling the emerging epidemic of rhinoorbitalcerebral mucormycosis (ROCM) in COVID19 pandemic: an interventional study,1.0,epidemic,True
3,Aastha Gandhi · Anurag Narula · Shreya Chandra · Dhwanee Agarwal · Anuj Mehta · Shaktiprada Nayak · Sheetal Arora · Malini R. Capoor,0.0,,False
4,"Received: 4 October 2021 / Accepted: 6 October 2022 © The Author(s), under exclusive licence to Springer Nature B.V. 2022",0.0,,False
5,"Abstract Purpose The most recent challenge being faced by the healthcare system during the worldwide COVID19 pandemic is increase in the incidence rate of coinfection or superinfection; one of the most fatal being mucormycosis. This study aimed to estimate the risk factors, symptoms and signs, treatment outcome and prognosis of COVID-19-associated mucormycosis (CAM) patients. Methods This is an interventional study of 35 patients diagnosed and managed as CAM at a tertiary care centre in New Delhi, India. ResultsThe mean age of patients was 40.45±6 years with a male preponderance. CAM did",1.0,pandemic,True
6,"A. Gandhi (*) · A. Narula · S. Chandra · D. Agarwal · A. Mehta Department of Ophthalmology, Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi 110029, India e-mail: aastha1009@yahoo.co.in",0.0,,False
7,"S. Nayak Department of Radiodiagnosis, Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi, India",0.0,,False
8,"S. Arora Department of Pathology, Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi, India",0.0,,False
9,"M. R. Capoor Department of Microbiology, Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi, India",0.0,,False
10,"not affect healthy individuals; the major risk factors included diabetes in 65.7% and injudicious steroid use in 51.4% patients. Orbital/facial edema was the most common presenting symptom (25.7%) as well as sign (28.57%). 68.5% patients were stage 3 (involvement of orbit) at presentation; 33.3% showed medial wall involvement. Treatment included intravenous Amphotericin and oral Posaconazole in all patients, paranasal sinus (PNS) debridement in 94.2%, orbital exenteration was done in 8 patients. Adjuvant retrobulbar Amphotericin B injection was administered in 12 patients with radiological resolution seen in 50% after 1 cycle. In patients with Stage 4 disease who underwent exenteration along with PNS debridement, survival rate was 100% at 30 days, and disease reduction occurred in 87.5% patients (P<0.01). Overall, 68.5% responded to therapy, 8.5% showed progression and mortality rate was 22.85%, at a mean follow up period of 59.5 days. ConclusionA multidisciplinary and aggressive approach is essential in the management of CAM patients.",1.0,disease,True
11,Keywords COVID-19 · ROCM · CAM,1.0,COVID-19,True
12,Introduction,0.0,,False
13,"Mucormycosis is a rare, opportunistic, life threatening angio- invasive disorder caused by Mucorales fungus species like Rhizopus, Mucor, Rhizomucor,",0.0,,False
14,1 3 Vol.: (0123456789),0.0,,False
15,"Cunninghamella and Absidia [1]. It affects nose, sinus, orbit, central nervous system, gastrointestinal tract, skin, jaw bones, lung, heart and kidneys. Amongst these, ROCM is the most common presentation [2].",0.0,,False
