,sentence,label,data,regex
0,ORIGINAL ARTICLE,0.0,,False
1,Malaysian Journal of Medicine and Health Sciences (eISSN 2636-9346),0.0,,False
2,"Anxiety, Depression and Stress Among Medical Students in Malaysia During COVID-19: A Cross-Sectional Study",1.0,COVID-19,True
3,"Siew Mooi Ching1,2,3,4, Hani Salim1, Kai Wei Lee5, Fadzilah Mohamad1, Irmi Zarina Ismail1, Malissa Syahira Jafri6, Thanesh Balasingam6, Aqilah Sharizal6, Jun Ying Ng6, Ngiap Chuan Tan7,8",0.0,,False
4,"1 Department of Family Medicine, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia",0.0,,False
5,"2 Malaysian Research Institute on Ageing, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia 3 Department of Medical Sciences, School of Medical and Life Sciences, Sunway University, Bandar Sunway, 47500 Selangor,",0.0,,False
6,"Malaysia 4 Centre for Research, Bharath Institute of Higher Education and Research, Selaiyur, Chennai, Tamil Nadu 600126, India 5 Department of Medical Microbiology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, 43400 Serdang,",0.0,,False
7,"Selangor, Malaysia. 6 Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia 7 SingHealth Polyclinics, 01-792, 80 Marine Parade Central, 440080, Singapore 8 SingHealth-Duke NUS Family Medicine Academic Clinical Programme, 21 Lower Kent Ridge Road Singapore 119077,",1.0,Clinical,True
8,Singapore,0.0,,False
9,ABSTRACT,0.0,,False
10,"Introduction: This study aimed to determine the prevalence and factors associated with psychological distress following the COVID-19 pandemic among medical students at one of the public universities in Malaysia. Method: From August to October 2020, a web-based cross-sectional study was conducted among undergraduate medical students at a public university. DASS-21, Brief Resilience Scale and WHOQOL-Bref questionnaires were used in this study. Results: The prevalence of depression was 40.5%, anxiety 46.0% and stress 30.9%. Based on multivariate logistic regression, a higher quality of life score is associated with a lower likelihood of depression (AOR,""0.583, p<0.001), anxiety (AOR"",""0.726, p<0.001), and stress, (AOR"",""0.702, p<0.001) respectively. Likewise, a higher resilience score is less likely to be associated with depression (AOR"",""0.880, p"",""0.002), anxiety (AOR"",""0.880, p"",""0.002), and stress (AOR"",""0.850, p<0.001). Older age (OR"",""0.700, p"",0.020) was associated with less stress and being on campus (OR,""3.436, p"",""0.021) was at risk of stress during the COVID-19 pandemic. Conclusion: Our results suggest that medical students with higher quality of life and resilience scores had less depression, anxiety and stress. Older age was associated with less stress, and during the COVID-19 pandemic, being on campus was at risk of stress. Various stakeholders need to keep these findings in mind and identify those who are at risk for developing depression, anxiety, and stress in order to take further action to improve their quality of life and resilience Malaysian Journal of Medicine and Health Sciences (2023) 19(1):31-39. doi:10.47836/mjmhs19.1.6""",1.0,COVID-19,True
11,"Keywords: Depression, Anxiety, Stress, Medical student, COVID-19",1.0,COVID-19,True
12,"Corresponding Author: Siew Mooi Ching, PhD Email: sm_ching@upm.edu.my Tel: +603-97692538",0.0,,False
13,INTRODUCTION,0.0,,False
14,"The new Coronavirus 2019 (COVID-19) has severely affected our lives (1) and we cannot predict when this pandemic will be fully under control and will pass (2). During this COVID-19 crisis, all educational institutions in Malaysia have been affected and virtual teaching mode, either fully virtual or hybrid, has since become the norm. This abrupt change in teaching has impacted all medical students psychologically (3). The psychological",1.0,Coronavirus,True
15,"impact of the severe lockdown from March 18th to May 12th, 2020 (two months), that were far from normal owing to the fact that effect of COVID-19 pandemic on them are only partially known. Students were banned from all outdoor activities and some stayed far from home in their respective hostels during the lockdown period. A study reported that medical students were affected by depression, anxiety and stress owing to the strain of the restricted movement and the perceived serious threat to their own health (4). This reflects the general perception among Malaysians that efforts to contain the local spread of the COVID-19 infection are limited.",1.0,COVID-19,True
16,"During the COVID-19 pandemic, students may find",1.0,COVID-19,True
17,"Mal J Med Health Sci 19(1): 31-39, Jan 2023",0.0,,False
18,31,0.0,,False
19,Malaysian Journal of Medicine and Health Sciences (eISSN 2636-9346),0.0,,False
20,"it even harder to adjust to additional public health measures, uncertainty about returning to normal living routines, and changes in the way they are currently being taught. There are evidences of high rates of medical students experiencing poor mental health (5, 6). However, the impact may differ due to unequal sociocultural, physical health, and family financial circumstances. Emotional resilience may affect the expression of detrimental mental health symptoms. Therefore, it is important to examine the equity of conditions that comprehensively addresses all potential determinants of poor mental health conditions in medical students during the COVID-19 pandemic.",1.0,COVID-19,True
21,"On an individual level, some adults are more psychologically resilient than others. Therefore, their vulnerability to mental health crises varies (7). Resilience is an indication of positive mental health; where resilience is described as a person's ability to remain healthy and adapt to life's challenges after exposure to an adverse event (8). Resilience relies on functioning, supportive and meaningful social networks and positive attachments (9). Several studies have reported that resilience plays either a mediating or a protective role, cushioning the impact of mental health problems related to the COVID-19 pandemic, including psychological distress and poor quality of life (10-13).",1.0,positive,True
22,"Striving during the COVID-19 pandemic is challenging as the sweeping measures imposed to limit the spread of COVID-19 infection can impact the mental well-being of these medical students. Mental well-being can affect a person's professionalism in the performance of their duty. Cao et al reported a significant prevalence of the psychological effects of COVID-19 among medical students, affecting 24.9% of the 7143 medical students in China (14). As future medical professionals, such adverse effects will affect these students' careers and their ability to provide better medical care to patients. High level of psychological anxiety or stress will also reduce academic performance (15). Symptoms of anxiety and depression are also the main denominators associated with suicidal ideation in medical students (16). With around 15,000 medical students in Malaysia, understanding the prevalence and factors related to their psychological distress, especially amid the current COVID-19 pandemic, is critical to developing responses to mitigate the threats to their mental health and wellbeing.",1.0,COVID-19,True
23,"Therefore, this study aimed to determine the prevalence of psychological distress among medical students during the COVID-19 pandemic at a public university in Malaysia. The secondary objective was to identify the factors associated with their psychological distress in the study population.",1.0,COVID-19,True
24,MATERIALS AND METHODS,0.0,,False
25,"Study Design and Study Location A cross-sectional study was conducted among firstto fifth-year medical students at one of the public universities. We have selected the students of this university over other public universities for practical reasons. Firstly, conducting a research project is one of the program requirements during the undergraduate studies and secondly, we hope that the response rate to this study will be higher if the study is conducted at this university. Medical school at this university is a five-year program where the pre-clinical phase is in years one and two, while the clinical phase is in year three, four and five.",1.0,clinical,True
26,"Participants, Sample Size and Sampling Method Medical students aged 18-year and older studying at the university during the COVID-19 pandemic were deemed eligible for this study. Epi Info 7.0 was used to calculate the sample size based on the prevalence of depression among undergraduate students of 78.7% (17). The estimated sample size was 181 with 90 percent power, 95 percent confidence interval (CI), and statistically significant level () at 5 percent. After acccounting for the 40% non-response rate, the total number required was 302 participants. The universal sampling technique was used for recruitment, where all medical students were approached through an online platform via an online platform using a Google form and 311 potential participants responded to the invitation.",1.0,COVID-19,True
