,sentence,label,data,regex
0,"ACCIÓN PSICOLÓGICA, junio 2021, vol. 18, nº. 1, 27-44. ISSN: 2255-1271 https://doi.org/10.5944/ap.18.1.29520",0.0,,False
1,27,0.0,,False
2,IMPACTO EMOCIONAL DE LA PANDEMIA DE COVID-19 DURANTE EL PERIODO DE CONFINAMIENTO EN ESPAÑA:,1.0,COVID-19,True
3,FACTORES PROTECTORES Y FACTORES DE RIESGO/VULNERABILIDAD,0.0,,False
4,EMOTIONAL IMPACT OF THE COVID-19 PANDEMIC DURING THE SPANISH,1.0,COVID-19,True
5,NATIONAL LOCKDOWN: PROTECTIVE AND RISK/VULNERABILITY FACTORS,0.0,,False
6,"BONIFACIO SANDÍN1, PALOMA CHOROT1, JULIA GARCÍA-ESCALERA1 Y ROSA M. VALIENTE1",0.0,,False
7,"Cómo referenciar este artículo/How to reference this article: Sandín B., Chorot, P., García-Escalera, J. y Valiente, R. M. (2021). Impacto emocional de la pandemia de COVID-",0.0,,False
8,"19 durante el periodo de confinamiento en España: Factores protectores y factores de riesgo/vulnerabilidad [Emotional Impact of the COVID-19 Pandemic during the Spanish National Lockdown: Protective and Risk/Vulnerability Factors] . Acción Psicológica, 18(1), 27-44. https://doi.org/10.5944/ap.18.1.29520",1.0,COVID-19,True
9,Resumen,0.0,,False
10,"El objetivo del presente estudio fue examinar el impacto emocional de la pandemia de COVID-19 y el confinamiento nacional vivido en España durante los meses de marzo y abril de 2020. Se investigó la prevalencia de distrés emocional, así como también los",1.0,COVID-19,True
11,"factores protectores y de riesgo/vulnerabilidad. Una muestra de 1561 participantes (edad: 19-84 años) cumplimentó online el Cuestionario de Impacto Psicológico del Coronavirus (CIPC), la Escala de Intolerancia a la Incertidumbre-12, y las escalas PANAS de afecto positivo y negativo. Los resultados indican que muchos participantes experimentaron niveles elevados de distrés emocional reflejado a través de un perfil de distrés",1.0,Coronavirus,True
12,"Correspondence address [Dirección para correspondencia]: Bonifacio Sandín, Facultad de Psicología, Universidad Nacional de Educación a Distancia, España. Email: bsandin@psi.uned.es",0.0,,False
13,"ORCID: Bonifacio Sandín (https://orcid.org/0000-0001-7206-6410), Paloma Chorot (https://orcid.org/0000-0002-54422917), Julia García-Escalera (https://orcid.org/0000-0002-9288-4071) y Rosa M. Valiente (http://orcid.org/0000-00032369-3295).",0.0,,False
14,"1 Universidad Nacional de Educación a Distancia, España.",0.0,,False
15,Recibido: 26 de enero de 2021. Aceptado: 6 de marzo de 2021.,0.0,,False
16,28,0.0,,False
17,"ACCIÓN PSICOLÓGICA, junio 2021, vol. 18 nº. 1, 27-44. ISSN: 2255-1271 https://doi.org/10.5944/ap.18.1.29520",0.0,,False
