,sentence,label,data,regex
0,Major Depression before and during the Covid-19 pandemic - a population-based study among Swedish adults,1.0,pandemic,True
1,Yvonne Forsell (  Yvonne.Forsell@ki.se ) Karolinska Institute,0.0,,False
2,Yajun Liang Karolinska Institute,0.0,,False
3,Bo Burström Karolinska Institute,0.0,,False
4,Jonas Samuelsson Karolinska Institute,0.0,,False
5,Jette Möller Karolinska Institute,0.0,,False
6,"Research Article Keywords: Depression, Depressive symptoms, Prevalence, Covid-19, population-based study Posted Date: October 26th, 2022 DOI: https://doi.org/10.21203/rs.3.rs-2190150/v1 License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License",0.0,,False
7,Page 1/10,0.0,,False
8,Abstract,0.0,,False
9,"Purpose: To determine and compare the prevalence of depression and depressive symptoms in 2010 and 2021 in an adult population living in Stockholm at start of participation, Sweden, and study the possible impact of the Covid-19 pandemic.",1.0,pandemic,True
10,"Methods: Data were used from 2010 (n,""6,641) and 2021 (n"",""8,863) based on a longitudinal population-based study with the aim to study risk and protective factors for mental health. Self-reported depression was assessed using Major Depression Inventory and in 2021 questions on effects of the Covid-19 pandemic were added. Prevalence was calculated and presented with 95% confidence intervals.""",1.0,protective,True
11,Results: Depression and depressive symptoms had increased in 2021 compared with 2010. The highest prevalence was found in women and in the youngest age-group. There was no difference after adjusting for Covid-19 infection in any of the age-groups. Women who experienced life changes related to the pandemic situation had higher rates of depression as well as those who lost their job during the pandemic.,1.0,pandemic,True
12,"Conclusion: During the Covid-19 pandemic, it seems both depression and depressive symptoms become more common. However, we did not find support for a direct effect related to a Covid-19 infection but our results suggest that part of the increase may be due to secondary social and economic consequences of the pandemic.",1.0,pandemic,True
13,Introduction,0.0,,False
14,"Many well-known risk factors for depression increase during a pandemic, both due to actual infections and to imposed restrictions of everyday life. Postinfectious reactions, financial insecurity, job stress and decreased social network are amongst them. These stressors, and the degree they affect people, are most likely different in different countries, groups, and individuals.",1.0,pandemic,True
15,"Many studies, including several systematic reviews and meta-analyses, have recently been published showing an increased rate of depressive symptoms, as well as depression, during the Covid-19 pandemic. The pooled prevalence of depression has varied greatly between studies; from 16 to 45%. The highest rate was found in a meta-analysis only including patients (n,""5,153) suffering from Covid-19, the lowest were reported in a study mixing many different study samples (n"",""189,159) [1, 2]. A systematic review and metaanalysis including 68 cross-sectional studies (n"",""288,830) from 19 countries, reported a higher risk among women. Other associated factors were younger age, living in rural areas and having lower socio-economic status. However, a substantial heterogeneity for most of the associations were found [3].""",1.0,pandemic,True
16,"In general, most of the studies are from China most likely since the outbreak started there. Additionally, most of the studies used the Patient Health Questionnaire (PHQ-9) as measure of depressive symptoms and depression diagnosis was defined using cut-off scores. Most of the studies focus on direct effects of Covid-19 infection on the individuals but there are also studies of the effects of the lockdowns. A meta-analysis including 25 studies (n,""72,004) specifically focusing on the effects of lockdowns reported that the psychological impact was small in magnitude and highly heterogeneous, suggesting nonuniform detrimental effects on mental health and that most people were psychologically resilient [4].""",1.0,outbreak,True
17,"Concerning the effects of how the stringency of lockdowns affects the prevalence of depressive symptoms a meta-analysis reported that the prevalence of clinically significant depressive symptoms was significantly lower in countries where governments implemented stringent (the Oxford COVID-19 Government Response Index) policies more promptly [5]. However, again here most of the included studies were from China. There were two included Swedish studies, one which included only elite athletes [6] and the other one was a cross-sectional study (n,""1,212) of persons recruited online using PHQ-9 as depression measure showing a prevalence of 30%. There were no gender differences, and poor self-rated health, and previous history of mental health problems were associated with depression [7].""",1.0,clinical,True
18,"In summary, several studies have been done showing high rates of depression during the pandemic. However, most of the studies have been limited to PHQ-9 and to a Chinese context. Since a validation of PHQ-9 using a structured clinical interview in a primary care population revealed that a PHQ-9 score of 10 or higher had good sensitivity but poor specificity in detecting major depression [8].",1.0,pandemic,True
19,Diagnosis of depression according to DSM-5 is made assessing the presence of five out of nine symptoms and either sadness or loss of interest are mandatory to fulfill the criteria. Previous studies are also silent regarding if specific depressive symptoms have increased.,0.0,,False
20,Page 2/10,0.0,,False
21,Restrictions imposed on daily life might for example increase sleeping problems and restlessness due to reduced possibilities for physical activity or fear of infection.,1.0,,True
22,"The present study used Major Depression Inventory (MDI) to determine the rates of depression and depressive symptoms in an adult population living in Stockholm, Sweden, at the time of recruitment, in 2021 comparing with similar data from 2010.",0.0,,False
23,Methods,0.0,,False
24,"Data was based on a longitudinal population-based study of mental health, work, and relations: PART (In Swedish: Psykisk hälsa, Arbete och RelaTioner), among adult people living in the Stockholm County, Sweden at time of inclusion. So far four waves (w) have been conducted: 1998-2000 (w1), 2001-2003 (w2), 2010 (w3) and the most recent in 2021 (w4). At each wave, subjects who agreed to participate, answered a questionnaire sent by mail or administered online. The original study sample at baseline in 1998 included 19,742 adult individuals 20-64 years of age residing in the Stockholm County and randomly selected from the Total population register. 10 441 individuals responded at w1 (53%). Non-response analysis was performed using available official registers. Participation was related to female gender, higher age, higher income, and education, being born in the Nordic countries, and having no previous psychiatric diagnosis in the hospital discharge register or in the early retirement register [9]. All participants from the first wave received a second, almost identical questionnaire at w2 and the participation rate was 83%. Attrition in the second wave was associated with the same conditions as in the first wave. In w3 this was repeated (participation rate 61%) with the addition that 4,956 persons aged 20-30 was invited (participation rate,""22%). In w4, a similar procedure was used as in w3, and 10,158 individuals from w1 participants were invited (participation rate 73%) with an additional sample of 4,986 young adults aged 20-30 (participation rate 33%). The flowchart of the PART study participants is presented in Appendix (Fig. 1).""",0.0,,False
