,sentence,label,data,regex
0,Risk factors of pulmonary complications in the patients with COVID-19: A case-control study,1.0,COVID-19,True
1,Mohammad Eslamian (  Mr.esl67@gmail.com ) Isfahan University of Medical Sciences https://orcid.org/0000-0001-5019-5641,0.0,,False
2,Hamid Talebzadeh Isfahan University of Medical Sciences,0.0,,False
3,Amirhossein Fasahat Isfahan University of Medical Sciences,0.0,,False
4,Maryam Ghasemi Shahrekord University of Medical Science,0.0,,False
5,Arsham Seifnezhad Isfahan University of Medical Sciences,0.0,,False
6,Hamidreza Zefreh Isfahan University of Medical Sciences,0.0,,False
7,Erfan Sheikhbahaei Isfahan University of Medical Sciences,0.0,,False
8,Koorosh Parchami Isfahan University of Medical Sciences,0.0,,False
9,Behzad Nazemroaya Isfahan University of Medical Sciences,0.0,,False
10,Mohammad Javad Tarrahi Isfahan University of Medical Sciences,0.0,,False
11,Alireza Firouzfar Isfahan University of Medical Sciences,0.0,,False
12,Fatemeh Esfahanian Isfahan University of Medical Sciences,0.0,,False
13,Research Article,0.0,,False
14,"Keywords: COVID-19, Pneumothorax, pneumomediastinum, emphysema",1.0,COVID-19,True
15,"Posted Date: November 3rd, 2022",0.0,,False
16,DOI: https://doi.org/10.21203/rs.3.rs-2136394/v1,0.0,,False
17,Page 1/14,0.0,,False
18,License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License,0.0,,False
19,Page 2/14,0.0,,False
20,Abstract,0.0,,False
21,Background,0.0,,False
22,"Pneumothorax (PTX), pneumomediastinum (PM), and emphysema (EM) are complications of SARS-CoV2 infections. Studying these situations' risk factors, complications, and prognosis is essential for early diagnosis during a pandemic.",1.0,pandemic,True
23,Methods,0.0,,False
24,"We performed a case-control study of patients diagnosed with coronavirus pneumonia complicated with PTX, PM, and EM compared with patients without these complications to evaluate the risk factors for the incidence and prognosis of patients with pulmonary complications of COVID-19. We used parametric, non-parametric, and regression tests to analyze the data.",1.0,case,True
25,Results,0.0,,False
