,sentence,label,data,regex
0,Original Research Article,0.0,,False
1,European Journal of Molecular & Clinical Medicine,1.0,Clinical,True
2,ISSN 2515-8260,0.0,,False
3,"Volume 09, Issue 06, 2022",0.0,,False
4,Newly diagnosed diabetes in patients with COVID- 19: In a tertiary care center in central India,0.0,,False
5,"1Pooja Sounr, 2Varun Mohod, 3Ashvin Chouhan, 4Shubham Upadhyay, 5Divyansh Badole",0.0,,False
6,"1Senior Resident, Department of Medicine, Sri Aurobindo Institute of Medical Sciences, Indore, Madhya Pradesh, India",0.0,,False
7,"2,4Senior Resident, Department of Medicine, MGM Medical College and MY Hospital, Indore, Madhya Pradesh, India",0.0,,False
8,"3Assistant Professor, Department of Psychiatry, MGM Medical College and MY Hospital, Indore, Madhya Pradesh, India",0.0,,False
9,"5Junior Resident, Department of Medicine, MGM Medical College and MY Hospital Indore, Madhya Pradesh, India",0.0,,False
10,Corresponding Author: Shubham Upadhyay (pulvs1@gmail.com),0.0,,False
11,Abstract,0.0,,False
12,"Background: Diabetes mellitus (DM) is associated with adverse clinical outcomes and high mortality in patients with corona virus disease 2019 (COVID-19). The relationship between diabetes and COVID-19 is known to be bidirectional. Aim: To analyze the rate of new-onset diabetes in COVID-19 patients and assess the clinical outcomes of new-onset diabetes and hyperglycemia among COVID-19 patients Methods: This cross sectional study has enrolled those individuals admitted with COVID-19 and has newly diagnosed diabetes mellitus. (DM; based on laboratory diagnoses). Results: Analysis showed that 13.7% (84/610) of COVID-19 patients had newly diagnosed DM. Majority of the newly diagnosed diabetic patient was male (58.3%), most of them (33.3%) were 51-60 year age group. Higher incidence of DM was reported in urban population (54.8%). The significant risk factors of diabetes were found family history of diabetes, (53.6%) and obesity (72.6%). Hypertension was the most common (61.7%) comorbidity associated with the DM. Conclusions: Diabetes diagnosed at COVID-19 presentation is associated with lower glucose but higher inflammatory markers and ICU admission, suggesting stress hyperglycemia as a major physiologic mechanism.",1.0,clinical,True
13,"Keywords: COVID-19, newly diagnosed diabetes, incidence, hyperglycemia",1.0,COVID-19,True
14,Introduction,0.0,,False
15,"Diabetes is a common chronic metabolic disease, and one of the major causes of morbidity and mortality, which leads to huge health and financial burden worldwide. Patients with diabetes have an increased risk of severe complications, including severe acute respiratory syndrome (SARS) and multi-organ failure [1]. The human pancreas is a target of severe acute respiratory syndrome corona virus 2 (SARSCoV-2). Following SARS-CoV-2 infections, reduced numbers of insulin secretory granules in",1.0,disease,True
16,2002,0.0,,False
17,European Journal of Molecular & Clinical Medicine,1.0,Clinical,True
18,ISSN 2515-8260,0.0,,False
19,"Volume 09, Issue 06, 2022",0.0,,False
20,beta cells and impaired glucose-stimulated insulin secretion have been observed [2]. SARS-,0.0,,False
21,CoV-2 may damage beta cells by triggering proinflammatory cytokines leading to chronic,0.0,,False
22,low-grade inflammation in adipose tissue play an important role in the pathogenesis of insulin resistance and type 2 diabetes [3].,0.0,,False
