,sentence,label,data,regex
0,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15955 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,bs_bs_banner,0.0,,False
2,doi:10.1111/jgh.15955,0.0,,False
3,Luminal Clinical,1.0,Clinical,True
4,"18 Impressive thickened stomach: Rare case of Ménétrier disease M GURURATSAKUL*, *Department of Gastroenterology and Hepatology, Cairns Hospital, Cairns, Queensland, Australia; Department of Gastroenterology and Hepatology, Chulabhorn Hospital, HRH Princess Chulabhorn College of Medical Science, Chulabhorn Royal Academy, Bangkok, Thailand",1.0,case,True
5,"Case report: A 63-year-old man presented with epigastric discomfort, early satiety for 6 months, and no history of weight loss. His past medical history included hypertension, depression, and dyslipidemia, and he was taking hydrochlorothiazide, desvenlafaxine, atorvastatin, and proton pump inhibitors (PPIs). He had a computed tomography (CT) scan of the abdomen, which showed a nondistended stomach and grossly thickened wall of the stomach (Fig. 1A). There was no evidence of infiltration of the adjacent fat and no upper abdominal lymphadenopathy. Subsequently, an upper endoscopy showed Los Angeles Grade B reflux esophagitis and diffuse giant gastric folds from the fundus to the distal body of the stomach (Fig. 1B). Gastric biopsies showed a prominent oxyntic gland component, which was apparently expanded by several small cystic oxyntic-type glands and focally by pyloric-type small cystic glands. The features were akin to a cystic fundic gland polyp but extensive. Intestinal metaplasia was not seen. Only rare plasma cells were noted in the lamina propria, which was mildly edematous, but features of a true inflammation were not seen. Helicobacter pylori was not seen. The epithelial cytological atypia/dysplasia or neoplasia was not seen. He was booked for an endoscopic ultrasound, which again found diffuse wall thickening of the fundus and the body of the stomach (Fig. 1C). This appeared to be primarily thickening within the submucosal layer. The gastric wall measured up to 20 mm in thickness. Fine needle biopsy was performed with a 22-G needle. Histopathology again showed a similar appearance to the gastric biopsy from biopsy forceps. Conclusion: The clinical impression was that this was most likely Ménétrier disease; however, the histopathological features were not typical of that entity. Ménétrier disease is generally characterized by foveolar hyperplasia, which was not present in this case. Chronic PPI use could produce this histological pattern; however, not with this radiological finding. A repeat CT abdomen scan at 12-month follow-up also showed similar features.",1.0,Case,True
6,"20 Pancreaticopleural fistula treated by endoscopic retrograde cholangiopancreatography: A case report M GURURATSAKUL*, *Department of Gastroenterology and Hepatology, Cairns Hospital, Cairns, Queensland, Australia; Department of Gastroenterology and Hepatology, Chulabhorn Hospital, HRH Princess Chulabhorn College of Medical Science, Chulabhorn Royal Academy, Bangkok, Thailand",1.0,case,True
7,"Introduction: Pancreaticopleural fistula is a rare complication from acute pancreatitis, which could be treated surgically but with technically challenging and variable outcomes. This case study reports a patient with pancreaticopleural fistula who was managed with endoscopic retrograde cholangiopancreatography (ERCP) with a good outcome. Case report: A 35-year-old man presented with increasing shortness of breath and was found to have a large left-sided pleural effusion on chest X-ray. His past medical history included recurrent acute pancreatitis secondary to alcohol misuse. He has been admitted a month earlier with abdominal pain and mild dyspnea; initially, computed tomography (CT) showed a multiloculated pancreatic pseudocyst and collection in the mediastinum and retrocrural space associated with bibasal pleural effusions. He had recovered with conservative management and was discharged. Repeat CT on this admission showed rupture of the pseudocyst, which caused communication with the pleural space and led to complicated loculated left-sided pleural effusion (Fig. 1A). Diagnostic thoracentesis was performed, and the pleural fluid showed high lipase and amylase levels, consistent with a pancreaticopleural fistula (lipase, 53 900 U/L; amylase, 56 570 U/L). Subsequently, a left intercostal catheter was inserted to drain a large pleural effusion, and ERCP was performed. During ERCP, a pancreatogram confirmed a disrupted duct of the main pancreatic duct at the body of the pancreas (Fig. 1B). Therefore, a 7-Fr 15-cm straight pancreatic plastic stent was placed across the main pancreatic duct (Fig. 1C). He improved clinically after ERCP, the pleural drain was removed, and he was discharged home. The pancreatic stent was removed 6 months later, and a follow-up CT scan showed no pancreatic cyst and complete resolution of the pleural effusion. Conclusion: ERCP could be a good option to consider for a patient with pancreaticopleural fistula and disrupted pancreatic duct.",1.0,case,True
8,Figure 1 (A) Computed tomography scan showing thickened wall of the stomach. (B) Thickened giant gastric fold on upper endoscopy. (C) Diffused thickened stomach wall on endoscopic ultrasound.,0.0,,False
9,Journal of Gastroenterology and Hepatology 37 (Suppl. 1) (2022) 177-213,0.0,,False
10,177,0.0,,False
11,"Editorial material and organization © 2022 Journal of Gastroenterology and Hepatology Foundation and John Wiley & Sons Australia, Ltd. Copyright of individual abstracts",0.0,,False
12,remains with the authors.,0.0,,False
13,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15955 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
14,Luminal Clinical,1.0,Clinical,True
15,Figure 1 (A) Computed tomography scan showing massive left-sided pleural effusion. (B) Pancreatogram showing contrast leakage from the main pancreatic duct at the body of the pancreas. (C) Stent placed across the main pancreatic duct.,0.0,,False
16,"21 Rectal mass secondary to rectal ischemia: A case report M GURURATSAKUL,*, M BASEDOW Departments of *Gastroenterology and Hepatology, Surgery, Cairns Hospital, Cairns, Queensland, Australia; Department of Gastroenterology and Hepatology, Chulabhorn Hospital, HRH Princess Chulabhorn College of Medical Science, Chulabhorn Royal Academy, Bangkok, Thailand",1.0,case,True
17,"Introduction: Acute rectal ischemia is rare. Here, we report a case of acute rectal ischemia that mimicked a rectal mass on presentation. Case report: A 66-year-old man presented with 7 days of rectal bleeding. He denied any abdominal pain, recent travel, or recent use of antibiotics. His past medical history included bladder agenesis, previous bilateral ureterocolonic anastomosis, sigmoid colon cancer (for which he had sigmoid resection in 2014), Alzheimer's disease (treated with rivastigmine), and hypertension. His initial blood test results showed a hemoglobin (Hb) level of 130 g/L, white cell count (WCC) of 10.5 × 109/L; and platelet count of 313 × 109/L. Initial computed tomography of the abdomen showed severe colitis of the rectum, with marked inflammatory change in the pelvis, prominent enhancing vessels within the distal rectal wall, no",1.0,case,True
