,sentence,label,data,regex
0,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15959 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,bs_bs_banner,0.0,,False
2,doi:10.1111/jgh.15959,0.0,,False
3,Routine GI Endoscopy,0.0,,False
4,"25 Health service outcomes after implementation of an interdisciplinary model of care for the management of repeated intentional foreign body ingestion in patients with emotionally unstable personality disorder P HOEY, N TIWARI, M LAMBA, K BRITTO, F GRIMPEN, K RYAN, K BOON, C MCDONALD, T LIPP, N BROWN, M APPLEYARD Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia",1.0,personal,True
5,"Background and Aim: Patients with emotionally unstable personality disorder (EUPD) who present with repeated intentional foreign body ingestion (RIFBI) have poor health outcomes and high health care resource utilization. Longer hospital stays can further reinforce maladaptive behavior, perpetuating the cycle of self-harm behavior and subsequently increasing the risk of both actual and iatrogenic harm to the patient. We developed a novel interdisciplinary acute management plan (AMP) individualized to each patient. In this study, we aimed to assess health service outcomes for patients before and after implementation of the AMP. Methods: Since 2016, patients with EUPD presenting to the emergency department (ED) at our tertiary-care institution with RIFBI have been offered formulation of an AMP. After patient consent, a multidisciplinary meeting between community and hospital-based specialists is held to develop an individualized AMP. The AMP informs clinical management and disposition for presentations relating to intentional foreign body ingestion. It allows for discharge to community care from endoscopy without further inpatient assessment. The aim of the AMP is to prioritize treatment of underlying psychopathology, while ensuring patient safety and reducing admissions and endoscopic procedures. All consecutive patients with EUPD and RIFBI who received AMP were identified. Electronic medical record data for ED presentations to all public hospitals in Queensland, Australia, and inpatient admissions to our institution were collected. The data before and after implementation of the AMP were summarized and presented as medians with interquartile ranges. Results: Nine patients had 457 ED presentations with RIFBI between 2011 and 2021, inclusive. Of these, 273 presentations were at our institution, resulting in 201 admissions and 171 endoscopy procedures. There were a median of 9.8 ED presentations per person-year (IQR, 4.6-14.0) before implementation of AMPs, compared with 7.0 (IQR, 4.0-11.8) after implementation (P ,"" 0.21). These presentations resulted in a median of 2.6 inpatient admissions per person-year (IQR, 2.2-4.8) before AMP, compared with 3.5 (IQR, 0.9-6.3) after AMP (P "","" 0.69). Before implementation of AMP, an average of 65.1% of admissions (IQR, 0.5-0.8) required endoscopy, compared with 47% (IQR, 0-0.9) after AMP (P "","" 0.34). Median length of stay per admission before AMP was 1.5 days (IQR, 0.9-2.9),""",1.0,personal,True
6,"compared with 1.0 day (IQR, 0.7-1.9) after AMP (P ,"" 0.04). Inpatient resource utilization significantly reduced after implementation of AMPs: psychiatry consultations (before, 78% [IQR, 0.5-1] vs after, 33% [IQR, 0-0.4]; P "","" 0.02), Mental Health Act involuntary status (before, 42.9% [IQR, 0.3-0.8] vs after, 5% [IQR, 0-0.25]; P < 0.01) and nursing special (before, 82.2% [IQR, 0.7-1] vs after, 30% [IQR, 0-0.6]; P "","" 0.03). There were no complications due to delaying endoscopy after AMP implementation. Conclusion: In this study, we show that implementation of a novel multidisciplinary individualized care plan for patients with EUPD and RIFBI can reduce hospital length of stay and inpatient resources, without increasing complications. Our results support the use of an AMP in this challenging cohort of patients.""",0.0,,False
7,"29 Effect of artificial intelligence on adenoma detection during colonoscopy: The first New Zealand experience M CHIENG,*, C SCHAUER,*, M WANG, M NEAVE, S WATSON, M VAN RIJNSOEVER,* R WALMSLEY,*, A JAFER* *Waitemata District Health Board, University of Auckland, Waitemata Endoscopy, Auckland, New Zealand",0.0,,False
8,"Background and Aim: Artificial intelligence (AI)-assisted colonoscopy has gained attention as a tool to assist with polyp detection during colonoscopy. Uncertainty as to the clinical benefit remains, given limited publications using different AI modules. Methods: We conducted a single-center retrospective study at Waitemata Endoscopy, an independent endoscopy center in Auckland, New Zealand. An Olympus ENDO-AID module was used for the first time by 13 experienced endoscopists (Fig. 1). Outcomes from the use of AI-assisted colonoscopy over a 6-week period were compared with a subsequent conventional colonoscopy (CC) control group. Results: A total of 213 AI-assisted colonoscopies were compared with 213 CCs. Baseline patient age, sex, indication for procedure, bowel preparation scores, and specialty of proceduralist (gastroenterologist or surgeon) were well matched (P > 0.05). The withdrawal time was significantly longer in the AI-assisted colonoscopy group compared with CC controls (15 vs 13 min; P < 0.001). The adenoma detection rate (ADR) was significantly higher in the AI-assisted colonoscopy group compared with the CC group (47.9% vs 38.5%; odds ratio, 1.59; 95% CI, 1.05-2.41; P , 0.03). The overall polyp detection rate was similar between groups (70% vs 70%; P ,"" 0.79). Polyp size, location, and other histology were not significantly different between groups. Conclusion: AI-assisted colonoscopy significantly improved ADR, compared with CC. Further research is needed to understand its utility and impact on long-term clinical outcomes.""",1.0,clinical,True
9,Journal of Gastroenterology and Hepatology 37 (Suppl. 1) (2022) 231-251,0.0,,False
10,231,0.0,,False
11,"Editorial material and organization © 2022 Journal of Gastroenterology and Hepatology Foundation and John Wiley & Sons Australia, Ltd. Copyright of individual abstracts",0.0,,False
12,remains with the authors.,0.0,,False
13,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15959 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
14,Routine GI Endoscopy,0.0,,False
15,Figure 1 ENDO-AID module (Olympus) identifies potential lesions for the endoscopist to assess.,0.0,,False
16,"42 Location and appearance of dysplastic Barrett's recurrence after endoscopic eradication therapy: No additional yield of random biopsies from neosquamous mucosa T HE,*, V SUNDARARAJAN, NJ CLARKE,* JH SLAVIN,*, EH TSOI,*, AJ THOMPSON,*, BA HOLT,*, PV DESMOND,*, ACF TAYLOR*, *St Vincent's Hospital Melbourne, University of Melbourne, Melbourne, Victoria, Australia",0.0,,False
17,"Background and Aim: The current recommendation for surveillance after achieving complete remission of intestinal metaplasia (CRIM) is to sample visible lesions, followed by random four-quadrant biopsies of neosquamous epithelium.1 We aimed to identify the endoscopic location, appearance, histology, and long-term outcomes of dysplastic recurrences to inform surveillance biopsy protocols after CRIM. Methods: We performed an analysis of a single Barrett's referral unit database of patients who underwent endoscopic eradication therapy (EET) for Barrett's esophagus with dysplasia or T1a adenocarcinoma between November 2008 and November 2021. Patients who achieved CRIM underwent surveillance endoscopy with an Olympus HQ-180 or HQ-190 gastroscope and a transparent cap. Visible lesions and any recurrent Barrett's (including Barrett's islands) were biopsied first, followed by four-quadrant biopsies taken every 1-2 cm, starting immediately distal to the neo-squamocolumnar junction (gastroesophageal junction), followed by the length of the original Barrett's esophagus segment. The endoscopic location, appearance, histology, and long-term outcomes of dysplastic recurrences were identified and assessed. Results: Of 365 patients who underwent EET for Barrett's esophagus, 216 patients (59.2%) achieved CRIM. During a mean follow-up time of",0.0,,False
18,"5.5 years (SD, 2.9) after CRIM, 18 patients (8.3%) developed dysplasia recurrence. Of these patients, 10 (55.6%) had dysplasia recur at the gastroesophageal junction and eight (44.4%) in the tubular esophagus. Of the gastroesophageal junction recurrences, two (20%) were visible endoscopically (both were Paris 0-IIa lesions with loss of vascular and mucosal pattern). The remaining eight (80%) were detected on random biopsies just below the squamocolumnar junction. Of the eight recurrences in the tubular esophagus, all were visible endoscopically. Three were Paris 0-IIa or Paris 0-IIb Barrett's islands with surrounding buried Barrett's (Fig. 1), two were in Paris 0-IIb Barrett's islands with normal mucosal appearance, and three were in Paris 0-IIa or 0-IIb Barrett's islands with indistinct mucosal pattern (Fig. 2). Of all visible lesions, 81.8% were either high-grade dysplasia or worse. Ten (55.6%) had the same recurrence histology as their original histology, and four (22.2%) developed more advanced histology, including two patients who progressed to T3N2M0 and T1bN0M0 adenocarcinoma (both underwent definitive chemoradiotherapy). Seven patients re-achieved CRIM after EET, and eight were still undergoing EET at last follow-up. The remaining three patients died from lung cancer, heart failure, and pneumonia, respectively. Conclusion: The yield of random biopsies of normal-appearing tubular esophageal neosquamous epithelium was zero. Most recurrent high-grade dysplasia or cancerous lesions are in subtle visible lesions. Surveillance protocols should focus on vigilant inspection for visible lesions, especially subtle Barrett's islands and signs of sub-squamous Barrett's, with sampling of those lesions, followed by random gastroesophageal junction biopsies.",0.0,,False
19,"Reference 1 Shaheen NJ, Falk GW, Iyer PG, et al. ACG clinical guideline: Diagnosis",1.0,clinical,True
20,and management of Barrett's esophagus. Am. J. Gastroenterol. 2016; 111: 30-50.,0.0,,False
21,232,0.0,,False
22,Journal of Gastroenterology and Hepatology 37 (Suppl. 1) (2022) 231-251,0.0,,False
23,"Editorial material and organization © 2022 Journal of Gastroenterology and Hepatology Foundation and John Wiley & Sons Australia, Ltd. Copyright of individual abstracts",0.0,,False
24,remains with the authors.,0.0,,False
25,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15959 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
26,Routine GI Endoscopy,0.0,,False
27,"Figure 1 (a-c) 8-mm Paris 0-IIa island with surrounding 12-mm raised area of darker pink squamous mucosa on high-definition white-light and darker brown mucosa on narrow-band imaging, consistent with a buried Barrett's lesion. (d) Endoscopic mucosal resection specimen with sub-squamous high-grade dysplasia.",1.0,area,True
28,"Figure 2 (e, f) 9-mm Paris 0-IIa island with indistinct central mucosal pattern and loss of vascular pattern. (g) Endoscopic mucosal resection (EMR) of Barrett's island. (h) EMR specimen with high-grade dysplasia.",0.0,,False
29,"62 Using accident causation analysis and multifaceted interventions to improve patient safety in periendoscopic care L HOLLINGSWORTH, K YEE Royal Hobart Hospital, Tasmanian Health Service, Hobart, Tasmania, Australia",0.0,,False
30,"Background and Aim: Endoscopic procedures are commonly performed in Australia and are considered very safe. Adverse events in endoscopy are well recognized; however, the primary focus remains on the procedure itself and generally represents the severe but rare end of the spectrum, with a reported mortality of 1 in 150 000 cases. These complications predominantly include post-endoscopic bleeding and perforation. Periendoscopy issues often cause minor, but more frequent, events. These issues are less recognized in the literature but still have potential to cause significant",1.0,case,True
31,Journal of Gastroenterology and Hepatology 37 (Suppl. 1) (2022) 231-251,0.0,,False
32,233,0.0,,False
33,"Editorial material and organization © 2022 Journal of Gastroenterology and Hepatology Foundation and John Wiley & Sons Australia, Ltd. Copyright of individual abstracts",0.0,,False
34,remains with the authors.,0.0,,False
35,"14401746, 2022, S1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/jgh.15959 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
36,Routine GI Endoscopy,0.0,,False
