,sentence,label,data,regex
0,"23788038, 0, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/lio2.874 by MORGAN STATE UNIVERSITY, Wiley Online Library on [15/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,Received: 18 February 2022 DOI: 10.1002/lio2.874,0.0,,False
2,Revised: 13 May 2022,0.0,,False
3,Accepted: 5 July 2022,0.0,,False
4,ORIGINAL RESEARCH,0.0,,False
5,Laryngeal complications after endotracheal intubation and prone positioning in patients with coronavirus disease 2019,1.0,coronavirus,True
6,"Shiori Aibara MD1 | Masahiro Okada MD, PhD1 | Kaori Tanaka-Nishikubo MD, PhD1 | Rie Asayama MD1 | Eriko Sato MD1 | Hirofumi Sei MD, PhD1 | Kunihide Aoishi MD, PhD1 | Taro Takagi MD, PhD1 | Masato Teraoka MD, PhD1 | Naoki Mukai MD2 | Saki Konishi MD2 | Mitsuo Okita MD2 | Siro Ogawa MD2 | Suguru Annen MD2 | Muneaki Ohshita MD2 | Hironori Matsumoto MD2 | Satoru Murata MD2 | Yutaka Harima MD2 | Satoshi Kikuchi MD, PhD2 | Jun Takeba MD, PhD2 | Norio Sato MD, PhD2 | Naohito Hato MD, PhD1",0.0,,False
7,"1Department of Otolaryngology, Head and Neck Surgery, Ehime University Graduate School of Medicine, Toon, Japan 2Department of Emergency and Critical Care Medicine, Ehime University Graduate School of Medicine, Toon, Japan",0.0,,False
8,"Correspondence Masahiro Okada, Department of Otolaryngology, Head and Neck Surgery, Ehime University Graduate School of Medicine, Shitsukawa, Toon, Ehime 791-0295, Japan. Email: okadama@m.ehime-u.ac.jp",0.0,,False
9,Abstract,0.0,,False
10,"Objectives: Laryngeal complications have been reported after endotracheal intubation and prone positioning in patients with critical coronavirus disease 2019 (COVID-19), but their association is unclear. In this study, we investigated the rate of laryngeal complications in patients with COVID-19 compared to an alternative condition (control group). Methods: We retrospectively analyzed the data of 40 patients who underwent endotracheal intubation for either COVID-19 or an alternative condition (control group). Data on age, sex, body mass index (BMI), cardiovascular disease (CVD) risk factors, use of prone therapy, duration of endotracheal intubation, and duration from extubation/tracheostomy to laryngeal evaluation were collected from medical records. Results: There were no significant differences in BMI, frequency of CVD risk factors, duration of endotracheal intubation, or duration from extubation/tracheostomy to laryngeal evaluation between the two groups. In the COVID-19 group, all patients adopted the prone position. In comparison, only one patient in the control group adopted the prone position. Significant differences were observed between the two groups regarding the incidence of vocal fold immobility and laryngeal granuloma. Conclusion: Laryngeal complications were more common in the COVID-19 group than in the control group. Prone positioning may be a risk factor for these complications. Level of Evidence: 4.",1.0,coronavirus,True
11,"KEYWORDS COVID-19, laryngeal granuloma, prone positioning, vocal cord paralysis",1.0,COVID-19,True
12,"This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made. © 2022 The Authors. Laryngoscope Investigative Otolaryngology published by Wiley Periodicals LLC on behalf of The Triological Society.",0.0,,False
13,Laryngoscope Investigative Otolaryngology. 2022;1-6.,0.0,,False
14,wileyonlinelibrary.com/journal/lio2,0.0,,False
15,1,0.0,,False
