,sentence,label,data,regex
0,"23788038, 0, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/lio2.911 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,Received: 27 May 2022 DOI: 10.1002/lio2.911,0.0,,False
2,Revised: 7 July 2022,0.0,,False
3,Accepted: 8 August 2022,0.0,,False
4,ORIGINAL RESEARCH,0.0,,False
5,Patient factors associated with COVID-19 loss of taste or smell patient factors in smell/taste loss COVID-19,1.0,COVID-19,True
6,"B. Jake Johnson MD1 | Bradley Salonen MD2 | Thomas Jamie O'Byrne3 | Garret Choby MD1 | Ravindra Ganesh MBBS, MD2 | Janalee K. Stokken MD1 | Erin K. O'Brien MD1",0.0,,False
7,"1Mayo Clinic Department of OtolaryngologyHead and Neck Surgery, Mayo Clinic, Rochester, Minnesota, USA 2Mayo Clinic Department of General Internal Medicine, Mayo Clinic, Rochester, Minnesota, USA 3Mayo Clinic Department of Health Sciences Research, Mayo Clinic, Rochester, Minnesota, USA",0.0,,False
8,"Correspondence Erin K. O'Brien, MD, Mayo Clinic Department of Otolaryngology-Head and Neck Surgery, Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Email: obrien.erin@mayo.edu",0.0,,False
9,Abstract,0.0,,False
10,"Objectives: Dysfunction in smell or taste is well recognized phenomenon in patients infected with SARS-CoV-2. This study aimed to quantify the incidence and associated co-morbidities of reported olfactory or gustatory dysfunction in patients who tested positive for SARS-CoV-2. Methods: From March 23, 2020 through July 31, 2020, 192,683 patients were tested for SARS-CoV-2 at Mayo Clinic. These patients with a positive test were contacted via telephone by physicians at Mayo Clinic and information gathered on patient demographics, comorbidities, symptoms and clinical risk stratification based on these factors. Results: Two thousand two hundred and fifty patients tested positive for SARSCoV-2 (1.2%). Six hundred and sixty-seven (29.6%) of these patients reported loss of smell or taste. Factors found to be correlated with reporting loss of smell or taste on multivariate analysis were: younger age, female sex, or symptoms of chest pain or tightness, cough, or headache and lower clinical risk category. Coronary artery disease (CAD) was associated with not reporting loss of taste or smell. Conclusion: Of 2250 patients testing positive for SARS-CoV-2 at Mayo Clinic, 667 reported loss of taste and smell. Patients who reported loss of smell or taste were younger, female and more likely to report cough, chest pain, headache, or history of chronic obstructive pulmonary disease (COPD), but overall had fewer high-risk comorbidities. Those who were older, male, and a reported history of CAD were less likely to report chemosensory dysfunction. Our data are the largest single institution data reporting COVID-19 associated loss of smell or taste, and the first to associate COPD and CAD as factors that affect rates of reported chemosensory dysfunction. Level of evidence: IIB.",1.0,SARS-CoV-2,True
11,"KEYWORDS ACE2, COVID-19, SARS-CoV-2, smell, taste",1.0,COVID-19,True
12,"This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made. © 2022 The Authors. Laryngoscope Investigative Otolaryngology published by Wiley Periodicals LLC on behalf of The Triological Society.",0.0,,False
13,Laryngoscope Investigative Otolaryngology. 2022;1-7.,0.0,,False
14,wileyonlinelibrary.com/journal/lio2,0.0,,False
15,1,0.0,,False
16,"23788038, 0, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/lio2.911 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
17,2,0.0,,False
18,JOHNSON ET AL.,0.0,,False
19,1 | INTRODUCTION,0.0,,False
20,"The 2019 novel coronavirus (COVID-19) global pandemic has caused widespread morbidity and mortality and has prompted investigation to better understand and characterize the disease. Smell and taste dysfunction are common symptoms in COVID-19 patients.1,2 One systemic review and meta-analysis of smell and taste dysfunction in nearly 20,000 COVID-19 patients places olfactory dysfunction at 48% and gustatory dysfunction at 41%.3 Other systematic reviews and meta-analyses publish similar results regarding the rates of smell and taste dysfunction.4-6 However, there is little in the literature regarding comorbidities that are associated with reporting loss of smell or taste. Female sex and younger age have been associated with reporting loss of smell or taste in some smaller studies.7,8 This study reports the incidence olfactory and gustatory symptoms and characterizes the associated attributes and comorbidities of 2250 patients who tested positive for SARS-CoV-2 at Mayo Clinic from March 23, 2020 to July 31, 2020. Additionally, there is discussion of relevant literature regarding the ACE2 receptor as the cellular entry point for SARSCoV-2, variable expression of ACE2 in certain comorbid conditions, and the role these factors may play on rates of reported chemosensory dysfunction.",1.0,coronavirus,True
21,2 | MATERIALS AND METHODS,0.0,,False
22,2.1 | IRB statement,0.0,,False
23,This study was approved by the Mayo Clinic COVID-19 Research Committee and the Mayo Clinic Institutional Review Board.,1.0,COVID-19,True
24,2.2 | Subjects and setting,0.0,,False
25,"In response to COVID-19, Mayo Clinic created a multidisciplinary telehealth team--COVID Frontline Care Team (CFCT). The CFCT team included physicians, nursing, and allied health staff. Nasopharyngeal PCR samples were collected at Mayo Clinic Rochester and Mayo Clinic Health System (MCHS) satellite sites across Minnesota and Wisconsin from local, regional, national, and international patients. Patients were tested for SARS-CoV-2 based on self-reported symptoms, clinical suspicion, or screening prior to medical care involving aerosol-generating procedures at Mayo Clinic.",1.0,COVID-19,True
26,"Patients who tested positive were contacted by phone by a member of the CFCT team. As part of the enrollment under the care of the CFCT, demographic and clinical information was obtained by a physician during the initial contact. The physician-led team recorded patient-reported comorbidities including smoking status, diabetes, chronic obstructive pulmonary disease (COPD)/emphysema, asthma, chronic lung disease, congestive heart failure, coronary artery disease (CAD), end stage liver disease, and obesity. These comorbidities were analyzed for this study. Furthermore, a clinical risk group system triaged high-risk patients and identified those most at risk for severe",1.0,positive,True
27,"infection and poor clinical outcomes. These groups were established by the following risk factors: age > 65 years; history of diabetes, chronic lung disease (asthma, cystic fibrosis, COPD, emphysema, idiopathic pulmonary fibrosis, and bronchiectasis), congestive heart failure, liver cirrhosis, end-stage renal disease, or bone marrow/organ transplant; active smoker; active chemotherapy; or obesity with BMI > 40. The low-risk group was defined by 0 risk factors, medium had 1 risk factor, high had 2 or more, and ultra-high had 4 or more risk factors.",1.0,clinical,True
28,"Symptoms present at the time of contact after the initial positive test were also queried. These included yes or no answers to symptoms of loss of taste or smell, chest pain or tightness, lightheadedness and/or dizziness, cough, fever, chills, muscle aches, sore throat, and headache. The question used to investigate smell and taste was ""have you noticed any loss of taste or smell?"" There was no objective testing.",1.0,contact,True
29,"Patients included in this study were tested at Mayo Clinic Rochester and the Mayo Clinic Health System (MCHS) from March 23, 2020 to July 31, 2020. Inclusion criteria were any patient who tested positive and gave authorization to share data for research purposes. The only exclusion criteria were insufficient data collection and lack of authorization for research. The Mayo CFCT maintained a prospective clinical REDCap (Research Electronic Data Capture) database for all patients managed by the team. Patients who did not agree to the Minnesota Research Agreement were excluded. For this prospectively enrolled retrospective study, the CFCT clinical database was queried and data abstracted for patients who gave research authorization and were managed from March 23, 2020 to July 31, 2020.",1.0,positive,True
30,2.3 | Statistical methods,0.0,,False
31,"Demographic and clinical factors of those who reported loss of taste or smell and those who did not were compared under univariable and multivariable analysis. Univariable comparisons were performed using Chi-square tests for categorical variables and Kruskal-Wallis tests for continuous explanatory variables, as appropriate. Multivariable logistic regression was performed to examine differences between groups based on variables that met statistical significance on univariable analysis, while accounting for baseline factors such as age and sex. All analyses were performed using SAS version 9.4 (SAS Institute Inc.). Study data were collected and managed using REDCap.",1.0,clinical,True
32,3 | RESULTS,0.0,,False
33,"From March through July 2020, 192,683 tests for SARS-CoV-2 were performed at Mayo Clinic Rochester and across the MCHS. Approximately 4400 SARS-CoV-2 positive patients were managed by the CFCT program during this time frame, and 2250 patients met the inclusion criteria. Among these patients testing positive, 1877 were within the low clinical risk group, 155 in the medium clinical risk group, 210 high clinical risk group, and 8 in the ultra-high clinical risk",1.0,SARS-CoV-2,True
34,"23788038, 0, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/lio2.911 by MORGAN STATE UNIVERSITY, Wiley Online Library on [16/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
35,JOHNSON ET AL.,0.0,,False
36,3,0.0,,False
37,"T A B L E 1 Univariate analysis of demographics, comorbidities, and symptoms of patients with COVID-19 associated loss of taste or smell",1.0,COVID-19,True
38,"Univariate analysis of patient demographics, comorbidities, and symptoms",0.0,,False
39,Loss of taste or smell,0.0,,False
40,"Sex, n (%) Female Male",0.0,,False
41,Age N Mean (SD) Median (IQR) Range,0.0,,False
42,"Race, n (%) American Indian/Alaskan Native Asian Black or African American Native Hawaii/Pacific Islander Other White Missing",0.0,,False
43,"Ethnicity, n (%) Hispanic or Latino Not Hispanic or Latino Other Missing",0.0,,False
44,"Current smoker, n (%) Present Absent",0.0,,False
45,"Diabetes, n (%) Present Absent",0.0,,False
46,"COPD/emphysema, n (%) Present Absent",0.0,,False
47,"Asthma, n (%) Present Absent",0.0,,False
48,"Chronic lung disease, n (%) Present Absent",1.0,disease,True
49,"Congestive heart failure, n (%) Present Absent",0.0,,False
50,"Coronary artery disease, n (%) Present Absent",1.0,disease,True
51,"End stage liver disease, n (%) Present Absent",1.0,disease,True
52,"Reported (N , 667)",0.0,,False
53,390 (58.5%) 277 (41.5%),0.0,,False
54,"667 37.2 (14.81) 34.1 (24.0, 47.7) 17.2, 84.9",0.0,,False
55,1 (0.2%) 47 (7.2%) 97 (14.8%) 2 (0.3%) 132 (20.1%) 377 (57.5%) 11,0.0,,False
56,156 (23.5%) 475 (71.4%) 34 (5.1%) 2,0.0,,False
57,47 (7.0%) 620 (93.0%),0.0,,False
58,56 (8.4%) 611 (91.6%),0.0,,False
59,10 (1.5%) 657 (98.5%),0.0,,False
60,58 (8.7%) 609 (91.3%),0.0,,False
61,18 (2.7%) 649 (97.3%),0.0,,False
62,4 (0.6%) 663 (99.4%),0.0,,False
63,6 (0.9%) 661 (99.1%),0.0,,False
64,3 (0.4%) 664 (99.6%),0.0,,False
65,"Not reported (N , 1583)",0.0,,False
66,811 (51.2%) 772 (48.8%),0.0,,False
67,"1583 41.9 (17.32) 39.3 (26.4, 54.9) 4.9, 96.1",0.0,,False
68,4 (0.3%) 88 (5.6%) 263 (16.8%) 0 (0.0%) 265 (16.9%) 946 (60.4%) 17,0.0,,False
69,328 (20.8%) 1173 (74.5%) 74 (4.7%) 8,0.0,,False
