,sentence,label,data,regex
0,Women's Health Issues xxx-xx (2022) 1-8,0.0,,False
1,www.whijournal.com,0.0,,False
2,Original Article,0.0,,False
3,Psychological Distress and Heavy Alcohol Consumption Among U.S. Young Women During the COVID-19 Pandemic,1.0,COVID-19,True
4,"Hyeouk Chris Hahm, PhD a,*, Kelly C. Hsu, BS b, Sunah Hyun, PhD c, Kaiden Kane, BS d, Cindy H. Liu, PhD e",0.0,,False
5,"a Boston University, School of Social Work, Boston, Massachusetts b Tufts University, Medford, Massachusetts c Department of Pediatric Newborn Medicine, Brigham and Women's Hospital, Boston, Massachusetts d Boston Children's Hospital, Boston, Massachusetts e Harvard Medical School, Brigham and Women's Hospital, Boston, Massachusetts",1.0,Social,True
6,Article history: Received 16 March 2022; Received in revised form 24 August 2022; Accepted 15 September 2022,0.0,,False
7,abstract,0.0,,False
8,"Introduction: The predictors of heavy drinking among U.S. young women during the coronavirus disease 2019 (COVID19) pandemic are not well-examined. This study aims to determine the prospective relationship between COVID-19 psychological distress and heavy alcohol use among U.S. young adult women. Design: This study used the COVID-19 Adult Resilience Experiences Study (CARES) data collected from April 13, 2020, to August 31, 2020 (T1) and September 21, 2020, to March 15, 2021 (T2). Among the young adults (ages 18-30) who participated in both surveys, a total of 684 identified as women (including transgender women) were included in the analysis. Three or more drinks as a typical intake were defined as heavy drinking. Psychological distress in T1 was measured using scores for financial stress, COVID-19-related worry, and COVID-19-related grief. A series of logistic regression analyses were performed to identify risk factors associated with young women's heavy drinking during the pandemic. Results: Twenty-two and one-half percent of young women reported heavy drinking in a typical intake. After controlling for covariates, women who reported high levels of COVID-19-related grief were more likely to report heavy drinking (odds ratio, 1.06; 95% confidence interval [CI], 1.01-1.13; p < .05). Those with high levels of COVID-19-related worry were less likely to report drinking heavily (odds ratio, 0.90; 95% confidence interval, 0.85-0.97; p < .01). Conclusions: Those who suffer from a deeper sense of COVID-19-related grief are particularly at risk of heavy drinking and should be targeted for outreach and clinical intervention. Further research is necessary to determine the long-term impacts of the pandemic on heavy drinking among young women and should include a more comprehensive assessment of psychological distress. Ó 2022 Jacobs Institute of Women's Health, George Washington University. Published by Elsevier Inc. All rights reserved.",1.0,coronavirus,True
9,"Heavy drinking is considered the riskiest form of alcohol consumption and is defined as the consumption of four or more drinks on any day for men and three or more drinks on any day for women (National Institute on Alcohol Abuse and Alcoholism, 2021). According to the National Survey on Drug Use and Health, the highest rate of alcohol use between 2019 and 2020 was found among individuals, both men and women, between the ages of",1.0,,True
10,"Funding Statement: Supported by the National Science Foundation (2027553) award (H.C.H., C.H.L.), a Mary A. Tynan Faculty Fellowship, and an NIMH K23 MH 107714-01 A1 award (to C.H.L.).",0.0,,False
11,"* Correspondence to: Hyeouk Chris Hahm, PhD, Professor Boston University, School of Social Work, 264 Bay State Road, #222, Boston, MA 02215. Phone: (617) 353-3925.",1.0,Social,True
12,E-mail address: hahm@bu.edu (H.C. Hahm).,0.0,,False
13,"18 and 25. (Substance Abuse and Mental Health Services Administration, 2022).",0.0,,False
14,"Heavy drinking is a known risk for problematic behaviors and poor health outcomes, including interpersonal violence, property crimes, motor vehicle crashes, suicide, heart disease, sexually transmitted infections, liver disease, and cancer (Centers for Disease Control and Prevention [CDC], 2021). The financial cost of heavy alcohol use was estimated at approximately $249 billion in 2010 (Sacks, Gonzales, Bouchery, Tomedi, & Brewer, 2015). Thus, from legal, financial, and public health standpoints, it is critical to understand the factors associated with heavy drinking among young adults.",1.0,personal,True
15,Women with heavy drinking problems are particularly vulnerable to multiple dimensions of suffering. They are more,1.0,,True
16,"1049-3867/$ - see front matter Ó 2022 Jacobs Institute of Women's Health, George Washington University. Published by Elsevier Inc. All rights reserved. https://doi.org/10.1016/j.whi.2022.09.002",0.0,,False
17,2,0.0,,False
18,H.C. Hahm et al. / Women's Health Issues xxx-xx (2022) 1-8,0.0,,False
19,"likely than their male counterparts to experience depression (King, Bernardy, & Hauner, 2003; Boykoff et al., 2010), develop a higher risk of psychiatric and physical comorbidities (Erol & Karpyak, 2015; Peltier et al., 2019), attempt suicide (Glasheen, Pemberton, Lipari, Copello, & Mattson, 2015), experience greater physiological consequences (Erol & Karpyak, 2015; Peltier et al., 2019), suffer from a higher level of sexual victimization and revictimization (Bryan et al., 2016), and report stigma as an alcohol treatment barrier (Khan et al., 2013). Women's alcohol consumption is associated with an increased risk of having liver disease, breast and other cancers, and negative impacts on the brain and heart (CDC, 2020). Furthermore, heavy alcohol use in pregnant women can lead to a higher risk of stillbirth, miscarriage, and sudden infant death syndrome after birth (CDC, 2020). Despite documented gender differences in alcohol use, few studies have examined the specific factors associated with heavy drinking among women during the COVID-19 pandemic (CDC, 2020). Given the evidence that women are more susceptible to alcohol-related health consequences (Peltier et al., 2020), it is essential to investigate young women's risk factors for heavy drinking during the COVID-19 pandemic.",1.0,disease,True
20,"The COVID-19 pandemic led to an enormous amount of stress owing to the rapid transmission of the disease and its associated morbidity and mortality (Sharif Nia et al., 2022). Combined with the unpredictable nature of the disease, a number of COVID-19- specific distresses have emerged, including worries about the health of self and loved ones, increased fear of transmission, feeling a sense of loss and grief, and financial stress (Bertuccio & Runion, 2020; Lechner et al., 2021). The stress and coping hypothesis indicate that individuals often cope with stress with either adaptive or maladaptive behaviors (Cohen & Wills, 1985). Alcohol use may be a behavior that mitigates COVID-19-related distress. In fact, the COVID-19 pandemic led to a dramatic increase in alcohol consumption; the average number of drinks between February and April of 2020 increased by 29% (Barbosa, Cowell, & Dowd, 2021). Studies demonstrate that compared with men, women are more likely to drink in response to stress (Becker & Koob, 2016; Peltier et al., 2019), which is a concerning trend given that women are more vulnerable to experiencing pandemic-related psychological distress (Brooks et al., 2020; Taylor, 2019).",1.0,COVID-19,True
21,"Evidence showed that the pandemic exacerbated the gender imbalance in the division of labor such that women disproportionately absorbed the caregiving obligations for homeschooling their children as well as handled more domestic responsibilities. As a result, women were less able to contribute to the paid workforce (Stefanova, Farrell, & Latu, 2021). In May 2020, 11% of women faced underemployment compared with 7% of men (Golden & Kim, 2020). Additionally, women have endured more severe stress owing to health and childcare issues (Connor et al., 2020). As intimate partner violence increased during the pandemic, women were more likely to be victimized, placing their mental and physical well-being at risk (Lyons & Brewer, 2021; McNeil, Hicks, Yalcinoz-Ucan, & Browne, 2022). Studies suggest that, during the initial months of the COVID-19 pandemic, a greater proportion of women compared with men exceeded their drinking limits through engaging in heavy drinking (Barbosa et al., 2021) and that women drank alcohol more frequently than men in general (Pollard, Tucker, & Green, 2020). Thus, a gender-specific approach to better understand the role of COVID-19 distress on young women's heavy alcohol use is warranted.",1.0,pandemic,True
22,"In this study, we hypothesized that three specific types of psychological distress during the COVID-19 pandemic would predict women's heavy drinking. First, COVID-19-related grief may be linked to heavy drinking. During the pandemic, the loss of life, opportunities, and vital resources coupled with general uncertainties, all contributed to a collective sense of grief (Bertuccio & Runion, 2020). Drinking may be one coping mechanism used by individuals against unexpected losses and grief. Second, COVID19-related worry (e.g., fear of contracting COVID, being unable to maintain contact with loved ones) may also be associated with increased drinking. Rogers, Shepherd, Garey, and Zvolensky (2020) found that those who initiated using substances during the pandemic had greater COVID-19-related worry than those who never used substances. Finally, COVID-19-related financial stress may be a critical factor when considering that financial stress was also associated with alcohol-related problems during the COVID19 pandemic among U.S. adults (Rodriguez, Litt, & Stewart, 2021). Another study found that financial-related distress was the sole factor associated with an increase in risky drinking patterns over time among U.S. adults (Lechner et al., 2021).",1.0,COVID-19,True
23,"In addition, women's poor mental health statusdincluding the risk factors of depression and anxietydmay be associated with heavy drinking. Several studies found that preexisting mental health diagnoses and mental health problems (e.g., substance use disorders, anxiety, depression) were associated with elevated alcohol consumption during the pandemic (Capasso et al., 2021; Hansel, Saltzman, Melton, Clark, & Bordnick, 2022; Holmes et al., 2020; Pfefferbaum & North, 2020; Yazdi, Fuchs-Leitner, Rosenleitner, & Gerstgrasser, 2020). During the COVID-19 pandemic, high anxiety and depression were associated with increased drinking (Devoto, HimeleinWachowiak, Liu, & Curtis, 2022). Overall, those with a preexisting mental health diagnosis may be at greater risk for increased alcohol use. Last, loneliness may be another risk factor among young women during the pandemic. One multicountry study found that loneliness is strongly associated with high alcohol use among women during the pandemic, suggesting that alcohol is used to cope with loneliness (O'Sullivan et al., 2021).",1.0,pandemic,True
24,"Studies have generally demonstrated an association between these risk factors and heavy drinking. However, no published research is based on longitudinal data to understand the extent to which COVID-19-related distress (grief, worry, and financial stress) is associated with heavy alcohol intake after controlling for other risk factors among young women during the pandemic. This study uses the longitudinal data from the COVID-19 Adult Resilience Experiences Study (CARES 2020 Project) that tracked the cohort panel of young adults in the U.S. in 2020 and 2021 to document changes in their health and well-being over time. The objectives of the present study are to 1) estimate the prevalence of heavy alcohol use among U.S. young women and 2) determine the relationship between COVID-19-related distresses, mental health status, and loneliness during T1 and heavy alcohol consumption during T2 among U.S. young women. Understanding these potential factors will help to design strategies and interventions to decrease excessive alcohol use for young women in the United States.",1.0,COVID-19,True
25,Methods,0.0,,False
26,Recruitment and Procedure,0.0,,False
27,"The present study draws from CARES (see previous papers for details; Liu, Stevens, Conrad, & Hahm, 2020a; Liu, Zhang, Wong,",0.0,,False
28,H.C. Hahm et al. / Women's Health Issues xxx-xx (2022) 1-8,0.0,,False
29,3,0.0,,False
30,"Hyun, & Hahm, 2020b; Hahm et al., 2021a; Hahm et al., 2021b), which follows young adults across two time points after their initial enrollment in 2020 when they were 18-30 years of age. Participants were recruited online via listservs and Facebook groups for the school organizations or various clubs, alumni groups, classes, and churches. Although the initial recruitment took place in the New England area, additional listservs in the Midwest, South, and West were used to make the sample more geographically diverse. During the study, participants were asked to complete a 30-minute online survey about their COVID-19- related experiences, risk and resilience, and physical and mental health outcomes. All participants completed an electronic consent form. For the T1 survey, one out of every 10 participants received a $25 gift card. The first invitation to the second survey was sent approximately 5.5 months after the T1 completion date. Participants were given $10 gift cards when they completed the T2 survey. Three different attention checks were embedded in the survey to ensure data quality. Study approval was obtained from the Institutional Review Board of Boston University.",1.0,area,True
31,"A total of 1,221 young adults took part in the T1 survey (T1 defined as April 13, 2020, to August 31, 2020). Participants who agreed to be contacted again during CARES T1 were invited to participate in T2 (T2 defined as September 21, 2020, to March 15, 2021). Among those who were contacted, 65.9% completed surveys for T2, for a total of 805 participants. For this study, those who identified themselves as women (including transgender women) were selected for the analysis (n ¼ 684). Between T1 and T2, no significant differences in demographic characteristics were observed except for participants' student status, because many of them had graduated (students at T1, 70.2% vs. students at T2, 56.9%; p < .001).",1.0,contact,True
32,Measures,0.0,,False
33,"Covariates Demographics. Covariates were age, race/ethnicity, current student status (college/graduate students), and income from the previous year, including all sources such as social security/ disability, stocks, alimony, and child support.",1.0,social,True
34,"Duration of the pandemic. The pandemic duration was calculated by counting the number of days from the date when COVID-19 was declared as a global pandemic (March 11, 2020) by the World Health Organization. The pandemic duration was included as one of the covariates to consider possible correlations between the date when the survey was conducted and the outcome variables.",1.0,pandemic,True
35,"Psychological distress measures COVID-19-related grief. A newly developed six-item measure adapted from the Inventory of Complicated Grief (Prigerson et al., 1995) assessed COVID-19-related feelings of grief and loss. After viewing six grief-or loss-related statements, participants rated their sense of agreement on a scale of 1 (strongly disagree) to 5 (strongly agree). Statements included missing out on significant life events, losing vital resources (e.g., housing, mentorship, food access), feeling stunned over COVID-19, and feeling bitter over loss in daily routines and activities (Liu et al., 2020a,b). Sum scores of measures ranged from 6 to 30. Cron-",1.0,COVID-19,True
36,"bach's a for measure items was 0.75, indicating good reliability.",0.0,,False
37,"indicate their level of worry for each item on a scale of 1-5, with 1 being not worried at all and 5 being very worried. Items include, ""Having enough groceries during city lockdowns/social distancing protocols,"" ""obtaining a COVID-19 test if I become sick,"" ""getting treated for COVID-19 if I contract it,"" and ""keeping in touch with loved ones during social distancing protocols"" (Liu et al., 2020a,b). Two items related to financial worry (worry about maintaining employment during the subsequent economic downturn; worry about having enough money to pay for rent and buy necessities) were omitted because these items were similar to the items on COVID-19-related financial stress. Sum scores were calculated with a possible range of 6-30 and recoded into a dichotomous variable",1.0,social,True
38,with a cutoff score of 24 or greater as highly worried. Cronbach's a,0.0,,False
39,"for measure items was 0.72, indicating good reliability.",0.0,,False
40,COVID-19-related financial stress. Two questions were used to measure participants feeling stressed about personal finances and worrying about being able to pay monthly expenses on a scale ranging from 1 (strongly disagree) to 4 (strongly agree). Two items were summed to create the total score. The observed values ranged from 2 to 8. The correlation between these two items was 0.67.,1.0,COVID-19,True
41,"Mental health status measures Preexisting diagnosis. Respondents were asked whether they had ever been diagnosed with generalized anxiety disorder, depression, or post-traumatic stress disorder. For each disorder, respondents were asked to indicate yes, diagnosed but not treated, yes, diagnosed and treated, suspected, but not diagnosed, or no. We developed a dichotomous variable for each disorder. If respondents indicated either yes, diagnosed and treated or yes, diagnosed and untreated, they were coded as 1, indicating that they have a preexisting diagnosis for each of the disorders. If they responded as suspected, but not diagnosed or no, they were coded as 0, indicating not having a preexisting diagnosis for each disorder.",0.0,,False
42,"Depressive symptoms. The prevalence of depression and its severity in the past two weeks was measured using the 8-item Patient Health Questionnaire depression scale (Kroenke et al., 2009), and participants rated each item on a scale of 0 (not at all) to 3 (nearly every day). Items include, ""How often in the past 2 weeks were you bothered by little interest or pleasure in doing things,"" ""feeling down, depressed, or hopeless,"" and ""poor appetite or overeating."" The scores for each item were summed and ranged from 0 to 24 points. The scores were recoded dichotomously, with a cutoff of 10 or higher indicating major depression. The internal reliability of the eight-item Patient Health Questionnaire depression scale was excellent, with a",0.0,,False
43,Cronbach's a of 0.87.,0.0,,False
44,"Anxiety symptoms. Using the widely used Generalized Anxiety Disorder Scale (Spitzer, Kroenke, Williams, & Lowe, 2006), participants' frequency of anxiety symptoms in the past 2 weeks was assessed. The frequency of each symptom was rated on a scale of 0 (not at all) to 3 (nearly every day). Sum scores ranged from 0 to 21 and were recoded dichotomously to determine elevated anxiety based on a cutoff score of 10 or higher. This was based on previous cutoff conventions for this scale (Plummer et al., 2016). The internal consistency of the Generalized Anxi-",0.0,,False
45,ety Disorder Scale was excellent (Cronbach a ¼ 0.90).,0.0,,False
