,sentence,label,data,regex
0,"24750379, 2022, 7, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/rth2.12814 by MORGAN STATE UNIVERSITY, Wiley Online Library on [15/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,Received: 8 April 2022 | Revised: 17 June 2022 | Accepted: 25 July 2022,0.0,,False
2,DOI: 10.1002/rth2.12814,0.0,,False
3,ORIGINAL ARTICLE,0.0,,False
4,Hereditary thrombotic thrombocytopenic purpura and COVID-­19: Impacts of vaccination and infection in this rare disease,1.0,disease,True
5,"Erika Tarasco PhD1,2 | Anne Sophie von Krogh MD3,4| Radomira Hrdlickova MD5| Thomas R. Braschler MD6| Teresa Iwaniec PhD7| Paul N. Knöbl MD8 | Eriko Hamada MD9 | Oleg Pikovsky MD10| Stefan Farese MD11| Odit Gutwein MD12| Petr Kessler MD13| Nina H. Schultz MD14| Charis von Auer MD15| Jerzy Windyga MD16| Kenneth Friedman MD17| Ingrid Hrachovinova PhD18 | James N. George MD19| Masanori Matsumoto MD9 | Reinhard Schneppenheim MD20| Bernhard Lämmle MD1,21 | Johanna Anna Kremer Hovinga MD1,2",0.0,,False
6,"1Department of Hematology and Central Hematology Laboratory, Inselspital, Bern University Hospital, Bern, Switzerland 2Department for BioMedical Research (DBMR), University of Bern, Bern, Switzerland 3Department of Hematology, St. Olavs Hospital, Trondheim University Hospital, Trondheim, Norway 4Department of Clinical and Molecular Medicine, Faculty of Medicine and Health Sciences, Norwegian University of Science and Technology, Trondheim, Norway 5Blood Center, University Hospital Ostrava, Ostrava, Czech Republic 6Center for Clinical Hematology, Luzerne Kantonsspital, Lucerne, Switzerland 7Department of Hematology, Jagiellonian University Medical College, Krakow, Poland 8Division of Hematology and Hemostasis, Department of Medicine I, Medical University of Vienna, Vienna, Austria 9Department of Blood Transfusion Medicine, Nara Medical University, Kashihara, Japan 10Transfusion Medicine Institute, Faculty of Health Sciences, Ben-­Gurion University of the Negev, Soroka University Medical Center, Beer-­Sheva, Israel 11Department of Nephrology, Burgerspital, Solothurn, Switzerland 12Department of Hematology, Shamir Medical Center, Zerifin, Israel 13Department of Hematology and Transfusion Medicine, Hospital Pelhrimov, Pelhrimov, Czech Republic 14Department of Hematology, Oslo University Hospital, Oslo, Norway 15Department of Hematology, Oncology, and Pneumology, Center for Thrombosis and Hemostasis, University Medical Center Mainz, Mainz, Germany 16Department of Haemostasis Disorders and Internal Medicine, Institute of Hematology and Transfusion Medicine, Warsaw, Poland 17Division of Hematology and Oncology, Versiti Blood Center of Wisconsin, Medical College of Wisconsin, Milwaukee, Wisconsin, USA 18Institute of Hematology and Blood Transfusion, Prague, Czech Republic 19Department of Biostatistics & Epidemiology, College of Public Health, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, USA 20Department of Pediatric Hematology and Oncology, University Medical Center Hamburg-­Eppendorf, Hamburg, Germany 21Center for Thrombosis and Hemostasis, University Medical Center Mainz, Mainz, Germany",1.0,Clinical,True
7,"This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made. © 2022 The Authors. Research and Practice in Thrombosis and Haemostasis published by Wiley Periodicals LLC on behalf of International Society on Thrombosis and Haemostasis (ISTH).",0.0,,False
8,Res Pract Thromb Haemost. 2022;6:e12814. https://doi.org/10.1002/rth2.12814,0.0,,False
9,wileyonlinelibrary.com/journal/rth2 | 1 of 7,0.0,,False
