,sentence,label,data,regex
0,A qualitative descriptive cross sectional study to assess the development of stress among Fujairah Primary health care nurses and ways of coping up during Covid-19 pandemic crisis.,1.0,pandemic,True
1,Reena Varghese (  reenashibu3@gmail.com ) EHS UAE,0.0,,False
2,"Research Article Keywords: nursing, COVID-19, qualitative, health workers, pandemic, stress, content analysis Posted Date: November 2nd, 2022 DOI: https://doi.org/10.21203/rs.3.rs-2228737/v1 License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License",1.0,COVID-19,True
3,Page 1/12,0.0,,False
4,Abstract,0.0,,False
5,Aim: The aim of this study was to explore perceptions of the most salient sources of stress in the early stages of the coronavirus pandemic in a sample of nurses who were working in Fujairah Primary health care during the year 2020-21.,1.0,coronavirus,True
6,"Background: During pandemic process, nurses reported to experience stress due to a very high risk of being infected and workload. The coronavirus disease (COVID-19) pandemic has exposed nurses to conditions that threaten their health, well-being, and ability to work. It is therefore critical to study nurses' experiences and well-being during the current crisis in order to identify risk groups for ill health and potential sources of organizational intervention.",1.0,pandemic,True
7,"Method: A qualitative descriptive cross-sectional study with a sample consisting of 180 nurses working in Fujairah Primary health care centers. To collect data, an online survey questionnaire was formulated which was used together with the Perceived Stress Scale among a sample of 280 nurses who were working in Fujairah Primary health care 2021. Content analysis was conducted on nurses' responses (n , 180) for their perceptions.",0.0,,False
8,"Results: 180 nurses' responses(N) were randomly chosen as samples in this current study of which majority were female (n ,"" 161, 89.4%) and only 10.6% (n"",""19) were males. Findings revealed the distribution of respondents by stress level either low and moderate. 89.4% of respondents had moderate stress level as compared to 10.6% with less stress. There is no presence of normal and high stress. There was no significant association between the stress when compared to socio-economic factors like age, gender, marital status, qualification, and job title (P > 0.05). But when it compared to the relationship with working position and working area, it was showing a significant association (P 0.05).""",1.0,area,True
9,"Conclusion: Nearly more than half of the nurses in Fujairah primary health care centers perceived stress above average during COVID-19 pandemic, and their working conditions also affected this situation.",1.0,COVID-19,True
10,"Implications for Nursing Management: Healthcare institutions should provide opportunities for nurses to discuss the stress they are experiencing, support one another, and make suggestions for workplace adaptations during this pandemic. Meeting physiological needs, applying psychological guidance and counselling interventions in the stress management of nurses may contribute to the reduction of their stress levels. Effective infection control, reducing workload, increasing the number of nurses and strengthening the coping mechanisms can minimize the perceived stress level of nurses.",1.0,pandemic,True
11,1. Introduction,0.0,,False
12,1.1 Background of the Study,0.0,,False
13,"The COVID-19 pandemic has started to threaten the health care systems of countries and has increased the burden on health care professionals (Chen & Huang, 2020;Açiksari & Kinik, 2020). Health care professionals are the most valuable resource in protecting, preventing and treating public health for all countries (WHO, 2020b; Açiksari & Kinik, 2020; Chen & Huang, 2020). The services of primary health care, which are one of the units where these basic services are provided, are the place that have important roles in the pandemic process as in other disasters and make the first intervention to patients affected by the infectious agent (Açiksari & Kinik, 2020).",1.0,COVID-19,True
14,"As on April 23rd, 2020, more than 2.6 million cases of COVID-19 have been detected globally and the numbers were rising with each passing day. Understandably, parallel and equally urgent need to strengthen primary healthcare was required. There are several reasons for this. Primary Health Centers (PHCs) are likely to be the first point of contact for most COVID-19 patients. Experience from China and Italy suggests that of all patients with the disease, 5- 10 percent become severely ill and require admission to a health facility. About 70 percent of these patients can be managed with supportive care and oxygen, which PHCs can easily provide. Additionally, on account of their proximity to the communities that they serve, primary health facilities are best suited to educate and inform them about COVID-19. And finally, at a time when there is such restricted access to healthcare due to the lockdown, PHCs ensure access to healthcare for pregnant women, elderly, children and high-risk people with conditions such as diabetes, hypertension etc.",1.0,case,True
15,"Disease outbreaks such as COVID 19 pandemic are stress-provoking situations. Stress is common among healthcare workers especially nurses who are directly involved in managing affected patients during pandemic. The main source of stress in nurses during COVID-19 pandemic are fear of becoming infected or unknowingly infecting others. (m o et.al:2020). Shanfelt, Ripp and Trockel (2020) identified other sources of stress in nurses, including lack of personal protective equipment, fear of access to COVID-19 testing, fear of transmitting the virus at work, doubt that their institution would support them if they become infected and fear of being deployed in an unfamiliar ward or unit and lack of accurate information on the disease.",1.0,Disease,True
