,sentence,label,data,regex
0,Drug Discoveries & Therapeutics Advance Publication,0.0,,False
1,P1,0.0,,False
2,Brief Report,0.0,,False
3,Advance Publication DOI: 10.5582/ddt.2021.01081,0.0,,False
4,Role of systemic corticosteroids in preventing hypoxia among patients with mild COVID-19: An observational study,1.0,COVID-19,True
5,"Anivita Aggarwal, Ankit Mittal, Manish Soneja*, Sujay Halkur Shankar, Shivdas Naik, Parul Kodan, Neeraj Nischal, Pankaj Jorwal, Animesh Ray, Naveet Wig",0.0,,False
6,"Department of Medicine, All India Institute of Medical Sciences, New Delhi, India.",0.0,,False
7,SUMMARY,0.0,,False
8,"Use of systemic corticosteroids is well-established in COVID-19 patients with hypoxia; however, there is scant data on its role in patients with mild disease and prolonged symptoms as a measure to prevent disease progression. The aim of this study is to evaluate the role of systemic corticosteroids in preventing hypoxia (SpO2  93% on room-air) among mild COVID-19 patients. An observational study was conducted among symptomatic COVID-19 patients taking oral corticosteroids and attending institute teleconsultation facility between 10th-30th June 2021. Patients who were already on corticosteroids for other indication or required oxygen supplementation before or within 24-hours of initiation of corticosteroids were excluded. A total of 140 consecutive symptomatic COVID-19 patients were included. Higher baseline C-reactive protein (OR: 1.03, 95% CI: 1.02-1.06, p < 0.001) and early systemic corticosteroid (within 7 days) initiation (OR: 6.5, 95% CI: 2.1-20.1, p ,"" 0.001) were independent risk factors for developing hypoxia (SpO2  93%). Progression to hypoxia was significantly higher in patients who received corticosteroids before day 7 of illness (36.7%, 95% CI, 23.4-51.7%) compared to  7 of illness (14.3%, 95% CI, 7.8-23.2%) for persistent fever. Systemic corticosteroids within 7 days from symptom-onset were harmful and increased the risk of progression to hypoxia, whereas it may decrease the risk of progression when administered on or beyond 7 days in patients with mild COVID-19 and persistent symptoms. A well-designed randomised controlled trial is required to validate the findings.""",1.0,COVID-19,True
9,Keywords,0.0,,False
10,"COVID-19, corticosteroids, hypoxia, prolonged fever",1.0,COVID-19,True
11,1. Introduction,0.0,,False
12,"The successive waves of the ongoing pandemic have overwhelmed even the best of healthcare infrastructure globally. While significant evidence has been generated on treatment options for admitted patients with hypoxia; not much progress has been made among non-hypoxic patients barring monoclonal antibodies, the economics of which makes it unlikely to be a game-changer.",1.0,pandemic,True
13,"Identifying risk factors for targeted intervention and preventing progression to hypoxia requiring hospitalization, is a much-needed lacunae in coronavirus disease-2019 (COVID-19) management which needs more attention. Some observational studies have reported prolonged fever as a risk factor for progression to severe disease (1). The randomized controlled trials on corticosteroids used in COVID-19 have not addressed this group of patients. In the RECOVERY trial, corticosteroids were used early in the disease course in non-hypoxic patients (median 6",1.0,coronavirus,True
14,"days), which theoretically is likely to be harmful (2). In April 2021, at the height of the second wave in",0.0,,False
15,"India, guidelines were issued recommending low-dose corticosteroids in confirmed COVID-19 patients with prolonged fever beyond 7 days on a case-to-case basis (3). In this setting, this observational study was carried out to evaluate the role of systemic corticosteroids in preventing hypoxia (SpO2  93% on room-air) among mild COVID-19 patients.",1.0,COVID-19,True
16,2. Methodology,0.0,,False
17,"This was an ambispective observational study approved by the Institute Ethics Committee and carried out between 10th-30th June 2021. Confirmed COVID-19 patients who had availed the teleconsultation facility at our tertiary care hospital in Delhi, India, were contacted. A confirmed case was defined as per the World Health Organization COVID-19 case definition (4). Consecutive patients who were symptomatic and",1.0,COVID-19,True
18,www.ddtjournal.com,0.0,,False
19,P2,0.0,,False
20,Drug Discoveries & Therapeutics Advance Publication,0.0,,False
