,sentence,label,data,regex
0,https://doi.org/10.1017/S000711452200215X Published online by Cambridge University Press,0.0,,False
1,Accepted manuscript,0.0,,False
2,Role of sarcopenia risk in predicting COVID-19 severity and length of hospital stay in older adults: a prospective cohort study,1.0,COVID-19,True
3,"Elham Sadat Ahmadiani1, Shadi Ariyanfar1,2, Mohammadreza Soroush3, Soodeh Razeghi Jahromi1, 2* 1Department of Clinical Nutrition and Dietetics, Faculty of Nutrition and Food Technology, Shahid Beheshti University of Medical Sciences, Tehran, Iran 2Headache Department, Iranian Center of Neurological Research, Neuroscience Institute, Tehran University of Medical Sciences, Tehran, Iran 3Nikan education and research Center, Tehran, Iran *Correspondence to: Soodeh Razeghi Jahromi; ORCID iD: https://orcid.org/0000-0002-66966583; Department of Food Science and Technology, SBMU, School of Nutrition Sciences and Food Technology, No 46, West Arghavan Std, Farahzadi Blvd, Shahrak Gharb square, Tehran, Iran, 1981619573, Email: soodehrazeghi@gmail.com; Tel: +989126229144. Running title: Sarcopenia risk and COVID-19 severity Number of tables: 6 Number of figures: 1 4 online supplementary files",1.0,Clinical,True
4,"This peer-reviewed article has been accepted for publication but not yet copyedited or typeset, and so may be subject to change during the production process. The article is considered published and may be cited using its DOI 10.1017/S000711452200215X The British Journal of Nutrition is published by Cambridge University Press on behalf of The Nutrition Society",0.0,,False
5,https://doi.org/10.1017/S000711452200215X Published online by Cambridge University Press,0.0,,False
6,Accepted manuscript,0.0,,False
7,Abstract,0.0,,False
8,"Sarcopenia is more common in the elderly and causes adverse outcomes with increased morbidity and mortality. This prospective cohort study assessed the association of sarcopenia risk with the severity of COVID-19 at the time of admission and during hospitalisation and the length of hospital stay. Two hundred patients (aged  60 y) who were hospitalised for COVID19 were enrolled using consecutive sampling between December 29th 2020 and May 20th 2021. The sarcopenia score of the patients was assessed using the Strength, Assistance in walking, Rising from a chair, Climbing stairs, and Falls (SARC-F) questionnaire. The severity of COVID19 was determined using the modified National Early Warning Score (m-NEWS) system for 2019 n-CoV infected patients at admission (T1), day three (T2), and at discharge (T3). Data were analysed using SPSS, version 22 and STATA, version 14. Of the 165 patients included, 34 (20.6 %) were at risk of sarcopenia. The length of hospital stay was slightly longer in patients with sarcopenia risk, but the difference was not significant (P , 0.600). The adjusted odds ratio of respiratory rate (RR) > 20 /min at T1 for the sarcopenia risk group was 6.7-times higher than that for the non-sarcopenic group (P ,"" 0.002). According to Generalized Estimating Equations, after adjusting for confounding factors, the m-NEWS score was 5.6 units higher in patients at risk of sarcopenia (P < 0.001). Sarcopenia risk could exacerbate COVID-19 severity and increase RR at admission, as well as the need for oxygen therapy at discharge.""",1.0,COVID-19,True
9,"Keywords: Sarcopenia, SARC-F questionnaire, COVID-19, National Early Warning Score, Respiratory rate",1.0,COVID-19,True
