,sentence,label,data,regex
0,Endocrine https://doi.org/10.1007/s12020-022-03208-3,0.0,,False
1,REVIEW,0.0,,False
2,"1234567890();,: 1234567890();,:",0.0,,False
3,Vitamin D in the older population: a consensus statement,0.0,,False
4,Andrea Giustina1  Roger Bouillon2  Bess Dawson-Hughes3  Peter R. Ebeling4  Marise Lazaretti-Castro5  Paul Lips6  Claudio Marcocci7  John P. Bilezikian 8,0.0,,False
5,"Received: 17 July 2022 / Accepted: 21 September 2022 © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022",0.0,,False
6,"Abstract Background This paper reports results from the 5th International Conference ""Controversies in Vitamin D"" that was held in Stresa, Italy, 15-18 September 2021. The conference is part of this series that started in 2017 and has been conducted annually since. The objective of these conferences is to identify timely and controversial topics related to Vitamin D. Dissemination of the results of the conference through publications in peer-reviewed journals is an important means by which the most up to date information can be shared with physicians, investigators, and other health care professionals. Vitamin D and aging, the subject of this paper was featured at the conference. Methods Participants were selected to review available literature on assigned topics related to vitamin D and aging and to present their findings with illustrative material, the intent of which was to stimulate discussion and to arrive at a consensus. The presentations were directed towards the following areas: impact of aging on vitamin D production and levels; skeletal effects of vitamin D deficiency in the older population; falls and vitamin D in the aging; potential extra skeletal effects of vitamin D; and strategies to prevent vitamin D deficiency. A final topic was related to how vitamin D might influence the efficacy of vaccines for Covid-19. Results Hypovitaminosis D can lead to several skeletal and extra-skeletal outcomes. Older adults are at risk for vitamin D deficiency as both production and metabolism of vitamin D change with aging due to factors, such as reduced sun exposure and reduced production capacity of the skin. Skeletal consequences of these age-related changes can include reduced bone mineral density, osteomalacia and fractures. Potential extra-skeletal effects can include added risks for falls, reduced muscle strength, diabetes, cancer, and cardiovascular disease. Strategies to avoid these vitamin D deficiency-related negative outcomes include sun exposure, food fortification, and supplementation. While aging does not diminish sufficient reserve capacity for cutaneous vitamin D production, concerns about skin cancers and practical matters for the institutionalized elderly limit this option. Supplementation with vitamin D is the best option either pharmacologically or through food fortification. Regardless of treatment strategies, interventions to restore sufficient vitamin D status will show positive results only in those who are truly deficient. Thus, treatment goals should focus on avoiding 25(OH)D serum levels <30 nmol/l, with a goal to reach levels >50 nmol/l. Conclusions The results of this conference has led to consensus on several issues. Vitamin D supplementation should be combined with calcium to reduce fractures in the older population. The goal for adequate Vitamin D status should be to reach a serum level of 25(OH)D >50 nmol/l. It appears that daily low-dose vitamin D regimens reduce the risk of falling, especially in the elderly, compared with infrequent, large bolus doses that may increase it. The role of Vitamin D supplementation on muscle strength remains to be clarified. On the other hand, supplementation decreases the risk of progression to T2D from prediabetes among those who are Vitamin Ddeficient. Of three possible strategies to establish vitamin D sufficiency - sunshine exposure, food fortification, and supplementation - the latter seems to be the most effective and practical in the aging population.",1.0,area,True
7,Keywords Vitamin D  Aging  Older people  Vitamin D deficiency  Vitamin D supplementation,0.0,,False
8,* John P. Bilezikian Jpb2@cumc.columbia.edu,0.0,,False
9,Extended author information available on the last page of the article,0.0,,False
10,Introduction,0.0,,False
11,"The 5th International Conference ""Controversies in Vitamin D"" was held in Stresa, Italy, 15-18 September 2021 as part",0.0,,False
12,Endocrine,0.0,,False
13,"of this series that started in 2017 [1-7]. The objective of this conference, which featured international experts and leaders, was to review and discuss controversial topics regarding vitamin D. Four sessions addressed different major aspects of vitamin D: aging, gastrointestinal system, guidelines, and COVID-19. Before the event, participants reviewed the available literature on their assigned topic and presented their findings at the time of the conference. After each presentation, open sessions enabled full discussion to reach a consensus. A separate document was prepared for each component of the conference.",1.0,COVID-19,True
