,sentence,label,data,regex
0,Pisella et al. Orphanet J Rare Dis (2021) 16:450 https://doi.org/10.1186/s13023-021-02090-y,0.0,,False
1,RESEARCH,0.0,,False
2,Open Access,0.0,,False
3,A multicenter crosssectional French study,0.0,,False
4,of the impact of COVID19 on neuromuscular,0.0,,False
5,diseases,1.0,disease,True
6,"Lucie Isoline Pisella1, Sara Fernandes2, Guilhem Solé3, Tanya Stojkovic4, Céline Tard5, JeanBaptiste Chanson6, Françoise Bouhour7, Emmanuelle SalortCampana1,8, Guillemette Beaudonnet9, Louise Debergé3, Fanny Duval3, AudeMarie Grapperon8, Marion Masingue4, Aleksandra NadajPakleza6, Yann Péréon10, Frédérique Audic11, Anthony Behin4, Diane Friedman12, Armelle Magot10, JeanBaptiste Noury14, Sarah Souvannanorath15, Karim Wahbi16,17, JeanChristophe Antoine18, Kévin Bigaut6, JeanPhilippe Camdessanché18, Pascal Cintas19, Rabab Debs20, Caroline EspilTaris21, Laurent Kremer6, Thierry Kuntzer22, Pascal Laforêt12,13, Vincent Laugel23, Martial Mallaret24, Maud Michaud25, Sylvain Nollet26, Juliette Svahn7, Savine Vicart4, Rocio Nur VillarQuiles4, Isabelle Desguerre27, David Adams28, Sandrine SegoviaKueny29, Géraldine Merret29, Elhadi Hammouda29, Annamaria Molon1 and Shahram Attarian1,8* ",0.0,,False
7,Abstract,0.0,,False
8,"Background: Due to their health condition, patients with neuromuscular diseases (NMD) are at greater risk of devel oping serious complications with COVID-19. The objective of this study was to analyze the prevalence of COVID-19 among NMD patients and the risk factors for its impact and severity during the first wave of the pandemic. Clinical data were collected from NMD-COVID-19 patients, between March 25, 2020 and May 11, 2020 in an anonymous sur vey carried out by expert physicians from the French Health Care Network Filnemus.",1.0,disease,True
9,"Results: Physicians reported 84 patients, including: 34 with myasthenia gravis, 27 with myopathy and 23 with neuropathy. COVID-19 had no effect on NMD for 48 (58%) patients and 48 (58%) patients developed low COVID-19 severity. COVID-19 caused the death of 9 (11%) NMD patients. Diabetic patients were at greater risk of dying. Patients with diabetes, hypertension or severe forms of NMD had a higher risk of developing a moderate or severe form of COVID-19. In our cohort, corticosteroids and other immunosuppressants were not significantly associated with higher COVID-19 severity for acquired NMD.",1.0,COVID-19,True
10,"Conclusion: During this period, a small percentage of French NMD patients was affected by COVID-19 compared to the general French population and COVID-19 had a limited short-term effect on them. Diabetes, hypertension and a severe degree of NMD were identified as risk factors of unfavorable outcome following COVID-19. Conversely, in our cohort of patients with acquired NMD, corticosteroids or other immunosuppressants did not appear to be risk factors for more severe COVID-19.",1.0,COVID-19,True
11,"Keywords: Neuromuscular diseases, COVID-19, Risk factor, Prognosis",1.0,disease,True
12,"*Correspondence: Shahram.ATTARIAN@ap-hm.fr 1 Filnemus, AP-HM, Marseille, France Full list of author information is available at the end of the article",0.0,,False
13,"© The Author(s) 2021. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativeco mmons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",0.0,,False
14,Pisella et al. Orphanet J Rare Dis (2021) 16:450,0.0,,False
15,Page 2 of 9,0.0,,False
16,"Background Coronavirus-disease-2019 (COVID-19) is caused by coronavirus-2 (SARS-CoV-2). It quickly struck the entire world after its first appearance in China in December 2019 and had catastrophic consequences on populations and health systems worldwide [1]. In France, public health reports on September 21, 2021 declared that 6 956 848 patients had been infected, causing 116 050 deaths [2]. Although COVID-19 has great similarities to SARS and MERS, genome sequencing of SARS-CoV-2 has revealed that it is a novel coronavirus [3]. COVID19 leads to a wide range of clinical signs including fever, fatigue, dry cough, headache, myalgia and anosmia [4, 5]. The symptoms and severity of COVID-19 depend on the patient's age, health condition, sex and immune system [6].",1.0,Coronavirus,True
17,"In France, according to the National Data Bank of Rare Diseases (BNDMR), 50 000 patients suffer from neuromuscular diseases (NMD), a large group of rare diseases (300 forms listed to date) most often of genetic or autoimmune origin which affect both children and adults. As they can be under immunosuppressive and/or immunomodulator therapy, or subject to cardiac or respiratory failures, patients with NMDs are generally considered at high risk of developing serious complications with COVID-19 [6].",1.0,Disease,True
18,"In 2014, the French Ministry of Health created the French Health Care Network for Rare NMDs named",0.0,,False
19,"Filnemus (www.filnemus.fr). Filnemus is a structure with a vast territorial network comprising 71 expert centers [7]. The missions of Filnemus are to coordinate, promote and convene the various actions carried out in the field of rare NMDs.",0.0,,False
20,"Facing the COVID-19 public health emergency, the 71 expert centers of Filnemus, in collaboration with patient organizations involved with NMD, set up a national observatory to enable the collection of data for NMD patients with COVID-19. This national multicenter study aimed to determine the prevalence of COVID-19 for NMD patients and the risk factors for its impact and severity during the first French lockdown period.",1.0,COVID-19,True
21,Results,0.0,,False
22,"Cohort description Data were collected from March 25, 2020 to May 11, 2020 during the first lockdown period in France. During this period, 84 patients followed up in the expert centers and with a diagnosis of definite or probable COVID-19 were reported by experts (Table 1). The cohort included 34 patients with myasthenia gravis, 27 with myopathy and 23 with neuropathy (Table 1). No cases of COVID-19 patients with spinal muscular atrophy were reported during this period. The geographical distribution by region is shown in Fig. 1.",1.0,COVID-19,True
23,"Twenty-eight patients had respiratory failure, 16 patients had heart failure, 10 patients had diabetes, 11",1.0,respiratory,True
24,Table1 Listing of neuromuscular diseases for patients with COVID-19 (n number of patients),1.0,disease,True
25,Myasthenia,0.0,,False
26,n Myopathy,0.0,,False
27,n Neuropathy,0.0,,False
28,n,0.0,,False
