,sentence,label,data,regex
0,J Korean Med Sci. 2022 Oct 24;37(41):e297 https://doi.org/10.3346/jkms.2022.37.e297 eISSN 1598-6357·pISSN 1011-8934,0.0,,False
1,Original Article,0.0,,False
2,Medicine General & Policy,0.0,,False
3,"Received: Jun 19, 2022 Accepted: Aug 23, 2022 Published online: Sep 26, 2022",0.0,,False
4,"Address for Correspondence: Young Kyung Yoon, MD, PhD Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine, 73 Inchon-ro, Seongbuk-gu, Seoul 02841, Korea. Email: young7912@korea.ac.kr",1.0,Infectious,True
5,"© 2022 The Korean Academy of Medical Sciences. This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https:// creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",0.0,,False
6,ORCID iDs Youseung Chung https://orcid.org/0000-0002-6568-0516 Eun Jin Kim https://orcid.org/0000-0001-7008-0497 Hee-Sung Kim https://orcid.org/0000-0001-7559-4438 Kyung-Hwa Park https://orcid.org/0000-0003-2836-6963 Ji Hyeon Baek https://orcid.org/0000-0002-1783-6950 Jungok Kim https://orcid.org/0000-0002-0694-1579 Ji Yeon Lee https://orcid.org/0000-0002-2788-1392 Chang-Seop Lee https://orcid.org/0000-0002-2897-2202 Seungjin Lim https://orcid.org/0000-0001-7939-9744,0.0,,False
7,Maternal and Neonatal Outcomes in,0.0,,False
8,Pregnant Women With Coronavirus,1.0,Coronavirus,True
9,Disease 2019 in Korea,1.0,Disease,True
10,"Youseung Chung ,1 Eun Jin Kim ,2 Hee-Sung Kim ,3 Kyung-Hwa Park ,4 Ji Hyeon Baek ,5 Jungok Kim ,6,7 Ji Yeon Lee ,8 Chang-Seop Lee ,9 Seungjin Lim ,10 Shin-Woo Kim ,11 Eu Suk Kim ,12 Hye Jin Shi ,13 Shin Hee Hong ,13 Jae-Bum Jun ,14 Kyung-Wook Hong ,15 Jae-Phil Choi ,16 Jinyeong Kim ,17 Kyung Sook Yang ,18 and Young Kyung Yoon 1",0.0,,False
