,sentence,label,data,regex
0,Original Article | Thoracic Imaging,0.0,,False
1,eISSN 2005-8330 https://doi.org/10.3348/kjr.2020.0536 Korean J Radiol 2020;21(10):1150-1160,0.0,,False
2,Implementation of a Deep Learning-Based ComputerAided Detection System for the Interpretation of Chest Radiographs in Patients Suspected for COVID-19,1.0,COVID-19,True
3,"Eui Jin Hwang, MD, PhD, Hyungjin Kim, MD, PhD, Soon Ho Yoon, MD, PhD, Jin Mo Goo, MD, PhD, Chang Min Park, MD, PhD",0.0,,False
4,"All authors: Department of Radiology, Seoul National University College of Medicine, Seoul, Korea",0.0,,False
5,"Objective: To describe the experience of implementing a deep learning-based computer-aided detection (CAD) system for the interpretation of chest X-ray radiographs (CXR) of suspected coronavirus disease (COVID-19) patients and investigate the diagnostic performance of CXR interpretation with CAD assistance. Materials and Methods: In this single-center retrospective study, initial CXR of patients with suspected or confirmed COVID-19 were investigated. A commercialized deep learning-based CAD system that can identify various abnormalities on CXR was implemented for the interpretation of CXR in daily practice. The diagnostic performance of radiologists with CAD assistance were evaluated based on two different reference standards: 1) real-time reverse transcriptase-polymerase chain reaction (rRT-PCR) results for COVID-19 and 2) pulmonary abnormality suggesting pneumonia on chest CT. The turnaround times (TATs) of radiology reports for CXR and rRT-PCR results were also evaluated. Results: Among 332 patients (male:female, 173:159; mean age, 57 years) with available rRT-PCR results, 16 patients (4.8%) were diagnosed with COVID-19. Using CXR, radiologists with CAD assistance identified rRT-PCR positive COVID-19 patients with sensitivity and specificity of 68.8% and 66.7%, respectively. Among 119 patients (male:female, 75:44; mean age, 69 years) with available chest CTs, radiologists assisted by CAD reported pneumonia on CXR with a sensitivity of 81.5% and a specificity of 72.3%. The TATs of CXR reports were significantly shorter than those of rRT-PCR results (median 51 vs. 507 minutes; p < 0.001). Conclusion: Radiologists with CAD assistance could identify patients with rRT-PCR-positive COVID-19 or pneumonia on CXR with a reasonably acceptable performance. In patients suspected with COVID-19, CXR had much faster TATs than rRT-PCRs. Keywords: Radiography, thoracic; COVID-19; COVID-19 diagnostic testing; Pneumonia; Deep learning",1.0,coronavirus,True
6,INTRODUCTION,0.0,,False
7,"The initial outbreak of coronavirus disease (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection (1), originated in Wuhan, China in December 2019. Following this occurrence, the disease rapidly progressed into a pandemic, with more than 5.4 million confirmed patients and more than 340000 deaths",1.0,outbreak,True
8,"worldwide as of May 26, 2020 (2). Early identification of infected patients and adequate isolation of patients to interrupt human-to-human transmission is of utmost importance in controlling the COVID-19 pandemic (2).",1.0,isolation,True
9,The primary diagnostic method for COVID-19 is detection of SARS-CoV-2 via real-time reverse transcriptase-polymerase chain reaction (rRT-PCR) in respiratory specimens (3). Several recent studies have shown that CT may exhibit,1.0,COVID-19,True
10,"Received: April 27, 2020 Revised: May 27, 2020 Accepted: May 28, 2020 The present study was supported by a grant (grant number: 03-2019-0190) from the Seoul National University Hospital research fund. Corresponding author: Chang Min Park, MD, PhD, Department of Radiology and Institute of Radiation Medicine, Seoul National University College of Medicine, 101 Daehak-ro, Jongno-gu, Seoul 03080, Korea. · E-mail: cmpark.morphius@gmail.com This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https:// creativecommons.org/licenses/by-nc/4.0) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",0.0,,False
11,1150,0.0,,False
12,Copyright © 2020 The Korean Society of Radiology,0.0,,False
13,Deep Learning for Chest X-Ray Radiograph in Suspected Coronavirus Disease Patients,1.0,Coronavirus,True
14,"findings of pneumonia in patients with initially negative rRT-PCR results (4-6) and can be considered as a screening tool for COVID-19 in epidemic areas. However, screening or early diagnosis using chest CT in patients suspected for COVID-19 may not be practical, owing to the risk of viral transmission during the examination, transportation of the patient, and difficulty with disinfecting the environment. Owing to this, chest CT is currently not recommended for screening or initial diagnosis of COVID-19 (7, 8).",1.0,negative,True
15,"Chest X-ray radiograph (CXR) is the primary imaging technique in the diagnosis of pneumonia because of its easy accessibility, low cost, low radiation exposure, and reasonable diagnostic capability (9, 10). Therefore, CXR using a portable radiography unit may be considered as a primary radiologic examination for COVID-19 because patient transportation can be minimized and disinfection is relatively easy (7). However, because of the intrinsic limitation of the two-dimensional projection image, where various anatomic or pathologic structures are overlapped, CXR have lower sensitivity compared to chest CTs (11, 12) and are prone to reading errors and inter- or intra-reader variability (13). Thus, a computer-aided detection (CAD) system that can accurately identify pulmonary opacities suggestive of pneumonia may help promptly and accurately diagnose pneumonia, such as that observed in COVID-19 patients (14). In this regard, we implemented a deep learning-based CAD system for the interpretation of CXR of patients who were suspected for COVID-19.",1.0,COVID-19,True
16,"We aimed to describe our experience of implementing a deep learning-based CAD system for the interpretation of CXR of suspected COVID-19 patients, as well as to investigate the diagnostic performance of CXR for COVID-19 using the CAD system.",1.0,COVID-19,True
17,MATERIALS AND METHODS,0.0,,False
18,"This single-center, retrospective study was approved by the Institutional Review Board of Seoul National University Hospital, and the requirement for informed consent was waived.",0.0,,False
19,Patients and CXR Acquisition We retrospectively included consecutive patients using,0.0,,False
20,"the following criteria: 1) patients who visited a tertiary academic institution for the diagnosis of suspicious COVID-19 or management of confirmed COVID-19 between January 31, 2020 and March 10, 2020; and 2) patients who",1.0,COVID-19,True
21,"underwent CXR with a dedicated protocol for suspicious COVID-19 patients including CAD analyses. The initial CXR of each patient obtained after the visit were included in the present study. All CXR were obtained with a dedicated mobile X-ray system (DRX-revolution, Carestream Health). Erect posteroanterior X-rays or supine anteroposterior X-rays were obtained, depending on the patients' condition.",1.0,COVID-19,True
22,Implementation of the CAD System A dedicated CXR examination protocol for patients,0.0,,False
23,"suspicious of COVID-19 (""CXR AI CAD for COVID"") was established on January 28, 2020, and included CAD analysis. All subsequent CXR of patients who were suspected or already diagnosed with COVID-19 were obtained using this protocol. The CAD system integrated in the protocol was a commercialized deep-learning algorithm (Lunit INSIGHT CXR 2, Lunit Inc.) that was approved by the Ministry of Food and Drug Safety of Korea (15) that detects several thoracic abnormalities, including pulmonary nodules, consolidation, and pneumothorax. The CAD system was originally trained with 54221 normal CXR and 35613 abnormal CXR with four major thoracic diseases including pulmonary malignancy, pneumonia, pulmonary tuberculosis, and pneumothorax (15). The CAD system provided a probability score between 0% and 100% for the presence of any of the target abnormalities on each CXR and provided localization of abnormalities when the probability score was 15% or greater, with contour lines overlaid on CXR images (Figs. 1-3). The system was unable to provide detailed information on whether each detected abnormality was a nodule, mass, consolidation, or pneumothorax.",1.0,COVID-19,True
24,"After the acquisition of the CXR, analysis by the CAD system was automatically processed, and both radiologists and referring physicians could view the CAD result side-byside with the original CXR image on the institution's picture archiving and communication system (PACS; Infinitt Gx PACS, INFINITT Healthcare). After evaluation of both CXR images and CAD results, radiologists documented a formal report using the PACS (formal radiology report, hereinafter). All CXR were interpreted by attending radiologists or by radiology residents supervised by attending radiologists. A total of 14 attending radiologists and 12 residents (1-29 years of experience in CXR interpretation) participated in CXR interpretation.",0.0,,False
25,Diagnostic Performance Evaluation The formal radiology reports of all CXR were,0.0,,False
26,kjronline.org,0.0,,False
27,https://doi.org/10.3348/kjr.2020.0536,0.0,,False
28,1151,0.0,,False
