,sentence,label,data,regex
0,Global Ecology and Conservation 40 (2022) e02314 Contents lists available at ScienceDirect,0.0,,False
1,Global Ecology and Conservation,0.0,,False
2,journal homepage: www.elsevier.com/locate/gecco,0.0,,False
3,"COVID-19 impacts, opportunities and challenges for wildlife farms in Binh Duong and Ba Ria Vung Tau, Vietnam",1.0,COVID-19,True
4,"Thuy Thu Pham a,*, Hong Thi Kim Tang b, Nuong Thi Kieu Nguyen b, Phuong Hai Dang b, Anh Thi Van Nguyen c, Anh Thi Thuy Nguyen d, Hoa Ngoc My Tran a, Long Tuan Hoang a, Duyen Nhat Lam Tran e, Quang Nhat Nguyen b",0.0,,False
5,"a Center for International Forestry Research, Bogor 16115, Indonesia b Nong Lam University, Ho Chi Minh City 700000, Viet Nam c University of Economics and Business, Vietnam National University, Hanoi 100000, Viet Nam d Diplomatic Academy of Vietnam, Hanoi 100000, Viet Nam e Vietnam National University, Hanoi 100000, Viet Nam",0.0,,False
6,ARTICLE INFO,0.0,,False
7,Keywords: COVID-19 impacts Wildlife farming Wildlife policy Vietnam wildlife,1.0,COVID-19,True
8,ABSTRACT,0.0,,False
9,"The wildlife trade is a major cause of species loss and can trigger disease transmission. While the COVID-19 pandemic sparked public interest in eliminating the wildlife trade, a better under­ standing is needed of the economic repercussions of COVID-19 on those who rely on wildlife farming for their livelihoods. Using the case studies of Ba Ria Vung Tau and Binh Duong provinces in Vietnam - a country seen as Asia's wildlife trade hotspot - this paper explores COVID-19's impacts on wildlife farms and their owners. Understanding these impacts is important, both in order to design appropriate interventions to support local people in mitigating COVID-19's im­ pacts as well as to inform effective policymaking around wildlife conservation in Vietnam. In this study, we adopted mixed research methods (including a literature and policy review, stakeholder consultation with government agencies and NGOs engaged in designing and monitoring wildlife conservation policies, a wildlife farming household survey, and research validation workshop) to understand the status of Vietnamese wildlife farms, as well as the impacts of COVID-19, and any opportunities and challenges for wildlife conservation and management in Vietnam. Our paper shows that, across the two studied provinces, numbers of wildlife farms and farmed wildlife animals have both declined since the pandemic, with declining market demand and wildlife farm owners experiencing difficulties accessing markets due to travel restrictions. Although this affected wildlife-related income, this represented less than 30 % of families' overall income on average, and thus households were able to maintain their livelihoods through other sources. Most wildlife is raised as an additional food source for farming families and plays an important role in the diets of surveyed households. Findings also highlighted that most surveyed households' postpandemic recovery strategies involved expanding their wildlife farms in scope and scale; these households perceived a stable domestic market and high prices for wildlife products in future.",1.0,disease,True
10,"* Corresponding author. E-mail addresses: t.pham@cgiar.org (T.T. Pham), tangkimhong@hcmuaf.edu.vn (H.T.K. Tang), ntknuong@hcmuaf.edu.vn (N.T.K. Nguyen),",0.0,,False
11,"Danghaiphuong@hcmuaf.edu.vn (P.H. Dang), Kloudanh2002@gmail.com (A..V. Nguyen), Chichthuyanh1012@gmail.com (A.T.T. Nguyen), hoatranngocmy1408@gmail.com (H.N.M. Tran), L.Hoang@cgiar.org (L.T. Hoang), trannhatlamduyen@gmail.com (D..L. Tran), nnquangwoodtech@gmail.com (Q.. Nguyen).",0.0,,False
12,https://doi.org/10.1016/j.gecco.2022.e02314,0.0,,False
13,Received 20 January 2022; Received in revised form 17 September 2022; Accepted 25 October 2022,0.0,,False
14,Available online 26 October 2022 2351-9894/© 2022 The Authors.,0.0,,False
15,Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license,0.0,,False
16,(http://creativecommons.org/licenses/by-nc-nd/4.0/).,0.0,,False
17,T.T. Pham et al.,0.0,,False
18,Global Ecology and Conservation 40 (2022) e02314,0.0,,False
19,"Our study found several opportunities for sustainable wildlife farming practices, including greater political commitment, an increasing number of wildlife conservation policies, and stronger law enforcement mechanisms. Challenges remain, however; including an unclear and inconsistent policy framework, the presence of an illegal market, and wildlife farm owners' limited knowledge and understanding of wildlife policies. Our paper also shows a lack of comprehensive data and understanding around actual wildlife transactions during the pandemic, leading to challenges in confirming whether COVID-19 had any real impact on wildlife trade. Further research is required to address this knowledge gap.",1.0,pandemic,True
20,1. Introduction,0.0,,False
21,"The wildlife trade is a major cause of species loss and is one of the main causes of disease transmission (Liew et al., 2021; Wik­ ramanayake et al., 2021). COVID-19 has thus been seen as an alarm call, raising public and policymakers' awareness and commitment to addressing this challenge (Lin, 2021). Previous studies have found COVID-19 to have multiple and multifaceted impacts on wildlife trading and farming, both positive and negative. The pandemic has led to a decline in financial and human resources devoted to wildlife conservation in many places, posing a significant threat to animal welfare, and challenging government agencies and con­ servation communities alike in the post-pandemic period (Neupane, 2020; Baptista et al., 2021; Smith et al., 2021).",1.0,disease,True
22,"The COVID-19 outbreak also intensified an unsettled debate on whether governments should legalize or criminalize the commercial trade of wildlife (D'cruze et al., 2020; Bennett et al., 2021; Borz´ee et al., 2021). Banning wildlife trade, as China has done, can translate political will to address illegal wildlife farming and trade by strengthening existing monitoring and law enforcement mechanisms and enhancing legislation and regulation around wildlife farming practices, thereby galvanizing rapid, widespread knock-on actions and impacts (Koh et al., 2021). This is necessary to promote improvements in wildlife management, for example updating protected species lists, revising laws, strengthening existing but poorly implemented wildlife policies, and changing consumption behaviors (Yang et al., 2020; Xiao et al., 2021).",1.0,COVID-19,True
23,"However, while conservation communities advocate for banning the wildlife trade (Lindsey et al., 2020; Roe et al., 2020), several scholars propose that policymakers and conservationists could take a policy-based approach instead, considering species-specific attributes of biological productivity as well as the management context (Shi et al., 2020; Bennett et al., 2021). This is because a ban might not fully acknowledge and address key drivers of emerging infectious diseases, such as: habitat destruction, which largely driven by agricultural expansion and industrial livestock production (Roe et al., 2020); wildlife consumption and animal-based food systems (Shi and Hu, 2008; Murray et al., 2016); international wildlife trade and crime (Bell et al., 2004); and larger trends of deforestation, defaunation, and environmental exploitation (Gatti, 2020, IPBES, 2020, van Uhm and Zaitch 2021). As COVID-19 has negatively affected local livelihoods (Rahman et al., 2021) and millions worldwide are wildlife-dependent for food security and in­ come (Montgomery and Macdonald, 2020), there is also concern that a wildlife trade ban could undermine human rights and un­ dermine sustainable development longer term (Roe et al., 2020). Scholars highlighting the merits of the wildlife trade, like Yang et al. (2020), Koh et al. (2021) and Xiao et al. (2021), flagged blanket ban weak spots, including how to reduce harm to wildlife farm owners, and ensure policies and measures are in place to support farmers' livelihoods. As wildlife breeding and trade are big businesses, seen by many countries as a poverty reduction tool, solutions must address both conservation and development concerns (You, 2020). Yet limited empirical evidence exists on the pandemic's economic repercussions for those depending on wildlife farming for their live­ lihoods (Mcnamara et al., 2020) to inform such solutions.",1.0,infectious,True
