,sentence,label,data,regex
0,RESEARCH,0.0,,False
1,"Severe Acute Respiratory Syndrome Coronavirus 2 Transmission in Georgia, USA, February 1-July 13, 2020",1.0,Respiratory,True
2,"Yuke Wang, Casey Siesel, Yangping Chen, Ben Lopman, Laura Edison, Michael Thomas, Carly Adams, Max Lau, Peter F.M. Teunis",1.0,Case,True
3,"The serial interval and effective reproduction number for coronavirus disease (COVID-19) are heterogenous, varying by demographic characteristics, region, and period. During February 1-July 13, 2020, we identified 4,080 transmission pairs in Georgia, USA, by using contact tracing information from COVID-19 cases reported to the Georgia Department of Public Health. We examined how various transmission characteristics were affected by symptoms, demographics, and period (during shelterin-place and after subsequent reopening) and estimated the time course of reproduction numbers for all 159 Georgia counties. Transmission varied by time and place but also by persons' sex and race. The mean serial interval decreased from 5.97 days in February-April to 4.40 days in June-July. Younger adults (20-50 years of age) were involved in most transmission events occurring during or after reopening. The shelter-in-place period was not long enough to prevent sustained virus transmission in densely populated urban areas connected by major transportation links.",1.0,coronavirus,True
4,"Coronavirus disease (COVID-19) is an infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). After it was first reported in Wuhan, China, in December 2019, COVID-19 spread rapidly across the world as an ongoing global pandemic. As of July 9, 2021, most confirmed COVID-19 cases (33,792,898 cases) and deaths (606,487) in the world were in the United States (1), and 906,136 confirmed cases and 18,544 deaths were in the state of Georgia (2).",1.0,Coronavirus,True
5,Author affiliations: Rollins School of Public Health at Emory,0.0,,False
6,"University, Atlanta, Georgia, USA (Y. Wang, C. Siesel, Y. Chen,",0.0,,False
7,"B. Lopman, C. Adams, M. Lau, P.F.M. Teunis); Centers for",0.0,,False
8,"Disease Control and Prevention, Atlanta (L. Edison); Georgia",1.0,Disease,True
9,"Department of Public Health, Atlanta (L. Edison, M. Thomas)",0.0,,False
10,DOI: https://doi.org/10.3201/eid2710.210061,0.0,,False
11,"Transmission of COVID-19 varies by region (3,4), setting (long-term care facilities, prisons, and factories) (5), population demographics (age, sex, and race), and even among individual persons (physiologic and behavioral differences) (6). During the early phases of transmission in the United States, new cases were mainly imported by travelers and transmission was associated with human mobility (7). Local transmission was more intense in regions with high population density and in populations with frequent social contacts (3,8,9). When SARS-CoV-2 was introduced into high-risk settings (e.g., long-term care facilities), transmission rates were intense, and the outcomes were often fatal (10).",1.0,Transmission,True
12,"To study transmission of SARS-CoV-2, we examined the serial interval for symptom onset (defined as the time interval between symptom onset in a primary case-patient and symptom onset in a secondary case-patient infected by the primary casepatient) and the effective reproduction number Rt (the expected number of cases directly caused by any single infectious person). Rt has been shown to vary strongly; some case-patients have caused superspreading events (11,12). Such heterogeneity influences the spread as well as the control of COVID-19, as documented by studies of nonpharmaceutical interventions in China (13,14) and Europe (15) at the province and country levels.",1.0,transmission,True
13,"After the first case of COVID-19 was reported in the state of Georgia on March 2, 2020, a series of events and interventions followed (Appendix Table 1, https://wwwnc.cdc.gov/EID/article/27/10/210061-App1.pdf). On April 3, state officials announced a shelter-in-place order, requiring all residents and visitors to remain in their residence and take every possible precaution to limit social interactions. On",1.0,case,True
14,2578,0.0,,False
15,"Emerging Infectious Diseases · www.cdc.gov/eid · Vol. 27, No. 10, October 2021",1.0,Infectious,True
16,"SARS-CoV-2 Transmission in Georgia, USA",1.0,SARS-CoV-2,True
17,"April 24, officials allowed some businesses to reopen, and on April 30 the shelter-in-place order was lifted. On June 1, state officials further relaxed restrictions. During June-July 2020, as new COVID-19 cases continued to surge in Georgia and other states, knowing how shelter-in-place and the subsequent reopening events affected the transmission of SARS-CoV-2 in different regions became crucial.",1.0,COVID-19,True
18,"Identifying a large number of the primary and secondary case-patient pairs enabled us to estimate the distribution of the serial interval for symptom onset. Using the serial interval distribution, we can estimate the time-varying Rt (16). With Rts over time, we can study the spatial distribution of transmission across all 159 Georgia counties as well as the effects of shelter-in-place and subsequent gradual reopening.",1.0,case,True
19,"The Georgia Department of Public Health (GDPH) Institutional Review Board determined that this analysis was exempt from the requirement for review and approval, and informed consent was not required. This activity was reviewed by the Centers for Disease Control and Prevention and was consistent with their applicable policy and with federal law.",1.0,Disease,True
20,Methods,0.0,,False
