,sentence,label,data,regex
0,"Knowledge, perception and implementation of personal protective measures by citizens during the COVID-19 outbreak in Northern Cyprus: a crosssectional survey",1.0,personal,True
1,"Azze Buket Yilmaz Department of Pharmaceutical Microbiology, Faculty of Pharmacy, Near East University, Nicosia, Cyprus",0.0,,False
2,"Emrah Guler Department of Medical Microbiology and Clinical Microbiology, Faculty of Medicine, Near East",1.0,Clinical,True
3,"University, Nicosia, Cyprus Buket Baddal (  buket.baddal@neu.edu.tr )",0.0,,False
4,"Department of Medical Microbiology and Clinical Microbiology, Faculty of Medicine, Near East University, Nicosia, Cyprus",1.0,Clinical,True
5,"Research Article Keywords: COVID-19, personal protective equipment, personal protective measures, citizens, Northern Cyprus Posted Date: July 21st, 2020 DOI: https://doi.org/10.21203/rs.3.rs-45269/v1 License:   This work is licensed under a Creative Commons Attribution 4.0 International License. Read Full License",1.0,COVID-19,True
6,"Version of Record: A version of this preprint was published at Cyprus Journal of Medical Sciences on November 1st, 2021. See the published version at https://doi.org/10.5152/cjms.2021.3086.",0.0,,False
7,Page 1/22,0.0,,False
8,Abstract,0.0,,False
9,"Aim: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has generated over 8 000 000 cases of the coronavirus disease 2019 (COVID-19) worldwide and has led to the implementation of strict measures in all countries. The aim of this study was to investigate the knowledge, attitude and implementation status of personal protective measures (PPMs) by ordinary citizens in Northern Cyprus and their access to personal protective equipment (PPE) during the COVID-19 outbreak.",1.0,respiratory,True
10,"Subject and Methods: This was a cross-sectional study based on internet-based survey. A total of 406 participants were recruited between May 1 and 4, 2020 via authors' networks to complete a questionnaire. Participants were asked to indicate how often they implemented the five PPMs recommended by the World Health Organization (WHO), their daily frequency of hand hygiene events, their COVID-19 knowledge as well as the availability of PPE in their hometown.",1.0,COVID-19,True
11,"Results: The prevalence of the five PPMs ranged from 65.0% to 95.6%, with the highest being hand hygiene and the lowest being avoiding touching the eyes, nose, and mouth. Hand hygiene events were recorded to be more than 10 per day in 47.3% of the participants. Gloves (86.2%), surgical masks (52.2%), and cloth face masks (47.3%) were the most commonly used PPE in public areas. The majority of the responders were aware of the incubation time (90.4%) and indirect route of viral transmission (89.7%), whereas knowledge of droplet (72.2%) and aerosol transmission (43.6%) were lower. Knowledge was gained mainly through social media and TV.",1.0,mask,True
12,"Conclusion: Overall, citizens implemented protective measures effectively and were strictly coherent to government-induced curfew and self-isolation measurements with a high public awareness.",1.0,protective,True
13,Introduction,0.0,,False
14,"Originated from Wuhan, China in late 2019, severe acute respiratory syndrome coronavirus 2 (SARS-CoV2), the etiological agent of the coronavirus disease 2019 (COVID-19), has emerged as a significant threat to public health, and has been declared as a pandemic by the World Health Organization (WHO), with 8 061 550 cases and 440 290 deaths occurring worldwide as of 17th June 2020 (World Health Organization a. 2020). While SARS-CoV-2 was initially observed in East Asia, Europe consequently became the center of the pandemic (World Health Organization b. 2020), followed by United States and Latin America, and is currently adversely affecting multiple African countries.",1.0,respiratory,True
15,"With the rapid surge in the number of people infected with SARS-CoV-2, WHO emphasized the urgent need to coordinate international collaborative efforts to minimize the threat in all affected countries in order to prevent the rapid spread of COVID-19 (World Health Organization c. 2020). While the battle against COVID-19 is ongoing, multiple measures have been taken by governments in an effort to slow down and mitigate viral transmission of the respiratory virus SARS-CoV-2 in the local population such as",1.0,SARS-CoV-2,True
16,Page 2/22,0.0,,False
