,sentence,label,data,regex
0,www.nature.com/scientificreports,0.0,,False
1,OPEN,0.0,,False
2,A chain mediation model,0.0,,False
3,on COVID19 symptoms,0.0,,False
4,and mental health outcomes,0.0,,False
5,"in Americans, Asians",0.0,,False
6,and Europeans,0.0,,False
7,"Cuiyan Wang1, Agata ChudzickaCzupala2, Michael L. Tee3, María Inmaculada López Núñez4, Connor Tripp5, Mohammad A. Fardin6, Hina A. Habib7, Bach X. Tran8,9, Katarzyna Adamus2, Joseph Anlacan3, Marta E. Aparicio García4, Damian Grabowski2, Shahzad Hussain10, Men T. Hoang11, Mateusz Hetnal2, Xuan T. Le12, Wenfang Ma1, Hai Q. Pham13, Patrick Wincy C. Reyes3, Mahmoud Shirazi14, Yilin Tan1, Cherica A. Tee3, Linkang Xu1, Ziqi Xu1, Giang T. Vu15, Danqing Zhou1, Natalie A. Chan16, Vipat Kuruchittham17, Roger S. McIntyre18, Cyrus S. H. Ho19, Roger Ho19,20* & Samuel F. Sears5",0.0,,False
8,"The novel Coronavirus-2019 (COVID-19) was declared a pandemic by the World Health Organization (WHO) in March 2020, impacting the lifestyles, economy, physical and mental health of individuals globally. This study aimed to test the model triggered by physical symptoms resembling COVID-19 infection, in which the need for health information and perceived impact of the pandemic mediated the path sequentially, leading to adverse mental health outcomes. A cross-sectional research design with chain mediation model involving 4612 participants from participating 8 countries selected via a respondent-driven sampling strategy was used. Participants completed online questionnaires on physical symptoms, the need for health information, the Impact of Event Scale-Revised (IES-R) questionnaire and Depression, Anxiety and Stress Scale (DASS-21). The results showed that Poland and the Philippines were the two countries with the highest levels of anxiety, depression and stress; conversely, Vietnam had the lowest mean scores in these areas. Chain mediation model showed the need for health information, and the perceived impact of the pandemic were sequential mediators between physical symptoms resembling COVID-19 infection (predictor) and consequent mental health status (outcome). Excessive and contradictory health information might increase the perceived impact of the pandemic. Rapid COVID-19 testing should be implemented to minimize the psychological",1.0,Coronavirus,True
9,"1Institute of Cognitive Neuroscience, Faculty of Education, Huaibei Normal University, Huaibei, China. 2Faculty of Psychology, SWPS University of Social Sciences and Humanities, Katowice, Poland. 3University of the Philippines Manila, Manila, Philippines. 4Department of Social, Work and Differential Psychology, Faculty of Psychology, Complutense University of Madrid, Somosaguas Campus, Madrid, Spain. 5Department of Psychology, East Carolina University, Greenville, NC, USA. 6Department of Psychology, Zahedan Branch, Islamic Azad University, Zahedan, Iran. 7Institute of Clinical Psychology, University of Karachi, Karachi, Pakistan. 8Institute for Preventive Medicine and Public Health, Hanoi Medical University, Hanoi 100000, Vietnam. 9Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD 21205, USA. 10DHQ Hospital Jhelum, Jhelum, Pakistan. 11Institute for Global Health Innovations, Duy Tan University, Da Nang, Vietnam. 12Institute for Preventive Medicine and Public Health, Hanoi Medical University, Hanoi, Vietnam. 13Faculty of Medicine, Duy Tan University, Da Nang, Vietnam. 14Department of Psychology, University of Sistan and Baluchestan, Zahedan, Iran. 15Center of Excellence in EvidenceBased Medicine, Nguyen Tat Thanh University, Ho Chi Minh City, Vietnam. 16Faculty of Medicine, Dentistry and Health, University of Sheffield, Sheffield, UK. 17Southeast Asia One Health University Network (SEAOHUN), Chiang Mai, Thailand. 18Mood Disorders Psychopharmacology Unit, University Health Network, University of Toronto, Toronto, Canada. 19Department of Psychological Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore. 20Institute of Health Innovation and Technology",1.0,Social,True
10,"(iHealthtech), National University of Singapore, Singapore, Singapore. *email: pcmrhcm@nus.edu.sg",0.0,,False
11,Scientific Reports | (2021) 11:6481,0.0,,False
12,| https://doi.org/10.1038/s41598-021-85943-7,0.0,,False
13,1 Vol.:(0123456789),0.0,,False
14,www.nature.com/scientificreports/,0.0,,False
15,"Figure 1.Proposed chain mediation model to explain the association between physical symptoms resembling COVID-19 infection and adverse mental health outcomes (i.e., anxiety, depression and stress).",1.0,COVID-19,True
16,"burden associated with physical symptoms, whilst public mental health interventions could target adverse mental outcomes associated with the pandemic.",1.0,pandemic,True
17,"The coronavirus disease 2019 (COVID-19) was declared a pandemic by the World Health Organization (WHO) in March 2020. As of December 4 2020, the number of confirmed cases was 65,528,133, the number of death cases was 1,511,726 and the number of recovered cases was 45,371,073 w­ orldwide1. While one may not necessarily contract COVID-19 during this time, certainly, his or her mental health is likely affected due to financial ­burden2, occupational injury due to potential risk of ­infection3 as well as the loss of livelihoods and ­opportunities4. The COVID-19 pandemic has become an urgent issue on global mental health and an unprecedented challenge for healthcare systems of all ­countries5. Emerging psychological disorders and mental health has been identified as the tenth leading research topic during the COVID-19 p­ andemic6.",1.0,coronavirus,True
18,"A study of the early-stage COVID-19 pandemic in China found anxiety in 6.33% and depression in 17.17% of 600 ­respondents7. In other Asian countries, a new questionnaire, i.e., the Fear of COVID-19 Scale, was developed in ­Iran8, but this questionnaire did not measure other psychiatric symptoms such as depression. In Pakistan, mental illness poses a significant challenge to its under-resourced health care s­ ystem9. In Italy, the healthcare system stretched to its limit because healthcare workers constituted10% of Italy's confirmed COVID-19 c­ ases10 As a result, recent guidelines recommended all healthcare workers should receive psychological support based on coping strategies for managing ­stress11. In Europe, the levels of psychiatric symptoms were generally low at the beginning of the COVID-19 pandemic. However, younger Spanish individuals with chronic diseases reported more symptoms than the rest of the ­population12. In the United States (US), Asian Americans were less likely to report psychiatric symptoms than Caucasian Americans during the COVID-19 p­ andemic13. Studies from China, Italy, Germany and Russia identified protective and risk person factors for mental health during COVID-19. Risk factors for adverse mental health include younger a­ ge14, especially young people who had to work outside their ­domicile15, reduced ­income14, family member infected by COVID-1915, having chronic ­diseases14, concerns related to COVID-19 infection for themselves or family m­ embers14, living a­ lone14, having family c­ onflicts14. Protective factors for mental health include disseminating reliable ­information16 and personal confidence by mastering knowledge of the p­ andemic17.",1.0,COVID-19,True
19,"Researchers observed that mental health conditions such as depression and anxiety were affected by the ­pandemic18, but the underlying mechanisms remained unknown. Several behavioral theories could be applied to identify factors that influence mental health during the pandemic. One health behavior theory is the protection motivation theory developed by R.W. Rogers in 1­ 97519. According to this theory, the COVID-19 pandemic might trigger the threat-appraisal and coping-appraisal p­ rocesses19. The public would experience uncertainty and become very concerned about physical symptoms, which resemble COVID-19 infection. Due to the potential threat and impact of the pandemic, they would become worried that they did not have enough health information to protect themselves. For the coping-appraisal process, a person would search for health information to enhance understanding of the pandemic and take measures to reduce the risk of developing an i­nfection20. The information-buffer hypothesis suggests that health information could buffer against physical symptom threats, thus reducing anxiety, depression, and stress. On the contrary, the overload of health information, especially inaccurate and misleading information, might lead to adverse mental health outcomes. Recently, Amanzio et al. (2020) proposed a theoretical framework to explain the association between health information, the psychological impact of a pandemic, physical symptoms and mental health outcomes based on the nocebo phenomenon for the infectious ­disease21. During the COVID-19 pandemic, conflicting and inaccurate health information (e.g., contradictory advice on face mask use) could lead to negative thinking and ­expectation22, resulting in the nocebo ­effect21, which ultimately lead to adverse mental health ­outcomes23. In summary, the physical symptoms resembling COVID-19 infection would trigger the need to search for health information, affecting the perceived impact of the pandemic and ultimately adverse mental health outcomes (i.e., anxiety, depression and stress).",1.0,pandemic,True
20,"To address the above research gaps, this study aimed to compare the mental health outcomes in the general population of 8 countries (China, Pakistan, Philippines, Iran, Poland, Spain, the US, Vietnam) during the COVID-19 pandemic. Based on existing theoretical perspectives, we constructed a chain mediation model to test the following hypothesis (see Fig. 1): (a) the physical symptoms resembling COVID-19 infection would be",1.0,COVID-19,True
21,Scientific Reports | (2021) 11:6481 |,0.0,,False
22,https://doi.org/10.1038/s41598-021-85943-7,0.0,,False
23,2,0.0,,False
24,Vol:.(1234567890),0.0,,False
25,www.nature.com/scientificreports/,0.0,,False
26,Sub-scales 1.Perceived psychological impact of COVID-19 2.DASS-21 Stress 3.DASS-21 Anxiety 4.DASS-21 Depression 5.Physical symptoms resembling COVID-19 infection 6.The need for health information,1.0,COVID-19,True
27,M±SD,0.0,,False
28,1,0.0,,False
29,2,0.0,,False
30,3,0.0,,False
31,4,0.0,,False
32,5,0.0,,False
33,6,0.0,,False
34,2.24±1.27 1,0.0,,False
35,1.75±1.03 .539** 1,0.0,,False
36,1.90±1.36 .539** .735** 1,0.0,,False
37,1.78±1.21 .485** .767** .723** 1,0.0,,False
38,1.06±1.43 .157** .198** .231** .172** 1,0.0,,False
39,7.58±3.42 .172** -0.003 .055** -0.001 .096** 1,0.0,,False
40,"Table1.Descriptive statistics and correlations of mean average score per item among subscales for all participants in 8 countries (N,4612). M refers to the mean average score per subscale. Mean average score,""total score of subscale/number of items of a subscale. *p<0.05, **p<0.01.""",0.0,,False
41,"Figure 2.Comparison of Impact of Event Scale (Revised) IES-R and Depression, Anxiety and Stress Scale21 (DASS-21) scores among 8 countries based on the least significant difference (LSD) analysis. 1,China; 2,Philippines; 3,Spain; 4,Poland; 5,Iran; 6,United States; 7,Pakistan; 8,Vietnam.",1.0,,True
