,sentence,label,data,regex
0,Journal of Community Health (2021) 46:441-449 https://doi.org/10.1007/s10900-020-00879-9,1.0,Community,True
1,ORIGINAL PAPER,0.0,,False
2,"Knowledge, Attitude, and Practices Toward COVID19 in Primary Healthcare Providers: A CrossSectional Study from Three Tertiary Care Hospitals of Peshawar, Pakistan",0.0,,False
3,Iltaf Hussain1 · Abdul Majeed1 · Imran Imran2 · Muhib Ullah3 · Furqan K. Hashmi4 · Hamid Saeed4 · Muhammad O. Chaudhry5 · Muhammad F. Rasool1,0.0,,False
4,"Published online: 6 July 2020 © Springer Science+Business Media, LLC, part of Springer Nature 2020",0.0,,False
5,"Abstract An online cross-sectional study was carried out to evaluate the knowledge, attitude, and practice about coronavirus disease 2019 (COVID-19) among primary health care providers (PHPs) at three tertiary care hospital, Peshawar, Pakistan. Data was collected via email and online social media platforms. Statistical package for social science (SPSS) version 25.0 was used for data analysis. Among the total participants (n,""114), 74 (66.7%) were male and 37 (33.3%) were female. The mean scores for knowledge, attitude and practice were 12.7±0.89, 8.9±4.1 and 7.3±1.2, respectively. Most of the participants knew the term COVID-19 and its mode of transmission (90%), signs and symptoms (84%) and risk factors (72%) associated with it. Most of the participants agreed that COVID-19 can be transmitted through coughing and sneezing (74.3%) and 84.6% were in favor that COVID-19 can be prevented by adopting preventive measures. Around 68.8% of the participants disagreed with the use of antibiotics in the prevention of COVID-19. Ninety percent of the respondents were avoiding close contact with the people having cough and flu-like symptoms. Most PHPs had good knowledge, positive attitude and reasonable practices regarding COVID-19. Moreover, focused training programs for PHPs at the Government level can further improve their understanding of risks and preventive strategies related to COVID-19, which will help them to provide appropriate care to their patients as well as to protect themselves from this infection.""",1.0,coronavirus,True
6,Keywords COVID-19 · Knowledge · Attitude · Practices · Primary healthcare providers · Peshawar,1.0,COVID-19,True
7,Introduction,0.0,,False
8,"Coronavirus disease 2019 (COVID-19) is the emerging respiratory disease that is caused by a novel coronavirus. It was first reported in Wuhan, China in December 2019 [1, 2]. The main clinical symptoms of this highly infectious disease",1.0,Coronavirus,True
9,* Muhammad F. Rasool fawadrasool@bzu.edu.pk,0.0,,False
10,"1 Department of Pharmacy Practice, Faculty of Pharmacy, Bahauddin Zakariya University, Multan 60800, Pakistan",0.0,,False
