,sentence,label,data,regex
0,"16000668, 2022, 10, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/ina.13118 by MORGAN STATE UNIVERSITY, Wiley Online Library on [17/11/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",0.0,,False
1,Received: 14 May 2022 | Revised: 25 August 2022 | Accepted: 6 September 2022,0.0,,False
2,DOI: 10.1111/ina.13118,0.0,,False
3,ORIGINAL ARTICLE,0.0,,False
4,SARS-­CoV-­2 indoor environment contamination with epidemiological and experimental investigations,0.0,,False
5,"Lotta-­Maria A. H. Oksanen1,2 | Jenni Virtanen1,3 | Enni Sanmark1,2| Noora Rantanen1,2| Vinaya Venkat1,3| Svetlana Sofieva4,5 | Kirsi Aaltonen1,3 | Ilkka Kivistö1,3 | Julija Svirskaite4 | Aurora Díaz Pérez3| Joel Kuula5 | Lev Levanov1| Antti-­Pekka Hyvärinen5 | Leena Maunula3 | Nina S. Atanasova4,5 | Sirpa Laitinen6| Veli-­Jukka Anttila1,7 | Lasse Lehtonen1,8 | Maija Lappalainen1,8 | Ahmed Geneid1,2 | Tarja Sironen1,3",0.0,,False
6,"1Faculty of Medicine, University of Helsinki, Helsinki, Finland 2Department of Otorhinolaryngology and Phoniatrics -­ Head and Neck Surgery, Helsinki University Hospital, Helsinki, Finland 3Faculty of Veterinary Medicine, University of Helsinki, Helsinki, Finland 4Faculty of Biological and Environmental Sciences, University of Helsinki, Helsinki, Finland 5Finnish Meteorological Institute, Helsinki, Finland 6Finnish Institute of Occupational Health, Kuopio, Finland 7HUS Inflammation Center, Helsinki University Hospital, Helsinki, Finland 8HUS Diagnostic Center, HUSLAB, Helsinki University Hospital, Helsinki, Finland",0.0,,False
7,"Correspondence Lotta-­Maria A. H. Oksanen, Department of Otorhinolaryngology and Phoniatrics -­ Head and Neck Surgery, Helsinki University Hospital, Maistraatinportti 2, PO Box 250, 00029 Helsinki, Finland. Email: lotta.oksanen@hus.fi",0.0,,False
8,Funding information Academy of Finland; Business Finland; Helsingin ja Uudenmaan Sairaanhoitopiiri; Jalmari ja Rauha Ahokkaan Säätiö; Jane ja Aatos Erkon Säätiö; Scientific Advisory Board for Defense,0.0,,False
9,"Abstract SARS-­CoV-­2 has been detected both in air and on surfaces, but questions remain about the patient-­specific and environmental factors affecting virus transmission. Additionally, more detailed information on viral sampling of the air is needed. This prospective cohort study (N ,""56) presents results from 258 air and 252 surface samples from the surroundings of 23 hospitalized and eight home-­treated COVID-­19 index patients between July 2020 and March 2021 and compares the results between the measured environments and patient factors. Additionally, epidemiological and experimental investigations were performed. The proportions of qRT-­PCR-­positive air (10.7% hospital/17.6% homes) and surface samples (8.8%/12.9%) showed statistical similarity in hospital and homes. Significant SARS-­CoV-­2 air contamination was observed in a large (655.25m3) mechanically ventilated (1.67 air changes per hour, 32.4-­421L/s/patient) patient hall even with only two patients present. All positive air samples were obtained in the absence of aerosol-g­ enerating procedures. In four cases, positive environmental samples were detected after the patients had developed a neutralizing IgG response. SARS-­CoV-­2 RNA was detected in the following particle sizes: 0.65-­4.7 m, 7.0-­12.0 m, >10 m, and <100m. Appropriate infection control against airborne and surface transmission routes is needed in both environments, even after antibody production has begun.""",1.0,transmission,True
