,sentence,label,data,regex
0,Revista da Sociedade Brasileira de Medicina Tropical,0.0,,False
1,Journal of the Brazilian Society of Tropical Medicine Vol.:55 | (e0243-2022) | 2022,0.0,,False
2,doi https://doi.org/10.1590/0037-8682-0243-2022,0.0,,False
3,Major Article,0.0,,False
4,Coinfection and cross-reaction of dengue and COVID-19: a case series analysis,1.0,COVID-19,True
5,"Maria Emilia Avelar Machado[1],[2]  and Elza Kimura[1],[3] ",0.0,,False
6,"[1]. Universidade Estadual de Maringá, Departamento de Medicina, Programa de Mestrado Profissional em Gestão, Tecnologia e Inovação em Urgência e Emergência, Maringá, PR, Brasil.",0.0,,False
7,"[2]. Universidade Estadual de Maringá, Departamento de Medicina, Maringá, PR, Brasil. [3]. Universidade Estadual de Maringá, Departamento de Farmácia, Maringá, PR, Brasil.",0.0,,False
8,ABSTRACT,0.0,,False
9,"Background: The risk of possible cross-reactions between serological tests, together with the clinical similarities between dengue fever and COVID-19, can delay diagnosis and increase the risk of both COVID-19 transmission and worsening. The present study aimed to determine the possibility of cross-reactions among rapid serological tests based on clinical symptoms.",1.0,clinical,True
10,"Methods: Patients with COVID-19, confirmed by RT-PCR and clinical criteria for diagnosing dengue, were recruited consecutively between September 2020 and August 2021 and underwent rapid immunochromatographic diagnostic (RID) tests for AgNS1, IgM, and IgG. Patients who tested positive for acute-phase dengue IgM and AgNS1 underwent a follow-up test after 12-30 days for diagnostic confirmation.",1.0,COVID-19,True
11,"Results: A total of 43 patients were included, 38 of whom required hospital admission, and 8 received intensive care. Seven patients tested positive on the RID tests, comprising 2 NS1 positive (coinfection), one reactive for IgM and IgG (coinfection), three reactive for IgM not confirmed (false-positive), and one reactive for IgG due to previous infection. Two of the 3 patients with coinfection died. Fever, myalgia, headache, and cough were the most common clinical symptoms, while lymphopenia was the most prevalent laboratory finding.",1.0,positive,True
12,"Conclusions: Cross-reactivity was found in only three patients and coinfection in another three patients, two of whom died of severe COVID-19 manifestations.",1.0,COVID-19,True
13,Keywords: Dengue. COVID-19. Coinfection. Cross-reaction.,1.0,COVID-19,True
14,INTRODUCTION,0.0,,False
